,id,label_en
87758,Q95658,محمد  بن علي
87774,Q95674,منصور دوانیقی
87776,Q95676,الخليفة أبو العباس السفاح عبدالله  بن محمد
87922,Q95822,علي حيدرة
87962,Q95862,داود أمير مكة  الحسني
87972,Q95872,آمنه بنت عبدالله
87974,Q95874,داعی کبیر - حسن بن زید
87980,Q95880,بن الإمام جعفر الصادق
88002,Q95902,ابراهيم المجاب  الحسيني الهاشمي
88014,Q95914,Seyyed Abu Mohammad Qasim (8)  سید قاسم
88024,Q95924,موسى أبو سبحة
88028,Q95928,بن الإمام جعفر الصادق
88074,Q95974,الحسيني
88076,Q95976,الحسيني
88078,Q95978,الحسيني
88182,Q96082,ناصر کبیر یا النصیر الحق یا العطروش
88196,Q96096,علي المحدث أبو الحسين
88318,Q96218,المهدی
88326,Q96226,محمد المهدي
88328,Q96228,جعفر
88330,Q96230,عيسى
88332,Q96232,أسماء
88491,Q96391,سلام ابن مزوار
88522,Q96422,محمد المدني  الحسني
88600,Q96500,الحسيني الهاشمي
88612,Q96512,Seyyed Ahmad al-Arabi (9)  سید احمد اعرابی
88624,Q96524,إبراهيم المرتضى
88626,Q96526,الشريف أحمد الصالح  بن الشريف موسى أبي سبحة
88628,Q96528,بن الشريف موسى أبي سبحة
88630,Q96530,إبراهيم المرتضى
88632,Q96532,إبراهيم المرتضى
88634,Q96534,الحسين الأكبر
88636,Q96536,إبراهيم المرتضى
88638,Q96538,إبراهيم المرتضى
88640,Q96540,إبراهيم المرتضى
88644,Q96544,بن الإمام جعفر الصادق
88823,Q96723,داعی صفیر - چهارمین حاکم دولت علویان طبرستان
88829,Q96729,الناصر إلى الحق الحسن بن علي « الأطروش »
88855,Q96755,عبيد الله الثالث أبو علي
88984,Q96884,الخليفة موسى الهادي  بن المهدي
88986,Q96886,الخليفة هارون الرشيد  بن المهدي
88994,Q96894,الخيزران
88996,Q96896,موسى الهادي
88998,Q96898,هارون الرشيد
89000,Q96900,العباسة أو علية
89008,Q96908,سعد  بن تيم
89159,Q97059,عيسى
89205,Q97105,يحيى الزاهد  الحسني
89273,Q97173,محمد  الحسيني
89285,Q97185,سید محمد بن احمد اعرابی
89293,Q97193,إبراهيم المرتضى
89295,Q97195,إبراهيم المرتضى
89297,Q97197,إبراهيم المرتضى
89299,Q97199,إبراهيم المرتضى
89301,Q97201,الحسين الرضى
89303,Q97203,طاهر أبو الطيب
89305,Q97205,إبراهيم المرتضى
89307,Q97207,إبراهيم المرتضى
89309,Q97209,إبراهيم المرتضى
89311,Q97211,إبراهيم المرتضى
89313,Q97213,إبراهيم المرتضى
89315,Q97215,إبراهيم المرتضى
89518,Q97418,المهدي محمد بن الحسن الداعي
89538,Q97438,الأمير محمد الأشترأمير المدينة
89676,Q97576,زبيدة
89678,Q97578,محمد الأمين
89680,Q97580,مراجل الفارسية
89682,Q97582,عبد الله المأمون
89684,Q97584,ماردة أم ولد
89686,Q97586,محمد المعتصم بالله
89708,Q97608,كعب  بن سعد
89850,Q97750,حرمة
89889,Q97789,فاطمة بنت أحمد القرشية
89891,Q97791,عبد الله الجيلي  الحسني
89897,Q97797,يحي  الهاشمي
89971,Q97871,حسين  الحسيني
89985,Q97885,Seyyed Ismail  سید اسمعیل
90001,Q97901,إبراهيم المرتضى
90003,Q97903,إبراهيم المرتضى
90005,Q97905,الشريف أبو القاسم  بن الشريف محمود
90007,Q97907,محمد المحدث
90009,Q97909,إبراهيم المرتضى
90011,Q97911,إبراهيم المرتضى
90013,Q97913,إبراهيم المرتضى
90015,Q97915,إبراهيم المرتضى
90197,Q98097,الأمير النقيب محمد أبو علي
90323,Q98223,هارون الواثق بالله
90325,Q98225,جعفر المتوكل على الله
90327,Q98227,محمد
90357,Q98257,عمرو  بن كعب
90375,Q98275,معاویة بن یزید
90480,Q98380,علي
90482,Q98382,علي
90504,Q98404,موسى الثالث
90510,Q98410,عيسى  الهاشمي
90571,Q98471,أحمد  الحسيني
90585,Q98485,Seyyed Mohammad  سید محمد
90599,Q98499,إبراهيم المرتضى
90601,Q98501,الشريف محمود  بن الشريف حسين الرضي
90603,Q98503,عبد الله  الحسيني
90654,Q98554,Shahr Banu  بنت الإمبراطور فلافيوس موريسيوس تيبيريوس أجوستوس
90694,Q98594,Hermisdas  بن كسرى خسرو الأول أنوشيروان
90704,Q98604,Khosrau I (Anushirvan)  بن كسرى قباد الأول
90730,Q98630,Peroz  بن كسرى يزدجرد الثاني
90746,Q98646,Yazdegerd  بن كسرى بهرام الخامس
90751,Q98651,النقيب أحمد أبو عبد الله
90760,Q98660,Bahrám Gur  بن كسرى يزدجرد الأول
90780,Q98680,Yazdegerd  بن كسرى شابور الثالث
90800,Q98700,Shapur  بن كسرى شابور الثاني
90845,Q98745,Hormizd II-  بن كسرى نرسي
90866,Q98766,محمد المهتدي بالله
90868,Q98768,أحمد المستعين بالله
91004,Q98904,أبي بكر
91006,Q98906,أبي بكر
91034,Q98934,أبي عبد الله الحسين الشهيربقضيب البان  الموصلي
91042,Q98942,حمزة  الوهاسي
91098,Q98998,محمود  الحسيني
91112,Q99012,Seyyed Jaffar  سید جعفر
91114,Q99014,سید محمد
91132,Q99032,بن الشريف حسين الرضي
91134,Q99034,بن الشريف حسين الرضي
91138,Q99038,لي ابن الدوليمية
91362,Q99262,أبو الحسين زيد ضياء الدين
91526,Q99426,الملك أرتازركسيس- أردشير الأول  بن الملك زركسيس الأول
91530,Q99430,الملك زركسيس الأول  بن الملك داريوس الأول
91536,Q99436,الأميرة أتوسّا  بنت الملك قورش الثاني العظيم
91538,Q99438,الملك داريوس الأول  بن الأمير هستاسبس
91542,Q99442,الملك قورش الثاني العظيم  بن قمبيز الأول
91545,Q99445,الأميرة كاسّاندان  بنت فارناسبس
91546,Q99446,الأمير هستاسبس  بن أرسامس
91548,Q99448,قمبيز الأول  بن قورش الأول
91550,Q99450,الأميرة ماندان  بنت الملك أستياجس
91552,Q99452,أرسامس  بن أريارامنس
91554,Q99454,قورش الأول  بن الملك تسيبس
91556,Q99456,الملك أستياجس  بن الملك سياخاريس
91558,Q99458,الملكة أرينيس  بنت الملك ألياتّيس الثاني
91560,Q99460,أريارامنس  بن الملك تيسبس
91562,Q99462,الملك تيسبس  بن الملك أخمينيس
91564,Q99464,الملك سياخاريس  بن الملك فراورتيس
91566,Q99466,الملك الياتّيس الثاني  بن الملك سادياتّيس
91572,Q99472,الملك أخمينيس
91574,Q99474,الملك فراورتيس  بن الملك ديوكيس
91576,Q99476,الملك سادياتّيس  بن الملك أرديس الثاني
91584,Q99484,الملك ديوكيس
91586,Q99486,الملك أرديس الثاني  بن الملك جيجس
91592,Q99492,الملك جيجس
92190,Q100090,بنت عبد الله
92496,Q100396,موسى  بن قلند
92561,Q100461,عبد الله  بن محمد
92908,Q100808,مطرف  بن موسى
92934,Q100834,موسى  بن محمد
93613,Q101513,عبد الرحمن الناصر لدين الله  محمد بن
93697,Q101597,عبد الملك  بن موسى
94562,Q102462,الإمام علي (ع)
94803,Q102703,أبو العاص آل الحكم  بن عبد الرحمن
96689,Q104589,أبو الوليد هشام  بن الحكم
96691,Q104591,بن الحكم
97727,Q105627,محياة بنت امرئ القيس بن عدي
97743,Q105643,السيدة زينب (ع)
97747,Q105647,أسماء  بنت عميس
97887,Q105787,فاطمة بنت الـحسن بن علي‎  بنت الإمام أمير المؤمنين الحسن فاطمة بنت الـحسن بن علي/ Umm ‘Abd
97906,Q105806,القاسم بن الحسن‎
97914,Q105814,شهربانو بنت كسرى يزدجرد الثالث
97926,Q105826,رباب بنت امرئ القيس بن عدى بن أوس رباب بنت امرئ القيس بن عدى بن أوس
98068,Q105968,عبد الله المحض  الحسني
98088,Q105988,الإمام محمد الباقر  بن الإمام علي زين العابدين
98090,Q105990,عبدالله بن علی بن حسین
98126,Q106026,علي الأصغر
98156,Q106056,Sayyidna 'Amar bin Abdullaah bin Sayyidna Muslim  عَمَرو بن عبداللہ بن مسلم بن عقیل
98307,Q106207,إدريس الأكبر
98321,Q106221,محمد النفس الزكيه
98325,Q106225,موسى الجون  الحسني
98355,Q106255,أم فروة- فاطمة  بنت القاسم
98371,Q106271,علی السلطان‌
98411,Q106311,محبه بنت عمرو بن علی بن الحسین(ع)
98433,Q106333,الأمير عبيد الله الأول الأعرج
98518,Q106418,عبدالله  بن العباس
98596,Q106496,خلیفه سوم از خلفای راشدین عثمان بن عفان
98604,Q106504,عبدالرحمن  بن أبي بكر الصديق
98688,Q106588,إدريس الأنور
98718,Q106618,عبد الله شاه غازي
98724,Q106624,عبد الله الصالح  الحسني
98740,Q106640,موسى بن جعفر الكاظم
98742,Q106642,علي العريضي  الحسيني
98919,Q106819,علي  بن عبدالله
98929,Q106829,علي السجاد
98931,Q106831,عبد الله
