# GEDCOM ID to Wikibase QID Mapping
# Generated by repair_then_upload.py

# Properties
alternate_name	P6
birth_date	P7
burial_date	P9
child	P20
death_date	P8
father	P22
full_name	P5
gedcom_refn	P41
given_name	P3
husband	P18
instance_of	P39
marriage_date	P10
mother	P21
notes_page	P15
occupation	P12
parent_family	P16
residence	P13
sex	P11
source	P14
spouse	P42
spouse_family	P2
surname	P4
wife	P19

@I23601@	Q4333
@I23612@	Q4344
@I23623@	Q4355
@I23634@	Q4366
@I23645@	Q4377
@I23656@	Q4388
@I23667@	Q4399
@I23678@	Q4410
@I23689@	Q4421
@I23700@	Q4432
@I23711@	Q4443
@I23844@	Q4918
@I23887@	Q4617
@I23889@	Q4618
@I23890@	Q4619
@I23891@	Q4620
@I23892@	Q4621
@I23893@	Q4622
@I23894@	Q4623
@I23895@	Q4624
@I23896@	Q4625
@I23898@	Q4626
@I23899@	Q4627
@I23901@	Q4628
@I23902@	Q4629
@I23904@	Q4630
@I23905@	Q4631
@I23907@	Q4633
@I23911@	Q4636
@I23913@	Q4638
@I23916@	Q4641
@I23918@	Q4642
@I23920@	Q4644
@I23922@	Q4646
@I23928@	Q4652
@I23935@	Q4659
@I23938@	Q4662
@I23939@	Q4663
@I23946@	Q4669
@I23956@	Q4675
@I23957@	Q4676
@I23958@	Q4677
@I23959@	Q4678
@I23961@	Q4679
@I23962@	Q4680
@I23963@	Q4681
@I23964@	Q4682
@I23969@	Q4687
@I23979@	Q4697
@I23980@	Q4698
@I23981@	Q4699
@I23983@	Q4701
@I23988@	Q4706
@I23991@	Q4709
@I23994@	Q4712
@I23996@	Q4714
@I23998@	Q4886
@I23999@	Q4717
@I24001@	Q4719
@I24002@	Q4720
@I24003@	Q4721
@I24005@	Q4723
@I24007@	Q4846
@I24009@	Q4727
@I24010@	Q4728
@I24011@	Q4729
@I24013@	Q4731
@I24016@	Q4734
@I24017@	Q4735
@I24018@	Q4736
@I24019@	Q4737
@I24020@	Q4738
@I24021@	Q4739
@I24024@	Q4742
@I24025@	Q4743
@I24027@	Q4745
@I24028@	Q4746
@I24029@	Q4747
@I24030@	Q4748
@I24033@	Q4751
@I24034@	Q4752
@I24038@	Q4756
@I24039@	Q4757
@I24040@	Q4758
@I24041@	Q4759
@I24042@	Q4760
@I24043@	Q4761
@I24044@	Q4762
@I24045@	Q4763
@I24046@	Q4764
@I24048@	Q4766
@I24049@	Q4767
@I24051@	Q4769
@I24053@	Q4771
@I24055@	Q4773
@I24059@	Q4777
@I24060@	Q4778
@I24062@	Q4780
@I24074@	Q4792
@I24075@	Q4793
@I24076@	Q4794
@I24077@	Q4795
@I24078@	Q4796
@I24079@	Q4797
@I24080@	Q4798
@I24081@	Q4799
@I24083@	Q4801
@I24084@	Q4802
@I24085@	Q4803
@I24086@	Q4804
@I24088@	Q4806
@I24089@	Q4807
@I24090@	Q4808
@I24092@	Q4810
@I24094@	Q4812
@I24095@	Q4813
@I24096@	Q4814
@I24097@	Q4815
@I24098@	Q4816
@I24099@	Q4817
@I24100@	Q4818
@I24101@	Q4819
@I24102@	Q4820
@I24104@	Q4822
@I24105@	Q4823
@I24112@	Q4830
@I24113@	Q4831
@I24114@	Q4832
@I24115@	Q4833
@I24117@	Q4835
@I24118@	Q4836
@I24120@	Q4838
@I24121@	Q4839
@I24122@	Q4840
@I24123@	Q4841
@I24124@	Q4842
@I24126@	Q4844
@I24127@	Q4845
@I24130@	Q4848
@I24132@	Q4850
@I24133@	Q4851
@I24134@	Q4852
@I24135@	Q4853
@I24136@	Q4854
@I24137@	Q4855
@I24139@	Q4857
@I24143@	Q4861
@I24144@	Q4925
@I24145@	Q4901
@I24146@	Q4864
@I24149@	Q4867
@I24150@	Q4868
@I24151@	Q4869
@I24153@	Q4871
@I24154@	Q4872
@I24162@	Q4880
@I24165@	Q4883
@I24167@	Q4885
@I24171@	Q4889
@I24172@	Q4890
@I24173@	Q4891
@I24174@	Q4892
@I24180@	Q4898
@I24181@	Q4899
@I24182@	Q4900
@I24185@	Q4903
@I24198@	Q4916
@I24199@	Q4917
@I24208@	Q4926
@I24209@	Q4927
@I24210@	Q4928
@I24211@	Q4929
@I24212@	Q4930
@I24214@	Q4932
@I24230@	Q4948
@I24265@	Q4983
@I24266@	Q4984
@I24270@	Q4988
@I24298@	Q5016
@I2431@	Q3804
@I24351@	Q5069
@I24733@	Q6354
@I24755@	Q6083
@I25148@	Q5865
@I25149@	Q5866
@I25151@	Q5868
@I25152@	Q5869
@I25154@	Q5871
@I25161@	Q5878
@I25162@	Q5879
@I25164@	Q5881
@I25166@	Q5883
@I25167@	Q5884
@I25180@	Q5897
@I25189@	Q5906
@I25195@	Q5912
@I25196@	Q5913
@I25199@	Q5916
@I25202@	Q5919
@I25203@	Q5920
@I25219@	Q5936
@I25221@	Q5938
@I25229@	Q5946
@I25237@	Q5954
@I25258@	Q6022
@I25259@	Q5976
@I25266@	Q5983
@I25291@	Q6008
@I25292@	Q6009
@I25293@	Q6010
@I25379@	Q6096
@I25390@	Q6107
@I25505@	Q6222
@I25533@	Q6250
@I2564@	Q3815
@I2697@	Q3826
@I2830@	Q3837
@I2963@	Q3848
@I3097@	Q3859
@I317@	Q544
@I3230@	Q3870
@I326@	Q553
@I3363@	Q3881
@I3415@	Q1209
@I3629@	Q3903
@I3762@	Q3914
@I3895@	Q3925
@I390@	Q617
@I391@	Q618
@I392@	Q619
@I3@	Q282
@I4028@	Q3936
@I408@	Q635
@I4161@	Q3947
@I42277@	Q3527
@I4228@	Q1216
@I4250@	Q1217
@I4292@	Q3958
@I4396@	Q1221
@I4397@	Q1222
@I4398@	Q1223
@I4399@	Q1224
@I4401@	Q1225
@I4402@	Q1226
@I4403@	Q1227
@I4405@	Q1229
@I4406@	Q1230
@I4407@	Q1231
@I4408@	Q1232
@I4409@	Q1233
@I4410@	Q1234
@I4411@	Q1235
@I4413@	Q1236
@I4414@	Q1237
@I4416@	Q1238
@I4417@	Q1239
@I4418@	Q1240
@I4419@	Q1241
@I4420@	Q1242
@I4421@	Q1243
@I4422@	Q1244
@I4423@	Q1245
@I4424@	Q3969
@I4425@	Q1247
@I4427@	Q1248
@I4428@	Q1249
@I4429@	Q1250
@I4430@	Q1251
@I4431@	Q1252
