# GEDCOM ID to Wikibase QID Mapping
# Generated by repair_then_upload.py

# Properties
alternate_name	P6
birth_date	P7
burial_date	P9
child	P20
death_date	P8
father	P22
full_name	P5
gedcom_refn	P41
given_name	P3
husband	P18
instance_of	P39
marriage_date	P10
mother	P21
notes_page	P15
occupation	P12
parent_family	P16
residence	P13
sex	P11
source	P14
spouse	P42
spouse_family	P2
surname	P4
wife	P19

@I9840@	Q2192
@I9846@	Q2194
@I9854@	Q2198
@I9859@	Q2200
@I9865@	Q2204
@I986@	Q1188
@I9871@	Q2206
@I9877@	Q2210
@I9882@	Q2212
@I9889@	Q2215
@I9894@	Q2217
@I9899@	Q2219
@I9907@	Q2222
@I9913@	Q2224
@I9916@	Q2226
@I9920@	Q2227
@I9922@	Q2229
@I9925@	Q2627
@I9927@	Q2233
@I9929@	Q2234
@I9932@	Q2236
@I9936@	Q2239
@I9937@	Q2240
@I9939@	Q2628
@I9942@	Q2243
@I9943@	Q2244
@I9945@	Q2630
@I9947@	Q2247
@I9948@	Q2248
@I9950@	Q2249
@I9953@	Q2250
@I9955@	Q2252
@I9956@	Q2253
@I9957@	Q2254
@I9959@	Q2255
@I9962@	Q2258
@I9964@	Q2259
@I9965@	Q2260
@I9967@	Q2261
@I9969@	Q2263
@I9970@	Q2264
@I9973@	Q2266
@I9976@	Q2268
@I9977@	Q2269
@I9979@	Q2270
@I997@	Q1198
@I9982@	Q2272
@I9988@	Q2276
@I9989@	Q2277
@I9991@	Q2279
@I9992@	Q2280
@I9994@	Q2282
@I9995@	Q2632
@I9999@	Q2286

# Families
@F14236@	Q291
@F1@	Q286
@F5@	Q290
@I10002@	Q26428
@I10005@	Q26437
@I10010@	Q26449
@I10013@	Q26458
@I10060@	Q26540
@I10083@	Q26588
@I10089@	Q26600
@I10092@	Q26609
@I10098@	Q26621
@I10002@	Q27472
@I10005@	Q27484
@I10010@	Q27500
@I10002@	Q28069
@I10002@	Q28133
@I10005@	Q28145
@I10000@	Q28211
@I10001@	Q28215
@I10002@	Q28219
@I10003@	Q28223
@I10004@	Q28227
@I10005@	Q28231
@I10006@	Q28235
@I10008@	Q28239
@I10009@	Q28243
@I10010@	Q28247
@I10011@	Q28251
@I10012@	Q28255
@I10013@	Q28260
@I10014@	Q28264
@I10015@	Q28268
@I10016@	Q28272
@I10017@	Q28276
@I10019@	Q28280
@I10020@	Q28284
@I10021@	Q28288
@I10022@	Q28292
@I10024@	Q28296
@I10025@	Q28300
@I10026@	Q28304
@I10027@	Q28308
@I10030@	Q28312
@I10033@	Q28316
@I10034@	Q28320
@I10035@	Q28324
@I10036@	Q28328
@I10042@	Q28332
@I10045@	Q28336
@I10046@	Q28340
@I10049@	Q28344
@I10051@	Q28348
@I10055@	Q28352
@I10056@	Q28356
@I10057@	Q28360
@I10058@	Q28364
@I10059@	Q28368
@I10060@	Q28372
@I10061@	Q28376
@I10063@	Q28380
@I10064@	Q28384
@I10065@	Q28388
@I10067@	Q28392
@I10068@	Q28396
@I10069@	Q28400
@I10070@	Q28404
@I10072@	Q28408
@I10074@	Q28412
@I10076@	Q28416
@I10077@	Q28420
@I10078@	Q28425
@I10079@	Q28429
@I10082@	Q28433
@I10083@	Q28437
@I10085@	Q28441
@I10087@	Q28445
@I10088@	Q28449
@I10089@	Q28453
@I10090@	Q28457
@I10091@	Q28461
@I10092@	Q28465
@I10093@	Q28469
@I10094@	Q28473
@I10096@	Q28477
@I10098@	Q28481
@I10099@	Q28485
@I10100@	Q28489
@I10101@	Q28493
@I10102@	Q28497
@I10103@	Q28501
@I10104@	Q28505
@I10105@	Q28509
@I10000@	Q28600
@I10001@	Q28604
@I10002@	Q28608
@I10003@	Q28612
@I10004@	Q28616
@I10005@	Q28620
@I10006@	Q28624
@I10008@	Q28628
@I10009@	Q28632
@I10010@	Q28636
@I10011@	Q28640
@I10012@	Q28644
@I10013@	Q28648
@I10014@	Q28652
@I10015@	Q28656
@I10016@	Q28660
@I10017@	Q28664
@I10019@	Q28668
@I10020@	Q28672
@I10021@	Q28676
@I10022@	Q28680
@I10024@	Q28684
@I10025@	Q28688
@I10026@	Q28692
@I10027@	Q28696
@I10030@	Q28700
@I10033@	Q28704
@I10034@	Q28708
@I10035@	Q28712
@I10036@	Q28716
@I10042@	Q28720
@I10045@	Q28724
@I10046@	Q28728
@I10049@	Q28733
@I10051@	Q28737
@I10055@	Q28741
@I10056@	Q28745
@I10057@	Q28749
@I10058@	Q28753
@I10059@	Q28757
@I10060@	Q28761
@I10061@	Q28765
@I10063@	Q28769
@I10064@	Q28773
@I10065@	Q28777
@I10067@	Q28781
@I10068@	Q28785
@I10069@	Q28789
@I10070@	Q28793
@I10072@	Q28797
@I10074@	Q28801
@I10076@	Q28805
@I10077@	Q28809
@I10078@	Q28813
@I10079@	Q28817
@I10082@	Q28821
@I10083@	Q28825
@I10085@	Q28829
@I10087@	Q28833
@I10088@	Q28837
@I10089@	Q28841
@I10090@	Q28845
@I10091@	Q28849
@I10092@	Q28853
@I10093@	Q28857
@I10094@	Q28861
@I10096@	Q28865
@I10098@	Q28869
@I10099@	Q28873
@I10100@	Q28877
@I10101@	Q28881
@I10102@	Q28885
@I10103@	Q28889
@I10104@	Q28893
@I10105@	Q28897
@I10107@	Q28901
@I10108@	Q28905
@I10109@	Q28909
@I10110@	Q28913
@I10111@	Q28917
@I10112@	Q28921
@I10114@	Q28925
@I10115@	Q28929
@I10118@	Q28933
@I10119@	Q28938
@I10120@	Q28942
@I10122@	Q28946
@I10123@	Q28950
@I10124@	Q28954
@I10125@	Q28958
@I10126@	Q28962
@I10127@	Q28966
@I10129@	Q28970
@I10130@	Q28974
@I10131@	Q28978
@I10132@	Q28982
@I10133@	Q28986
@I10134@	Q28990
@I10135@	Q28994
@I10137@	Q28998
@I10138@	Q29002
@I10140@	Q29006
@I10141@	Q29010
@I10144@	Q29014
@I10147@	Q29018
@I10148@	Q29022
@I10149@	Q29026
@I10151@	Q29030
@I10152@	Q29035
@I10153@	Q29039
@I10154@	Q29043
@I10155@	Q29047
@I10156@	Q29051
@I10157@	Q29055
@I10158@	Q29059
@I10159@	Q29063
@I10160@	Q29067
@I10162@	Q29072
@I10163@	Q29076
@I10164@	Q29080
@I10165@	Q29084
@I10166@	Q29088
@I10167@	Q29092
@I10168@	Q29096
@I10169@	Q29100
@I10170@	Q29104
@I10171@	Q29108
@I10173@	Q29112
@I10174@	Q29116
@I10175@	Q29120
@I10176@	Q29124
@I10177@	Q29128
@I10178@	Q29132
@I10179@	Q29136
@I10182@	Q29140
@I10184@	Q29144
@I10185@	Q29148
@I10186@	Q29152
@I10187@	Q29156
@I10188@	Q29160
@I10189@	Q29164
@I10190@	Q29168
@I10191@	Q29172
@I10192@	Q29176
@I10193@	Q29180
@I10195@	Q29184
@I10198@	Q29188
@I10199@	Q29192
@I10200@	Q29196
@I10201@	Q29200
@I10202@	Q29204
@I10203@	Q29208
@I10204@	Q29212
@I10206@	Q29216
@I10207@	Q29220
@I10208@	Q29224
@I10209@	Q29228
@I10210@	Q29232
@I10211@	Q29236
@I10212@	Q29240
@I10213@	Q29244
@I10214@	Q29248
@I10215@	Q29252
@I10224@	Q29256
@I10225@	Q29260
@I10226@	Q29264
@I10228@	Q29268
@I10229@	Q29272
@I10230@	Q29276
@I10231@	Q29280
@I10232@	Q29284
@I10233@	Q29288
@I10234@	Q29292
@I10235@	Q29296
@I10236@	Q29300
@I10240@	Q29304
@I10241@	Q29308
@I10242@	Q29312
@I10243@	Q29316
@I10244@	Q29320
@I10245@	Q29324
@I10246@	Q29328
@I10247@	Q29332
@I10248@	Q29336
@I10250@	Q29340
@I10251@	Q29344
@I10252@	Q29348
@I10253@	Q29352
@I10254@	Q29356
@I10255@	Q29360
@I10256@	Q29364
@I10257@	Q29369
@I10258@	Q29373
@I10259@	Q29377
@I10272@	Q29381
@I10284@	Q29385
@I10296@	Q29389
@I10299@	Q29393
@I10300@	Q29397
@I10301@	Q29401
@I10303@	Q29405
@I10305@	Q29409
@I10306@	Q29413
@I10308@	Q29417
@I10309@	Q29421
@I10310@	Q29425
@I10311@	Q29429
@I10312@	Q29433
@I10314@	Q29437
@I10317@	Q29441
@I10319@	Q29445
@I10321@	Q29449
@I10322@	Q29453
@I10323@	Q29457
@I10324@	Q29461
@I10325@	Q29465
@I10327@	Q29469
@I10328@	Q29473
@I10329@	Q29477
@I10331@	Q29481
@I10332@	Q29485
@I10333@	Q29489
@I10334@	Q29493
@I10335@	Q29497
@I10338@	Q29501
@I10340@	Q29505
@I10341@	Q29509
@I10342@	Q29513
@I10344@	Q29517
@I10346@	Q29521
@I10347@	Q29525
@I10349@	Q29529
@I10351@	Q29533
@I10353@	Q29538
@I10354@	Q29542
@I10356@	Q29546
@I10357@	Q29550
@I10358@	Q29554
@I10360@	Q29558
@I10361@	Q29562
@I10362@	Q29566
@I10363@	Q29570
@I10364@	Q29574
@I10365@	Q29578
@I10366@	Q29582
@I10367@	Q29586
@I10368@	Q29590
@I10369@	Q29594
@I10371@	Q29598
@I10372@	Q29602
@I10373@	Q29606
@I10374@	Q29610
@I10375@	Q29614
@I10376@	Q29618
@I10377@	Q29622
@I10378@	Q29626
@I10379@	Q29630
@I10380@	Q29634
@I10382@	Q29638
@I10383@	Q29642
@I10384@	Q29646
@I10388@	Q29650
@I10395@	Q29654
@I10404@	Q29658
@I10415@	Q29662
@I10424@	Q29666
@I10435@	Q29670
@I10446@	Q29674
@I10457@	Q29678
@I10470@	Q29682
@I10478@	Q29686
@I10489@	Q29690
@I10501@	Q29694
@I10514@	Q29698
@I10526@	Q29702
@I10538@	Q29706
@I10549@	Q29710
@I10560@	Q29714
@I10572@	Q29718
@I10583@	Q29722
@I10594@	Q29726
@I10605@	Q29730
@I10617@	Q29734
@I10629@	Q29738
@I10640@	Q29742
@I10651@	Q29746
@I10949@	Q29750
@I11070@	Q29754
@I11086@	Q29758
@I11087@	Q29762
@I11088@	Q29766
@I11089@	Q29770
@I11090@	Q29774
@I11091@	Q29778
@I11092@	Q29782
@I11093@	Q29786
@I11100@	Q29790
@I11102@	Q29794
@I11103@	Q29798
@I11104@	Q29802
@I11105@	Q29806
@I11106@	Q29810
@I11114@	Q29814
@I11115@	Q29818
@I11116@	Q29822
@I11117@	Q29826
@I11118@	Q29830
@I11119@	Q29834
@I11121@	Q29838
@I11122@	Q29842
@I11123@	Q29846
@I11124@	Q29850
@I11125@	Q29854
@I11126@	Q29858
@I11127@	Q29862
@I11129@	Q29866
@I11131@	Q29870
@I11132@	Q29874
@I11133@	Q29878
@I11134@	Q29882
@I11135@	Q29886
@I11136@	Q29890
@I11137@	Q29894
@I11138@	Q29898
@I11139@	Q29902
@I11140@	Q29906
@I11142@	Q29910
@I11143@	Q29914
@I11144@	Q29918
@I11145@	Q29922
@I11146@	Q29926
@I11147@	Q29931
@I11149@	Q29935
@I11152@	Q29939
@I11157@	Q29943
@I11201@	Q29947
@I11202@	Q29951
@I11203@	Q29955
@I11204@	Q29959
@I11208@	Q29963
@I11213@	Q29967
@I11214@	Q29971
@I11216@	Q29975
@I11218@	Q29979
@I11220@	Q29983
@I11224@	Q29987
@I11225@	Q29991
@I11226@	Q29995
@I11227@	Q29999
@I11228@	Q30003
@I11233@	Q30007
@I11239@	Q30011
@I11243@	Q30015
@I11244@	Q30020
@I11245@	Q30024
@I19987@	Q30028
@I20096@	Q30032
@I20250@	Q30036
@I20341@	Q30040
@I20365@	Q30044
@I21902@	Q30048
@I21903@	Q30052
@I21904@	Q30056
@I21905@	Q30060
@I21906@	Q30064
@I21907@	Q30068
@I21908@	Q30072
@I21909@	Q30076
@I21910@	Q30080
@I21911@	Q30084
@I21912@	Q30088
@I21913@	Q30092
@I21914@	Q30096
@I21915@	Q30100
@I21916@	Q30104
@I21917@	Q30108
@I21918@	Q30112
@I21919@	Q30116
@I21920@	Q30120
@I21921@	Q30124
@I21922@	Q30128
@I21923@	Q30132
@I21924@	Q30136
@I21925@	Q30140
@I21926@	Q30144
@I21927@	Q30148
@I21928@	Q30152
@I21929@	Q30156
@I21930@	Q30160
@I21931@	Q30164
@I21932@	Q30168
@I21933@	Q30172
@I21934@	Q30176
@I21935@	Q30180
@I21936@	Q30184
@I21937@	Q30188
@I21938@	Q30192
@I21939@	Q30196
@I21940@	Q30200
@I21941@	Q30204
@I21942@	Q30208
@I21943@	Q30212
@I21944@	Q30216
@I21945@	Q30220
@I21946@	Q30225
@I21947@	Q30229
@I21948@	Q30233
@I21949@	Q30237
@I21950@	Q30241
@I21951@	Q30245
@I21952@	Q30249
@I21953@	Q30253
@I21954@	Q30257
@I21955@	Q30261
@I21956@	Q30265
@I21957@	Q30269
@I21958@	Q30273
@I21959@	Q30277
@I21960@	Q30281
@I21961@	Q30285
@I21962@	Q30289
@I21963@	Q30293
@I21964@	Q30297
@I21965@	Q30301
@I21966@	Q30305
@I21967@	Q30309
@I21968@	Q30313
@I21969@	Q30317
@I21970@	Q30321
@I21971@	Q30325
@I21972@	Q30329
@I21973@	Q30333
@I21974@	Q30337
@I21975@	Q30341
@I21976@	Q30345
@I21977@	Q30349
@I21978@	Q30353
@I21979@	Q30357
@I21980@	Q30361
@I21981@	Q30365
@I21982@	Q30369
@I21983@	Q30373
@I21984@	Q30377
@I21985@	Q30381
@I21986@	Q30385
@I21987@	Q30389
@I21988@	Q30393
@I21989@	Q30397
@I21990@	Q30401
@I21991@	Q30405
@I21992@	Q30409
@I21993@	Q30413
@I21994@	Q30417
@I21995@	Q30421
@I21996@	Q30425
@I21997@	Q30429
@I21998@	Q30433
@I21999@	Q30437
@I22000@	Q30441
@I22001@	Q30445
@I22002@	Q30449
@I22003@	Q30453
@I22004@	Q30457
@I22005@	Q30461
@I22006@	Q30465
@I22007@	Q30469
@I22008@	Q30473
@I22009@	Q30477
@I22010@	Q30481
@I22011@	Q30485
@I22012@	Q30489
@I22013@	Q30494
@I22014@	Q30498
@I22015@	Q30502
@I22016@	Q30506
@I22017@	Q30510
@I22018@	Q30514
@I22019@	Q30518
@I22020@	Q30522
@I22021@	Q30526
@I22022@	Q30530
@I22023@	Q30534
@I22024@	Q30538
@I22025@	Q30542
@I22026@	Q30546
@I22027@	Q30550
@I22028@	Q30554
@I22029@	Q30558
@I22030@	Q30562
@I22031@	Q30566
@I22032@	Q30570
@I22033@	Q30574
@I22034@	Q30578
@I22035@	Q30582
@I22036@	Q30586
@I22037@	Q30590
@I22038@	Q30594
@I22039@	Q30598
@I22040@	Q30602
@I22041@	Q30606
@I22042@	Q30610
@I22043@	Q30614
@I22044@	Q30618
@I22045@	Q30622
@I22046@	Q30626
@I22047@	Q30630
@I22048@	Q30634
@I22049@	Q30638
@I22050@	Q30642
@I22051@	Q30646
@I22052@	Q30650
@I22053@	Q30654
@I22054@	Q30658
@I22055@	Q30662
@I22056@	Q30666
@I22057@	Q30670
@I22058@	Q30674
@I22059@	Q30678
@I22060@	Q30683
@I22061@	Q30687
@I22062@	Q30691
@I22063@	Q30695
@I22064@	Q30699
@I22065@	Q30703
@I22066@	Q30707
@I22067@	Q30711
@I22068@	Q30715
@I22069@	Q30719
@I22070@	Q30723
@I22071@	Q30727
@I22072@	Q30731
@I22073@	Q30735
@I22074@	Q30739
@I22075@	Q30743
@I22076@	Q30747
@I22077@	Q30751
@I22078@	Q30755
@I22079@	Q30759
@I22080@	Q30763
@I22081@	Q30767
@I22082@	Q30771
@I22083@	Q30775
@I22084@	Q30779
@I22085@	Q30783
@I22086@	Q30787
@I22087@	Q30792
@I22088@	Q30796
@I22089@	Q30800
@I22090@	Q30804
@I22091@	Q30808
@I22092@	Q30812
@I22093@	Q30816
@I22094@	Q30820
@I22095@	Q30824
@I22096@	Q30828
@I22097@	Q30832
@I22098@	Q30836
@I22099@	Q30840
@I22100@	Q30844
@I22101@	Q30848
@I22102@	Q30852
@I22103@	Q30856
@I22104@	Q30860
@I22105@	Q30864
@I22106@	Q30868
@I22107@	Q30872
@I22108@	Q30876
@I22109@	Q30880
@I22110@	Q30884
@I22111@	Q30888
@I22112@	Q30892
@I22113@	Q30896
@I22114@	Q30900
@I22115@	Q30904
@I22116@	Q30908
@I22118@	Q30913
@I22119@	Q30917
@I22120@	Q30921
@I22121@	Q30925
@I22122@	Q30929
@I22123@	Q30933
@I22124@	Q30938
@I22125@	Q30942
@I22126@	Q30946
@I22127@	Q30950
@I22128@	Q30954
@I22129@	Q30958
@I22130@	Q30962
@I22131@	Q30966
@I22132@	Q30970
@I22133@	Q30973
@I22134@	Q30977
@I22135@	Q30981
@I22136@	Q30985
@I22137@	Q30990
@I22138@	Q30994
@I22139@	Q30998
@I22140@	Q31002
@I22141@	Q31006
@I22142@	Q31010
@I22143@	Q31014
@I22144@	Q31018
@I22145@	Q31022
@I22146@	Q31026
@I22147@	Q31030
@I22148@	Q31034
@I22149@	Q31038
@I22150@	Q31042
@I22151@	Q31046
@I22152@	Q31050
@I22153@	Q31054
@I22154@	Q31058
@I22155@	Q31062
@I22156@	Q31066
@I22157@	Q31070
@I22158@	Q31074
@I22159@	Q31078
@I22160@	Q31082
@I22161@	Q31086
@I22162@	Q31090
@I22163@	Q31094
@I22164@	Q31098
@I22165@	Q31102
@I22166@	Q31106
@I22167@	Q31110
@I22168@	Q31114
@I22169@	Q31118
@I22170@	Q31122
@I22171@	Q31126
@I22172@	Q31130
@I22173@	Q31134
@I22174@	Q31138
@I22175@	Q31142
@I22176@	Q31146
@I22177@	Q31150
@I22178@	Q31154
@I22179@	Q31158
@I22180@	Q31162
@I22181@	Q31166
@I22182@	Q31170
@I22183@	Q31174
@I22184@	Q31178
@I22185@	Q31182
@I22186@	Q31186
@I22187@	Q31191
@I22188@	Q31195
@I22189@	Q31199
@I22190@	Q31203
@I22191@	Q31207
@I22192@	Q31211
@I22193@	Q31215
@I22194@	Q31219
@I22195@	Q31223
@I22196@	Q31227
@I22197@	Q31231
@I22198@	Q31235
@I22199@	Q31239
@I22200@	Q31243
@I22202@	Q31247
@I22203@	Q31251
@I22204@	Q31255
@I22205@	Q31259
@I22206@	Q31263
@I22208@	Q31267
@I22209@	Q31271
@I22210@	Q31275
@I22211@	Q31279
@I22212@	Q31283
@I22213@	Q31287
@I22214@	Q31291
@I22215@	Q31295
@I22216@	Q31299
@I22217@	Q31303
@I22218@	Q31307
@I22219@	Q31311
@I22220@	Q31315
@I22221@	Q31319
@I22222@	Q31323
@I22223@	Q31327
@I22224@	Q31331
@I22225@	Q31335
@I22226@	Q31339
@I22227@	Q31344
@I22228@	Q31348
@I22229@	Q31352
@I22230@	Q31356
@I22231@	Q31360
@I22232@	Q31364
@I22233@	Q31368
@I22234@	Q31372
@I22235@	Q31376
@I22236@	Q31380
@I22237@	Q31384
@I22238@	Q31388
@I22239@	Q31392
@I22240@	Q31396
@I22241@	Q31400
@I22242@	Q31404
@I22243@	Q31408
@I22244@	Q31412
@I22245@	Q31416
@I22246@	Q31420
@I22247@	Q31424
@I22248@	Q31428
@I22249@	Q31432
@I22250@	Q31436
@I22251@	Q31440
@I22252@	Q31444
@I22253@	Q31448
@I22254@	Q31452
@I22255@	Q31456
@I22256@	Q31460
@I22257@	Q31464
@I22258@	Q31468
@I22259@	Q31472
@I22260@	Q31476
@I22261@	Q31480
@I22262@	Q31484
@I22263@	Q31488
@I22264@	Q31492
@I22265@	Q31496
@I22266@	Q31500
@I22267@	Q31504
@I22268@	Q31508
@I22269@	Q31512
@I22270@	Q31516
@I22271@	Q31520
@I22272@	Q31524
@I22273@	Q31528
@I22274@	Q31532
@I22275@	Q31536
@I22276@	Q31541
@I22277@	Q31545
@I22278@	Q31549
@I22279@	Q31553
@I22280@	Q31557
@I22281@	Q31561
@I22282@	Q31565
@I22283@	Q31569
@I22284@	Q31573
@I22285@	Q31577
@I22286@	Q31581
@I22287@	Q31585
@I22288@	Q31589
@I22289@	Q31593
@I22290@	Q31597
@I22291@	Q31601
@I22292@	Q31605
@I22293@	Q31609
@I22294@	Q31613
@I22295@	Q31617
@I22296@	Q31621
@I22297@	Q31625
@I22298@	Q31629
@I22299@	Q31633
@I22300@	Q31637
@I22301@	Q31641
@I22302@	Q31645
@I22303@	Q31649
@I22304@	Q31653
@I22305@	Q31657
@I22306@	Q31661
@I22307@	Q31665
@I22308@	Q31669
@I22309@	Q31673
@I22310@	Q31677
@I22311@	Q31681
@I22312@	Q31685
@I22313@	Q31689
@I22314@	Q31693
@I22315@	Q31697
@I22316@	Q31701
@I22317@	Q31705
@I22318@	Q31709
@I22319@	Q31713
@I22320@	Q31717
@I22321@	Q31721
@I22322@	Q31725
@I22323@	Q31729
@I22324@	Q31733
@I22325@	Q31737
@I22326@	Q31741
@I22327@	Q31745
@I22328@	Q31749
@I22329@	Q31753
@I22330@	Q31757
@I22331@	Q31761
@I22332@	Q31765
@I22333@	Q31769
@I22334@	Q31773
@I22335@	Q31777
@I22336@	Q31781
@I22337@	Q31785
@I22338@	Q31789
@I22339@	Q31793
@I22340@	Q31797
@I22341@	Q31801
@I22342@	Q31805
@I22343@	Q31809
@I22344@	Q31813
@I22345@	Q31817
@I22346@	Q31821
@I22347@	Q31825
@I22348@	Q31829
@I22349@	Q31833
@I22350@	Q31837
@I22351@	Q31841
@I22352@	Q31845
@I22353@	Q31849
@I22354@	Q31853
@I22355@	Q31857
@I22356@	Q31861
@I22357@	Q31865
@I22358@	Q31869
@I22359@	Q31873
@I22360@	Q31877
@I22361@	Q31881
@I22362@	Q31886
@I22363@	Q31890
@I22364@	Q31894
@I22365@	Q31898
@I22366@	Q31902
@I22367@	Q31906
@I22368@	Q31910
@I22369@	Q31914
@I22370@	Q31918
@I22371@	Q31922
@I22372@	Q31926
@I22373@	Q31930
@I22374@	Q31934
@I22375@	Q31938
@I22376@	Q31942
@I22377@	Q31946
@I22378@	Q31950
@I22379@	Q31954
@I22380@	Q31958
@I22381@	Q31962
@I22382@	Q31966
@I22383@	Q31970
@I22384@	Q31974
@I22385@	Q31978
@I22386@	Q31982
@I22387@	Q31986
@I22388@	Q31990
@I22389@	Q31994
@I22390@	Q31998
@I22391@	Q32002
@I22392@	Q32006
@I22393@	Q32010
@I22394@	Q32014
@I22395@	Q32018
@I22396@	Q32022
@I22397@	Q32026
@I22398@	Q32030
@I22399@	Q32034
@I22400@	Q32038
@I22401@	Q32042
@I22402@	Q32046
@I22403@	Q32050
@I22404@	Q32054
@I22405@	Q32058
@I22406@	Q32062
@I22407@	Q32066
@I22408@	Q32070
@I22409@	Q32074
@I22410@	Q32078
@I22411@	Q32082
@I22412@	Q32086
@I22413@	Q32090
@I22414@	Q32094
@I22415@	Q32098
@I22416@	Q32102
@I22417@	Q32106
@I22418@	Q32110
@I22419@	Q32114
@I22420@	Q32118
@I22421@	Q32122
@I22422@	Q32126
@I22423@	Q32130
@I22424@	Q32134
@I22425@	Q32138
@I22426@	Q32142
@I22427@	Q32146
@I22428@	Q32150
@I22429@	Q32154
@I22430@	Q32158
@I22431@	Q32162
@I22432@	Q32166
@I22433@	Q32170
@I22434@	Q32174
@I22435@	Q32178
@I22436@	Q32182
@I22437@	Q32186
@I22438@	Q32190
@I22439@	Q32194
@I22440@	Q32198
@I22441@	Q32202
@I22442@	Q32206
@I22443@	Q32210
@I22444@	Q32214
@I22445@	Q32218
@I22446@	Q32222
@I22447@	Q32226
@I22448@	Q32230
@I22449@	Q32234
@I22450@	Q32238
@I22451@	Q32242
@I22452@	Q32246
@I22453@	Q32250
@I22454@	Q32254
@I22455@	Q32258
@I22456@	Q32262
@I22457@	Q32266
@I22458@	Q32270
@I22459@	Q32274
@I22460@	Q32278
@I22461@	Q32282
@I22462@	Q32286
@I22463@	Q32290
@I22464@	Q32294
@I22465@	Q32298
@I22466@	Q32302
@I22467@	Q32306
@I22468@	Q32310
@I22469@	Q32314
@I22470@	Q32318
@I22471@	Q32323
@I22472@	Q32327
@I22473@	Q32331
@I22474@	Q32335
@I22475@	Q32339
@I22477@	Q32343
@I22478@	Q32347
@I22479@	Q32351
@I22480@	Q32355
@I22481@	Q32359
@I22482@	Q32363
@I22483@	Q32367
@I22484@	Q32371
@I22485@	Q32375
@I22486@	Q32379
@I22487@	Q32383
@I22488@	Q32387
@I22489@	Q32391
@I22490@	Q32395
@I22491@	Q32399
@I22492@	Q32403
@I22493@	Q32407
@I22494@	Q32411
@I22495@	Q32415
@I22496@	Q32419
@I22497@	Q32423
@I22498@	Q32427
@I22499@	Q32431
@I22500@	Q32435
@I22501@	Q32439
@I22502@	Q32443
@I22503@	Q32447
@I22504@	Q32451
@I22505@	Q32455
@I22506@	Q32459
@I22507@	Q32463
@I22508@	Q32467
@I22509@	Q32471
@I22510@	Q32475
@I22511@	Q32479
@I22512@	Q32483
@I22513@	Q32487
@I22514@	Q32491
@I22515@	Q32495
@I22516@	Q32499
@I22517@	Q32503
@I22518@	Q32507
@I22519@	Q32511
@I22520@	Q32515
@I22521@	Q32519
@I22522@	Q32523
@I22523@	Q32527
@I22524@	Q32532
@I22525@	Q32536
@I22526@	Q32540
@I22527@	Q32544
@I22528@	Q32548
@I22529@	Q32552
@I22530@	Q32556
@I22531@	Q32560
@I22532@	Q32564
@I22533@	Q32568
@I22534@	Q32572
@I22535@	Q32576
@I22536@	Q32580
@I22537@	Q32584
@I22538@	Q32588
@I22539@	Q32592
@I22540@	Q32596
@I22541@	Q32600
@I22542@	Q32604
@I22543@	Q32608
@I22544@	Q32612
@I22545@	Q32616
@I22546@	Q32620
@I22547@	Q32624
@I22548@	Q32628
@I22549@	Q32632
@I22550@	Q32636
@I22551@	Q32640
@I22552@	Q32644
@I22553@	Q32648
@I22554@	Q32652
@I22555@	Q32656
@I22556@	Q32660
@I22557@	Q32664
@I22558@	Q32668
@I22559@	Q32672
@I22560@	Q32676
@I22561@	Q32680
@I22562@	Q32684
@I22563@	Q32688
@I22564@	Q32692
@I22565@	Q32696
@I22566@	Q32700
@I22567@	Q32704
@I22568@	Q32708
@I22569@	Q32712
@I22570@	Q32716
@I22571@	Q32720
@I22572@	Q32724
@I22573@	Q32728
@I22574@	Q32732
@I22575@	Q32736
@I22576@	Q32740
@I22577@	Q32744
@I22578@	Q32748
@I22579@	Q32752
@I22580@	Q32756
@I22581@	Q32760
@I22582@	Q32764
@I22583@	Q32768
@I22584@	Q32772
@I22585@	Q32776
@I22586@	Q32780
@I22587@	Q32784
@I22588@	Q32788
@I22589@	Q32792
@I22590@	Q32796
@I22591@	Q32800
@I22592@	Q32804
@I22593@	Q32808
@I22594@	Q32812
@I22595@	Q32816
@I22596@	Q32820
@I22597@	Q32824
@I22598@	Q32828
@I22599@	Q32832
@I22600@	Q32836
@I22601@	Q32840
@I22602@	Q32844
@I22603@	Q32848
@I22604@	Q32852
@I22605@	Q32856
@I22606@	Q32860
@I22607@	Q32864
@I22608@	Q32868
@I22609@	Q32872
@I22610@	Q32876
@I22611@	Q32881
@I22612@	Q32885
@I22613@	Q32889
@I22614@	Q32893
@I22615@	Q32897
@I22616@	Q32901
@I22617@	Q32905
@I22618@	Q32909
@I22619@	Q32913
@I22620@	Q32917
@I22621@	Q32921
@I22622@	Q32925
@I22623@	Q32929
@I22624@	Q32933
@I22625@	Q32937
@I22626@	Q32941
@I22627@	Q32945
@I22628@	Q32949
@I22629@	Q32953
@I22630@	Q32957
@I22631@	Q32961
@I22632@	Q32965
@I22633@	Q32969
@I22634@	Q32973
@I22635@	Q32977
@I22636@	Q32981
@I22637@	Q32985
@I22638@	Q32989
@I22639@	Q32993
@I22640@	Q32997
@I22641@	Q33001
@I22642@	Q33005
@I22643@	Q33009
@I22644@	Q33013
@I22645@	Q33017
@I22646@	Q33021
@I22647@	Q33025
@I22648@	Q33029
@I22649@	Q33033
@I22650@	Q33037
@I22651@	Q33041
@I22652@	Q33045
