entity_without_ids,name_without_ids,lang_without_ids,entity_with_ids,name_with_ids,lang_with_ids,normalized_name
Q17437,Wu Sip Fu Zhong,en,Q27839,Wu Sip Fu Zhong,en,wu sip fu zhong
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,en,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,es,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,fr,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,nl,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,de,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,pt,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,pt-br,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,ast,ichijō kanefuyu
Q17438,Ichijō Kanefuyu,en,Q27842,Ichijō Kanefuyu,tr,ichijō kanefuyu
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,en,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,fr,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,es,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,nl,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,de,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,pt,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,pt-br,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,ast,ichijō uchimoto
Q17439,Ichijō Uchimoto,en,Q27845,Ichijō Uchimoto,tr,ichijō uchimoto
Q17440,Saionji Kinnobu (Iyo Saionji clan),en,Q27848,Saionji Kinnobu (Iyo Saionji clan),en,saionji kinnobu (iyo saionji clan)
Q17441,Jin Ye Ji Gao,en,Q27851,Jin Ye Ji Gao,en,jin ye ji gao
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,en,ōuchi yoshioki
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,fr,ōuchi yoshioki
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,es,ōuchi yoshioki
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,de,ōuchi yoshioki
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,nl,ōuchi yoshioki
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,ast,ōuchi yoshioki
Q17442,Ōuchi Yoshioki,en,Q27854,Ōuchi Yoshioki,tr,ōuchi yoshioki
Q17443,Daughter of Otomo Yoshiaki (legal wife of Ichijo Fusamoto),en,Q27857,Daughter of Otomo Yoshiaki (legal wife of Ichijo Fusamoto),en,daughter of otomo yoshiaki (legal wife of ichijo fusamoto)
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,en,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,de,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,nl,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,fr,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,ast,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,es,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,it,ichijō kanesada
Q17444,Ichijō Kanesada,en,Q27860,Ichijō Kanesada,tr,ichijō kanesada
Q17446,Wu Tiao Ji Chang,en,Q27863,Wu Tiao Ji Chang,en,wu tiao ji chang
Q17447,Wu Tiao Fang Chang,en,Q27866,Wu Tiao Fang Chang,en,wu tiao fang chang
Q17448,Jimyōin Motoharu,en,Q27869,Jimyōin Motoharu,en,jimyōin motoharu
Q17449,Shijō Takamasa,en,Q27872,Shijō Takamasa,en,shijō takamasa
Q17449,Shijō Takamasa,en,Q27872,Shijō Takamasa,ast,shijō takamasa
Q17449,Shijō Takamasa,en,Q27872,Shijō Takamasa,tr,shijō takamasa
Q17451,Daughter of Reizei Tamemasu (Wife of Yamashina Tokitsune),en,Q27875,Daughter of Reizei Tamemasu (wife of Yamashina Tokitsune),en,daughter of reizei tamemasu (wife of yamashina tokitsune)
Q17452,Gao Cang Yong Li,en,Q27878,Gao Cang Yong Li,en,gao cang yong li
Q17457,Wu Wan Yi Guang,en,Q27881,Wu Wan Yi Guang,en,wu wan yi guang
Q17459,daughter of Takakura Nagatsugu (wife of Kanroji Motonaga),en,Q27884,Daughter of Takakura Nagatsugu (wife of Kanroji Motonaga),en,daughter of takakura nagatsugu (wife of kanroji motonaga)
Q17460,Gan Lu Si Yi Chang,en,Q27887,Gan Lu Si Yi Chang,en,gan lu si yi chang
Q17461,Kong Ji,en,Q27890,Kong Ji,en,kong ji
Q17461,Kong Ji,en,Q33404,Kong Ji,en,kong ji
Q17461,Kong Ji,en,Q33404,Kong Ji,es,kong ji
Q17462,Shi Zhao,en,Q27894,Shi Zhao,en,shi zhao
Q17463,daughter of Kanroji Motonaga (wife of Sanjonishi Kimijo),en,Q27897,Daughter of Kanroji Motonaga (wife of Sanjonishi Kimijo),en,daughter of kanroji motonaga (wife of sanjonishi kimijo)
Q17464,adopted daughter of Saito Myojun (wife of Oda Toshihiro),en,Q27900,Adopted daughter of Saito Myojun (wife of Oda Toshihiro),en,adopted daughter of saito myojun (wife of oda toshihiro)
Q17465,Xiu Mu Zhen Gang,en,Q27903,Xiu Mu Zhen Gang,en,xiu mu zhen gang
Q17466,Ting Tian Zhong You,en,Q27906,Ting Tian Zhong You,en,ting tian zhong you
Q17467,Wu Sip Zhao Zhong,en,Q27909,Wu Sip Zhao Zhong,en,wu sip zhao zhong
Q17468,Xi Yuan Si Gong Jia,en,Q27912,Xi Yuan Si Gong Jia,en,xi yuan si gong jia
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,en,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,es,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,ast,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,pt,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,pap,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,pt-br,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,yo,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,it,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,ga,sanjō saneka
Q17469,Sanjō Saneka,en,Q27915,Sanjō Saneka,tr,sanjō saneka
Q17470,Zheng Qin Ting San Tiao Gong Gang,en,Q27918,Zheng Qin Ting San Tiao Gong Gang,en,zheng qin ting san tiao gong gang
Q17471,Jimyōin Motonori,en,Q27921,Jimyōin Motonori,en,jimyōin motonori
Q17472,Chi Ming Yuan Ji Xiao,en,Q27924,Chi Ming Yuan Ji Xiao,en,chi ming yuan ji xiao
Q17475,Wu Sip Jiao Zhong,en,Q27927,Wu Sip Jiao Zhong,en,wu sip jiao zhong
Q17476,Gao Cang Yong Teng,en,Q27930,Gao Cang Yong Teng,en,gao cang yong teng
Q17477,Nan Mu Zheng Cheng,en,Q27933,Nan Mu Zheng Cheng,en,nan mu zheng cheng
Q17478,Hui Yan Yuan,en,Q27936,Hui Yan Yuan,en,hui yan yuan
Q17479,Yi Da Shang Zong,en,Q27939,Yi Da Shang Zong,en,yi da shang zong
Q17480,She Jin Zhi Qin,en,Q27942,She Jin Zhi Qin,en,she jin zhi qin
Q17482,Si Tiao Long Ming,en,Q27945,Si Tiao Long Ming,en,si tiao long ming
Q17485,Seiun-in (wife of Ashikaga Yoshitane),en,Q27948,Seiun-in (wife of Ashikaga Yoshitane),en,seiun-in (wife of ashikaga yoshitane)
Q17487,Wu Wei Niang,en,Q27951,Wu Wei Niang,en,wu wei niang
Q17555,Zun Ying Ru Dao Qin Wang,en,Q31470,Zun Ying Ru Dao Qin Wang,en,zun ying ru dao qin wang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,en,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,fr,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,ca,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,de,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,es,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,it,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,nl,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,pl,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,pt,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,ast,yuan xiang
Q17581,Yuan Xiang,en,Q59466,Yuan Xiang,pt-br,yuan xiang
Q17590,Ting Kao Jian Liang,en,Q28206,Ting Kao Jian Liang,en,ting kao jian liang
Q17591,Dao Jin Gui Ji,en,Q28209,Dao Jin Gui Ji,en,dao jin gui ji
Q17592,Dao Jin Man Jun,en,Q28213,Dao Jin Man Jun,en,dao jin man jun
Q17596,Zhuan Ling Yuan,en,Q28221,Zhuan Ling Yuan,en,zhuan ling yuan
Q17599,Jing Xin Yuan  (san Tiao Xi Shi Tiao Noniang ),en,Q28225,Jing Xin Yuan  (san Tiao Xi Shi Tiao Noniang ),en,jing xin yuan (san tiao xi shi tiao noniang )
Q17600,Daughter of Shimizutani Kimie (wife of Hori Chikamasa),en,Q28229,daughter of Shimizutani Kimie (wife of Hori Chikamasa),en,daughter of shimizutani kimie (wife of hori chikamasa)
Q17601,Qing Shui Gu Ya Ji,en,Q28233,Qing Shui Gu Ya Ji,en,qing shui gu ya ji
Q17602,Xiao Cang You Ji,en,Q28237,Xiao Cang You Ji,en,xiao cang you ji
Q17603,Yuan Ji Fu,en,Q27745,Yuan Ji Fu,en,yuan ji fu
Q17603,Yuan Ji Fu,en,Q28241,Yuan Ji Fu,en,yuan ji fu
Q17604,Daughter of Nakamikado Naoryo (wife of Sono Motofu),en,Q28245,daughter of Nakamikado Naoryo (wife of Sono Motofu),en,daughter of nakamikado naoryo (wife of sono motofu)
Q17605,Daughter of Ikejiri Katsufusa (wife of Sono Motokatsu),en,Q28249,daughter of Ikejiri Katsufusa (wife of Sono Motokatsu),en,daughter of ikejiri katsufusa (wife of sono motokatsu)
Q17606,Daughter of Shirakawa Masataka (wife of Sono Motokatsu),en,Q28253,daughter of Shirakawa Masataka (wife of Sono Motokatsu),en,daughter of shirakawa masataka (wife of sono motokatsu)
Q17608,Daughter of Sono Motokatsu (wife of Gojo Tamenori),en,Q28257,daughter of Sono Motokatsu (wife of Gojo Tamenori),en,daughter of sono motokatsu (wife of gojo tamenori)
Q17614,Chi Ming Yuan Ji Fu,en,Q28281,Chi Ming Yuan Ji Fu,en,chi ming yuan ji fu
Q17615,Wu Tiao Wei Zhi,en,Q28285,Wu Tiao Wei Zhi,en,wu tiao wei zhi
Q17616,Jiu Ye Jiu  (wu Tiao Wei Fan Noqi ),en,Q28289,Jiu Ye Jiu  (wu Tiao Wei Fan Noqi ),en,jiu ye jiu (wu tiao wei fan noqi )
Q17617,Chi Ming Yuan Ji Fu Noniang  (wu Tiao Wei Fan Noqi ),en,Q28293,Chi Ming Yuan Ji Fu Noniang  (wu Tiao Wei Fan Noqi ),en,chi ming yuan ji fu noniang (wu tiao wei fan noqi )
Q17618,Wu Tiao Wei Cheng,en,Q28297,Wu Tiao Wei Cheng,en,wu tiao wei cheng
Q17619,Ren Sheng Ji Guan,en,Q28301,Ren Sheng Ji Guan,en,ren sheng ji guan
Q17620,Qing Gang Chang Xiang,en,Q28305,Qing Gang Chang Xiang,en,qing gang chang xiang
Q17621,Sang Yuan Chang Shi,en,Q28309,Sang Yuan Chang Shi,en,sang yuan chang shi
Q17623,Jin Xiao Lu Lai Yong,en,Q28317,Jin Xiao Lu Lai Yong,en,jin xiao lu lai yong
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,en,nijō yoshitada
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,fr,nijō yoshitada
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,es,nijō yoshitada
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,nl,nijō yoshitada
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,de,nijō yoshitada
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,ast,nijō yoshitada
Q17624,Nijō Yoshitada,en,Q28321,Nijō Yoshitada,tr,nijō yoshitada
Q17631,Hai Yang Jun,en,Q28333,Hai Yang Jun,en,hai yang jun
Q17643,Kim Hŏnch'ang,en,Q28337,Kim Hŏnch'ang,en,kim hŏnch'ang
Q17719,Phi tần của Đường Thái Tông,en,Q28349,Phi tần của Đường Thái Tông,en,phi tần của đường thái tông
Q17719,Phi tần của Đường Thái Tông,en,Q28349,Phi tần của Đường Thái Tông,vi,phi tần của đường thái tông
Q17719,Phi tần của Đường Thái Tông,en,Q28349,Phi tần của Đường Thái Tông,nl,phi tần của đường thái tông
Q17792,He Qi Bang Cheng,en,Q28422,He Qi Bang Cheng,en,he qi bang cheng
Q17794,Yue Lun Jia Fu,en,Q28426,Yue Lun Jia Fu,en,yue lun jia fu
Q17795,Song Mu Zong Teng,en,Q28430,Song Mu Zong Teng,en,song mu zong teng
Q17796,Xi Da Lu Long Fan,en,Q28434,Xi Da Lu Long Fan,en,xi da lu long fan
Q17797,Si Tiao Long Liang,en,Q28438,Si Tiao Long Liang,en,si tiao long liang
Q17798,Xiao Zao Chuan Yi Chun,en,Q28442,Xiao Zao Chuan Yi Chun,en,xiao zao chuan yi chun
Q17799,Xiao Zao Chuan Xi Ping,en,Q28446,Xiao Zao Chuan Xi Ping,en,xiao zao chuan xi ping
Q17800,Wada Kenshū,en,Q28450,Wada Kenshū,en,wada kenshū
Q17802,daughter of Ki Toshifumi (wife of Kusunoki Masakatsu),en,Q28454,Daughter of Ki Toshifumi (wife of Kusunoki Masakatsu),en,daughter of ki toshifumi (wife of kusunoki masakatsu)
Q17803,Nan Mu Zheng Xian,en,Q28458,Nan Mu Zheng Xian,en,nan mu zheng xian
Q17804,Chi Tian Chong Zheng,en,Q28462,Chi Tian Chong Zheng,en,chi tian chong zheng
Q17805,Chi Tian Heng Zheng,en,Q28466,Chi Tian Heng Zheng,en,chi tian heng zheng
Q17806,Gao Cang Yong Xing,en,Q28470,Gao Cang Yong Xing,en,gao cang yong xing
Q17807,Shang Shan Zhao Zhu,en,Q28474,Shang Shan Zhao Zhu,en,shang shan zhao zhu
Q17808,Shang Shan Zhao Liang,en,Q28478,Shang Shan Zhao Liang,en,shang shan zhao liang
Q17809,daughter of Uesugi Tomomasa (wife and concubine of Uesugi Norifusa),en,Q28482,Daughter of Uesugi Tomomasa (wife and concubine of Uesugi Norifusa),en,daughter of uesugi tomomasa (wife and concubine of uesugi norifusa)
Q17810,Shang Shan Xian Sheng,en,Q28486,Shang Shan Xian Sheng,en,shang shan xian sheng
Q17810,Shang Shan Xian Sheng,en,Q29113,Shang Shan Xian Sheng,en,shang shan xian sheng
Q17811,Shang Shan Zheng Zhen,en,Q28490,Shang Shan Zheng Zhen,en,shang shan zheng zhen
Q17812,daughter of Omori Ujiyori (wife of Miura Takayoshi),en,Q28494,Daughter of Omori Ujiyori (wife of Miura Takayoshi),en,daughter of omori ujiyori (wife of miura takayoshi)
Q17814,daughter of Nagao Kagenobu (wife of Uesugi Sadamasa),en,Q28498,Daughter of Nagao Kagenobu (wife of Uesugi Sadamasa),en,daughter of nagao kagenobu (wife of uesugi sadamasa)
Q17819,daughter of Uesugi Fusasada (wife of Hatakeyama Yoshimoto),en,Q28510,Daughter of Uesugi Fusasada (wife of Hatakeyama Yoshimoto),en,daughter of uesugi fusasada (wife of hatakeyama yoshimoto)
Q17820,Ji Cui Yuan,en,Q28514,Ji Cui Yuan,en,ji cui yuan
Q17822,Jōjō Sadanori,en,Q28517,Jōjō Sadanori,en,jōjō sadanori
Q17823,Shang Shan Xian Fang,en,Q28520,Shang Shan Xian Fang,en,shang shan xian fang
Q17824,Yūki Mochitomo,en,Q28523,Yūki Mochitomo,en,yūki mochitomo
Q17826,Na Xu Zi Shi,en,Q28526,Na Xu Zi Shi,en,na xu zi shi
Q17826,Na Xu Zi Shi,en,Q32269,Na Xu Zi Shi,en,na xu zi shi
Q17827,Na Xu Ming Zi,en,Q28529,Na Xu Ming Zi,en,na xu ming zi
Q17828,Gao Shi Qiu,en,Q28532,Gao Shi Qiu,en,gao shi qiu
Q17829,Kō no Morofuyu,en,Q28535,Kō no Morofuyu,en,kō no morofuyu
Q17829,Kō no Morofuyu,en,Q28535,Kō no Morofuyu,de,kō no morofuyu
Q17829,Kō no Morofuyu,en,Q28535,Kō no Morofuyu,fr,kō no morofuyu
Q17829,Kō no Morofuyu,en,Q28535,Kō no Morofuyu,nl,kō no morofuyu
Q17829,Kō no Morofuyu,en,Q28535,Kō no Morofuyu,ast,kō no morofuyu
Q17829,Kō no Morofuyu,en,Q28535,Kō no Morofuyu,es,kō no morofuyu
Q17831,daughter of the Yamana clan (wife of Shibukawa Yoshikagami),en,Q28538,Daughter of the Yamana clan (wife of Shibukawa Yoshikagami),en,daughter of the yamana clan (wife of shibukawa yoshikagami)
Q17832,daughter of Asakura Takakage (wife of Shiba Yoshikazu),en,Q28541,Daughter of Asakura Takakage (wife of Shiba Yoshikazu),en,daughter of asakura takakage (wife of shiba yoshikazu)
Q17834,daughter of Rokkaku Takayori (wife of Imadegawa Suetaka),en,Q28544,Daughter of Rokkaku Takayori (wife of Imadegawa Suetaka),en,daughter of rokkaku takayori (wife of imadegawa suetaka)
Q17835,daughter of Rokkaku Takayori (wife of Kyogoku Zaimune),en,Q28547,Daughter of Rokkaku Takayori (wife of Kyogoku Zaimune),en,daughter of rokkaku takayori (wife of kyogoku zaimune)
Q17838,Jin Xiao Lu,en,Q28553,Jin Xiao Lu,en,jin xiao lu
Q17839,Ōuchi Takahiro,en,Q28556,Ōuchi Takahiro,en,ōuchi takahiro
Q17839,Ōuchi Takahiro,en,Q28556,Ōuchi Takahiro,ast,ōuchi takahiro
Q17839,Ōuchi Takahiro,en,Q28556,Ōuchi Takahiro,tr,ōuchi takahiro
Q17842,Tōshōin,en,Q28562,Tōshōin,en,tōshōin
Q17842,Tōshōin,en,Q28562,Tōshōin,fr,tōshōin
Q17842,Tōshōin,en,Q28562,Tōshōin,de,tōshōin
Q17842,Tōshōin,en,Q28562,Tōshōin,ast,tōshōin
Q17842,Tōshōin,en,Q28562,Tōshōin,vi,tōshōin
Q17843,Xiang Ma Yin Hong,en,Q28565,Xiang Ma Yin Hong,en,xiang ma yin hong
Q17844,Yūki Shigetomo,en,Q28568,Yūki Shigetomo,en,yūki shigetomo
Q17845,daughter of Oda Mochiie (wife of Yuki Ujihiro),en,Q28571,daughter of Oda Mochiie (wife of Yuki Ujihiro),en,daughter of oda mochiie (wife of yuki ujihiro)
Q17846,Qing Yan ?,en,Q28574,Qing Yan ?,en,qing yan ?
Q17847,Jin Gong Yong Yi,en,Q28577,Jin Gong Yong Yi,en,jin gong yong yi
Q17848,daughter of Edo Tajima no Kami (wife of Iwaki Shigetaka),en,Q28580,daughter of Edo Tajima no Kami (wife of Iwaki Shigetaka),en,daughter of edo tajima no kami (wife of iwaki shigetaka)
Q17850,Gong Shan Yu Fang,en,Q28583,Gong Shan Yu Fang,en,gong shan yu fang
Q17851,Tian Cun Sheng Xian,en,Q28586,Tian Cun Sheng Xian,en,tian cun sheng xian
Q17854,Tian Cun Xing Xian,en,Q28590,Tian Cun Xing Xian,en,tian cun xing xian
Q17855,Na Xu Zi Fang,en,Q28593,Na Xu Zi Fang,en,na xu zi fang
Q17856,daughter of Otawara Sukekiyo (wife of Nasu Masasuke),en,Q28596,daughter of Otawara Sukekiyo (wife of Nasu Masasuke),en,daughter of otawara sukekiyo (wife of nasu masasuke)
Q17858,Na Xu Zi Jun,en,Q28599,Na Xu Zi Jun,en,na xu zi jun
Q17859,Nan Tai Miao Xiang Da Zi,en,Q28603,Nan Tai Miao Xiang Da Zi,en,nan tai miao xiang da zi
Q17862,Xiao Chang Yi Zong,en,Q28611,Xiao Chang Yi Zong,en,xiao chang yi zong
Q17863,Gui Shu Yuan,en,Q28615,Gui Shu Yuan,en,gui shu yuan
Q17864,Ōzeki Takamasu,en,Q28619,Ōzeki Takamasu,en,ōzeki takamasu
Q17865,Da Guan Qing Zeng,en,Q28623,Da Guan Qing Zeng,en,da guan qing zeng
Q17865,Da Guan Qing Zeng,en,Q28627,Da Guan Qing Zeng,en,da guan qing zeng
Q17866,Da Guan Qing Zeng,en,Q28623,Da Guan Qing Zeng,en,da guan qing zeng
Q17866,Da Guan Qing Zeng,en,Q28627,Da Guan Qing Zeng,en,da guan qing zeng
Q17867,Da Guan Zi Zeng,en,Q28631,Da Guan Zi Zeng,en,da guan zi zeng
Q17868,Si Bo Quan Sheng,en,Q28635,Si Bo Quan Sheng,en,si bo quan sheng
Q17869,Si Bo Xiang Chang,en,Q28639,Si Bo Xiang Chang,en,si bo xiang chang
Q17872,Duo He Gao Jia,en,Q28643,Duo He Gao Jia,en,duo he gao jia
Q17873,Pian Gang Ci Da Fu,en,Q28647,Pian Gang Ci Da Fu,en,pian gang ci da fu
Q17874,Kyōgoku Katsuhide,en,Q28651,Kyōgoku Katsuhide,en,kyōgoku katsuhide
Q17874,Kyōgoku Katsuhide,en,Q28651,Kyōgoku Katsuhide,ast,kyōgoku katsuhide
Q17874,Kyōgoku Katsuhide,en,Q28651,Kyōgoku Katsuhide,es,kyōgoku katsuhide
Q17874,Kyōgoku Katsuhide,en,Q28651,Kyōgoku Katsuhide,tr,kyōgoku katsuhide
Q17875,Kyōgoku Masamitsu,en,Q28655,Kyōgoku Masamitsu,en,kyōgoku masamitsu
Q17875,Kyōgoku Masamitsu,en,Q28655,Kyōgoku Masamitsu,ast,kyōgoku masamitsu
Q17875,Kyōgoku Masamitsu,en,Q28655,Kyōgoku Masamitsu,es,kyōgoku masamitsu
Q17875,Kyōgoku Masamitsu,en,Q28655,Kyōgoku Masamitsu,tr,kyōgoku masamitsu
Q17876,Kyōgoku Masatsune,en,Q28659,Kyōgoku Masatsune,en,kyōgoku masatsune
Q17876,Kyōgoku Masatsune,en,Q28659,Kyōgoku Masatsune,ast,kyōgoku masatsune
Q17876,Kyōgoku Masatsune,en,Q28659,Kyōgoku Masatsune,es,kyōgoku masatsune
Q17876,Kyōgoku Masatsune,en,Q28659,Kyōgoku Masatsune,tr,kyōgoku masatsune
Q17877,daughter of Kyogoku Mochikiyo (wife of Hatakeyama Masanaga),en,Q28663,daughter of Kyogoku Mochikiyo (wife of Hatakeyama Masanaga),en,daughter of kyogoku mochikiyo (wife of hatakeyama masanaga)
Q17878,Daughter of Kyogoku Mochikiyo (mother of Oda Nobutsuna),en,Q28667,daughter of Kyogoku Mochikiyo (mother of Oda Nobutsuna),en,daughter of kyogoku mochikiyo (mother of oda nobutsuna)
Q17879,Daughter of Maki Asachika (wife of Amago Kiyosada),en,Q28671,daughter of Maki Asachika (wife of Amago Kiyosada),en,daughter of maki asachika (wife of amago kiyosada)
Q17882,Chi Song Guang Fan,en,Q28675,Chi Song Guang Fan,en,chi song guang fan
Q17883,Chi Song Chi Zhen,en,Q28679,Chi Song Chi Zhen,en,chi song chi zhen
Q17884,Akamatsu Mitsunori (son of Akamatsu Yorinori),en,Q28683,Akamatsu Mitsunori (son of Akamatsu Yorinori),en,akamatsu mitsunori (son of akamatsu yorinori)
Q17891,Chi Song Zheng Ze,en,Q28687,Chi Song Zheng Ze,en,chi song zheng ze
Q17892,Daughter of Kujo Tanemichi (wife of Togawa Kazumasa),en,Q28691,daughter of Kujo Tanemichi (wife of Togawa Kazumasa),en,daughter of kujo tanemichi (wife of togawa kazumasa)
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,en,nijō haruyoshi
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,fr,nijō haruyoshi
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,es,nijō haruyoshi
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,nl,nijō haruyoshi
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,de,nijō haruyoshi
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,ast,nijō haruyoshi
Q17893,Nijō Haruyoshi,en,Q28695,Nijō Haruyoshi,tr,nijō haruyoshi
Q17894,Xiao Lu Fan Man Nomu,en,Q28699,Xiao Lu Fan Man Nomu,en,xiao lu fan man nomu
Q17895,Xiao Lu Fan Man,en,Q28703,Xiao Lu Fan Man,en,xiao lu fan man
Q17901,Shui Nu,en,Q28711,Shui Nu,en,shui nu
Q17906,Song Ping Xin Guang Noniang,en,Q28715,Song Ping Xin Guang Noniang,en,song ping xin guang noniang
Q17907,Song Ping Guang Qin,en,Q28719,Song Ping Guang Qin,en,song ping guang qin
Q17908,Song Ping Qin Ze,en,Q28723,Song Ping Qin Ze,en,song ping qin ze
Q17913,Cun Niu,en,Q28727,Cun Niu,en,cun niu
Q17914,Song Ping Qin Guang,en,Q28731,Song Ping Qin Guang,en,song ping qin guang
Q17914,Song Ping Qin Guang,en,Q33375,Song Ping Qin Guang,en,song ping qin guang
Q17915,Song Ping Cheng Qing,en,Q28735,Song Ping Cheng Qing,en,song ping cheng qing
Q17916,Song Ping Qin Fang,en,Q28739,Song Ping Qin Fang,en,song ping qin fang
Q17917,Song Ping Chang Jia,en,Q28743,Song Ping Chang Jia,en,song ping chang jia
Q17918,Daughter of Utsunomiya Mochitsuna (wife of Ashina Moriaki),en,Q28747,daughter of Utsunomiya Mochitsuna (wife of Ashina Moriaki),en,daughter of utsunomiya mochitsuna (wife of ashina moriaki)
Q17920,Qian Xie Shou Yin,en,Q28755,Qian Xie Shou Yin,en,qian xie shou yin
Q17921,Daughter of Nagao Kagenobu (wife of Chiba Jitan),en,Q28759,Daughter of Nagao Kagenobu (wife of Chiba Jitan),en,daughter of nagao kagenobu (wife of chiba jitan)
Q17923,Daughter of Aso Korenori (wife of Otomo Yoshinaga),en,Q28763,Daughter of Aso Korenori (wife of Otomo Yoshinaga),en,daughter of aso korenori (wife of otomo yoshinaga)
Q17924,Ōtomo Yoshiaki,en,Q28767,Ōtomo Yoshiaki,en,ōtomo yoshiaki
Q17924,Ōtomo Yoshiaki,en,Q28767,Ōtomo Yoshiaki,ast,ōtomo yoshiaki
Q17924,Ōtomo Yoshiaki,en,Q28767,Ōtomo Yoshiaki,es,ōtomo yoshiaki
Q17924,Ōtomo Yoshiaki,en,Q28767,Ōtomo Yoshiaki,tr,ōtomo yoshiaki
Q17925,Ōuchi Hiroie,en,Q28771,Ōuchi Hiroie,en,ōuchi hiroie
Q17925,Ōuchi Hiroie,en,Q28771,Ōuchi Hiroie,ast,ōuchi hiroie
Q17925,Ōuchi Hiroie,en,Q28771,Ōuchi Hiroie,tr,ōuchi hiroie
