entity_without_ids,name_without_ids,lang_without_ids,entity_with_ids,name_with_ids,lang_with_ids,normalized_name
Q16601,Chi Song Shi Sheng,en,Q26509,Chi Song Shi Sheng,en,chi song shi sheng
Q16603,San Tiao Xi Bao Zi,en,Q26512,San Tiao Xi Bao Zi,en,san tiao xi bao zi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,en,kujō tanemichi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,fr,kujō tanemichi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,es,kujō tanemichi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,nl,kujō tanemichi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,de,kujō tanemichi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,ast,kujō tanemichi
Q16604,Kujō Tanemichi,en,Q26515,Kujō Tanemichi,tr,kujō tanemichi
Q16606,Shibui Chuan Man Xing,en,Q26518,Shibui Chuan Man Xing,en,shibui chuan man xing
Q16608,Ben Guang Yuan Xiu Ben,en,Q26524,Ben Guang Yuan Xiu Ben,en,ben guang yuan xiu ben
Q16612,Ji Liang Lai Gao,en,Q26530,Ji Liang Lai Gao,en,ji liang lai gao
Q16613,Xiao Lu Fan Lai,en,Q26533,Xiao Lu Fan Lai,en,xiao lu fan lai
Q16620,Yu Du Gong Deng Gang,en,Q26536,Yu Du Gong Deng Gang,en,yu du gong deng gang
Q16626,Shao Er Zhi Zi,en,Q26545,Shao Er Zhi Zi,en,shao er zhi zi
Q16627,Shao Er Dong Zi,en,Q26548,Shao Er Dong Zi,en,shao er dong zi
Q16628,Hai Ye Zhong Dao,en,Q26551,Hai Ye Zhong Dao,en,hai ye zhong dao
Q16629,Zi Ye Zhi Jia,en,Q26554,Zi Ye Zhi Jia,en,zi ye zhi jia
Q16631,Daughter of Kino Chikanori (wife of Otomo Chikaharu),en,Q26557,Daughter of Kino Chikanori (wife of Otomo Chikaharu),en,daughter of kino chikanori (wife of otomo chikaharu)
Q16632,Ōtomo Yoshinaga,en,Q26560,Ōtomo Yoshinaga,en,ōtomo yoshinaga
Q16632,Ōtomo Yoshinaga,en,Q26560,Ōtomo Yoshinaga,ast,ōtomo yoshinaga
Q16632,Ōtomo Yoshinaga,en,Q26560,Ōtomo Yoshinaga,es,ōtomo yoshinaga
Q16632,Ōtomo Yoshinaga,en,Q26560,Ōtomo Yoshinaga,tr,ōtomo yoshinaga
Q16633,Ōuchi Shigehiro,en,Q26563,Ōuchi Shigehiro,en,ōuchi shigehiro
