English,MON,TUE,WED,THU,FRI,SAT,SUN,SAG,CAP,AQU,PIS,ARI,TAU,GEM,KAR,LEO,VIR,LIB,SCO,OPH,HOR
French,LUN,MAR,MER,JEU,VEN,SAM,DIM,SAG,CAP,VER,POI,BEL,TAU,GEM,KAR,LIO,VIE,BAL,SCO,OPH,HOR
