# Japanese GEDCOM ID to Wikibase QID Mapping
# Generated by japanese_repair_upload.py

# Properties
birth_date	P7
child	P20
death_date	P8
full_name	P5
gedcom_refn	P41
given_name	P3
sex	P11
spouse	P42
surname	P4

# Individuals
@I15752@	Q22299
@I15757@	Q22304
@I15758@	Q22305
@I15759@	Q22306
@I15763@	Q22310
@I15766@	Q22313
@I15767@	Q22314
@I1576@	Q8124
@I15776@	Q22323
@I15778@	Q22325
@I15779@	Q22326
@I1577@	Q8125
@I15780@	Q22327
@I15781@	Q22328
@I15783@	Q22330
@I15784@	Q22331
@I15786@	Q22333
@I15790@	Q22337
@I15792@	Q22339
@I15793@	Q22340
@I15794@	Q22341
@I15796@	Q22343
@I15797@	Q22344
@I15798@	Q22345
@I1579@	Q8127
@I157@	Q6705
@I15804@	Q22351
@I15808@	Q22355
@I15810@	Q22357
@I15811@	Q22358
@I15812@	Q22359
@I15813@	Q22360
@I15817@	Q22364
@I1581@	Q8129
@I15820@	Q22367
@I15826@	Q22373
@I15831@	Q22378
@I15832@	Q22379
@I15833@	Q22380
@I15834@	Q22381
@I15837@	Q22384
@I15839@	Q22386
@I1583@	Q8131
@I15840@	Q22387
@I15842@	Q22389
@I15843@	Q22390
@I15846@	Q22393
@I15848@	Q22395
@I1584@	Q8132
@I15850@	Q22397
@I15855@	Q22402
@I15856@	Q22403
@I15857@	Q22404
@I1585@	Q8133
@I15861@	Q22408
@I15865@	Q22412
@I1586@	Q8134
@I15871@	Q22418
@I15874@	Q22421
@I15875@	Q22422
@I15876@	Q22423
@I1587@	Q8135
@I15885@	Q22432
@I15886@	Q22433
@I1588@	Q8136
@I15893@	Q22440
@I15894@	Q22441
@I15895@	Q22442
@I15896@	Q22443
@I15897@	Q22444
@I15898@	Q22445
@I15899@	Q22446
@I158@	Q6706
@I15901@	Q22448
@I15902@	Q22449
@I15903@	Q22450
@I15904@	Q22451
@I15906@	Q22453
@I1590@	Q8138
@I15923@	Q22470
@I15924@	Q22471
@I15926@	Q22473
@I15928@	Q22475
@I1592@	Q8140
@I15930@	Q22477
@I15931@	Q22478
@I15932@	Q22479
@I15933@	Q22480
@I15934@	Q22481
@I15935@	Q22482
@I1593@	Q8141
@I15942@	Q22489
@I15943@	Q22490
@I15945@	Q22492
@I15948@	Q22495
@I1594@	Q8142
@I15950@	Q22497
@I15951@	Q22498
@I15952@	Q22499
@I15953@	Q22500
@I15954@	Q22501
@I15957@	Q22504
@I15958@	Q22505
@I1595@	Q8143
@I15960@	Q22507
@I15961@	Q22508
@I15962@	Q22509
@I15963@	Q22510
@I15964@	Q22511
@I15965@	Q22512
@I1596@	Q8144
@I15971@	Q22518
@I15972@	Q22519
@I15973@	Q22520
@I15976@	Q22523
@I15978@	Q22525
@I15980@	Q22527
@I15981@	Q22528
@I15982@	Q22529
@I15984@	Q22531
@I15986@	Q22533
@I15987@	Q22534
@I15988@	Q22535
@I1598@	Q8146
@I15991@	Q22538
@I15993@	Q22540
@I15994@	Q22541
@I1599@	Q8147
@I159@	Q6707
@I15@	Q6460
@I16004@	Q22551
@I16006@	Q22553
@I1600@	Q8148
@I16014@	Q22561
@I16017@	Q22564
@I16018@	Q22565
@I16019@	Q22566
@I16025@	Q22572
@I1602@	Q8150
@I16031@	Q22578
@I16032@	Q22579
@I16037@	Q22584
@I16039@	Q22586
@I1603@	Q8151
@I16044@	Q22591
@I16047@	Q22594
@I16050@	Q22597
@I16051@	Q22598
@I16052@	Q22599
@I16055@	Q22602
@I16059@	Q22606
@I1605@	Q8153
@I16072@	Q22619
@I16074@	Q22621
@I16076@	Q22623
@I16079@	Q22626
@I1607@	Q8155
@I16080@	Q22627
@I16081@	Q22628
@I16082@	Q22629
@I1608@	Q8156
@I16098@	Q22645
@I1609@	Q8157
@I160@	Q6708
@I16104@	Q22651
@I16105@	Q22652
@I1610@	Q8158
@I16110@	Q22657
@I16111@	Q22658
@I16112@	Q22659
@I16130@	Q22677
@I16135@	Q22682
@I16136@	Q22683
@I16137@	Q22684
@I16140@	Q22687
@I16142@	Q22689
@I16147@	Q22694
@I1614@	Q8162
@I16154@	Q22701
@I16157@	Q22704
@I16158@	Q22705
@I16159@	Q22706
@I1615@	Q8163
@I16160@	Q22707
@I16161@	Q22708
@I16175@	Q22722
@I1617@	Q8165
@I16186@	Q22733
@I16195@	Q22742
@I16198@	Q22745
@I1619@	Q8167
@I161@	Q6709
@I16205@	Q22752
@I16208@	Q22755
@I1620@	Q8168
@I16210@	Q22757
@I16211@	Q22758
@I16212@	Q22759
@I16213@	Q22760
@I16214@	Q22761
@I16216@	Q22763
@I16217@	Q22764
@I16218@	Q22765
@I16219@	Q22766
@I1621@	Q8169
@I16220@	Q22767
@I16221@	Q22768
@I16223@	Q22770
@I16224@	Q22771
@I16228@	Q22775
@I16229@	Q22776
@I1622@	Q8170
@I16231@	Q22778
@I16232@	Q22779
@I16233@	Q22780
@I16234@	Q22781
@I1623@	Q8171
@I1624@	Q8172
@I16254@	Q22801
@I1625@	Q8173
@I16266@	Q22813
@I16267@	Q22814
@I1626@	Q8174
@I16272@	Q22819
@I16277@	Q22824
@I1627@	Q8175
@I16283@	Q22830
@I16284@	Q22831
@I16286@	Q22833
@I16287@	Q22834
@I16288@	Q22835
@I16289@	Q22836
@I1628@	Q8176
@I16290@	Q22837
@I16291@	Q22838
@I16292@	Q22839
@I162@	Q6710
@I16300@	Q22847
@I16301@	Q22848
@I16302@	Q22849
@I16303@	Q22850
@I16304@	Q22851
@I16305@	Q22852
@I16306@	Q22853
@I16307@	Q22854
@I16308@	Q22855
@I16309@	Q22856
@I1630@	Q8178
@I16310@	Q22857
@I16311@	Q22858
@I16312@	Q22859
@I16314@	Q22861
@I16315@	Q22862
@I16318@	Q22865
@I16319@	Q22866
@I1631@	Q8179
@I16320@	Q22867
@I16321@	Q22868
@I16324@	Q22871
@I16325@	Q22872
@I16326@	Q22873
@I16327@	Q22874
@I16328@	Q22875
@I16329@	Q22876
@I1632@	Q8180
@I16330@	Q22877
@I16333@	Q22880
@I16335@	Q22882
@I1633@	Q8181
@I1635@	Q8183
@I16360@	Q22907
@I16362@	Q22909
@I16364@	Q22911
@I16365@	Q22912
@I16366@	Q22913
@I16367@	Q22914
@I16372@	Q22919
@I16373@	Q22920
@I16374@	Q22921
@I16375@	Q22922
@I16378@	Q22925
@I16380@	Q22927
@I16381@	Q22928
@I16382@	Q22929
@I16383@	Q22930
@I16384@	Q22931
@I16385@	Q22932
@I16390@	Q22937
@I16392@	Q22939
@I16393@	Q22940
@I16397@	Q22944
@I16398@	Q22945
@I16399@	Q22946
@I163@	Q6711
@I16400@	Q22947
@I16402@	Q22949
@I16404@	Q22951
@I16405@	Q22952
@I16410@	Q22957
@I16413@	Q22960
@I16418@	Q22965
@I16419@	Q22966
@I1641@	Q8189
@I16421@	Q22968
@I16422@	Q22969
@I16427@	Q22974
@I1642@	Q8190
@I16433@	Q22980
@I16435@	Q22982
@I16436@	Q22983
@I16438@	Q22985
@I16439@	Q22986
@I1643@	Q8191
@I16442@	Q22989
@I16443@	Q22990
@I16444@	Q22991
@I16445@	Q22992
@I16449@	Q22996
@I1644@	Q8192
@I16450@	Q22997
@I16451@	Q22998
@I1645@	Q8193
@I16474@	Q23021
@I16476@	Q23023
@I16477@	Q23024
@I1647@	Q8195
@I16482@	Q23029
@I16483@	Q23030
@I16487@	Q23034
@I16499@	Q23046
@I1649@	Q8197
@I164@	Q6712
@I16501@	Q23048
@I16503@	Q23050
@I16508@	Q23055
@I16509@	Q23056
@I1650@	Q8198
@I16510@	Q23057
@I16512@	Q23059
@I16513@	Q23060
@I16514@	Q23061
@I16515@	Q23062
@I16516@	Q23063
@I16517@	Q23064
@I16518@	Q23065
@I16519@	Q23066
@I1651@	Q8199
@I16520@	Q23067
@I16521@	Q23068
@I16522@	Q23069
@I16523@	Q23070
@I16524@	Q23071
@I16525@	Q23072
@I16526@	Q23073
@I16527@	Q23074
@I16528@	Q23075
@I16529@	Q23076
@I1652@	Q8200
@I16530@	Q23077
@I16532@	Q23079
@I16533@	Q23080
@I16534@	Q23081
@I16536@	Q23083
@I16537@	Q23084
@I16538@	Q23085
@I16539@	Q23086
@I16540@	Q23087
@I16542@	Q23089
@I16543@	Q23090
@I16544@	Q23091
@I16545@	Q23092
@I16546@	Q23093
@I16548@	Q23095
@I16549@	Q23096
@I1654@	Q8202
@I16550@	Q23097
@I16553@	Q23100
@I16555@	Q23102
@I16556@	Q23103
@I16558@	Q23105
@I1655@	Q8203
@I16560@	Q23107
@I16561@	Q23108
@I16562@	Q23109
@I16563@	Q23110
@I16564@	Q23111
@I16565@	Q23112
@I16566@	Q23113
@I16569@	Q23116
@I1656@	Q8204
@I16570@	Q23117
@I16571@	Q23118
@I16572@	Q23119
@I16573@	Q23120
@I16574@	Q23121
@I16575@	Q23122
@I16576@	Q23123
@I16577@	Q23124
@I16578@	Q23125
@I16579@	Q23126
@I16580@	Q23127
@I16581@	Q23128
@I16582@	Q23129
@I16584@	Q23131
@I16585@	Q23132
@I16589@	Q23136
@I16590@	Q23137
@I16591@	Q23138
@I16592@	Q23139
@I16593@	Q23140
@I16594@	Q23141
@I16595@	Q23142
@I16596@	Q23143
@I16597@	Q23144
@I16598@	Q23145
@I16599@	Q23146
@I165@	Q6713
@I16600@	Q23147
@I16601@	Q23148
@I16603@	Q23150
@I16604@	Q23151
@I16605@	Q23152
@I16606@	Q23153
@I16607@	Q23154
@I16608@	Q23155
@I16609@	Q23156
@I16610@	Q23157
@I16611@	Q23158
@I16614@	Q23161
@I16615@	Q23162
@I16618@	Q23165
@I1661@	Q8209
@I16621@	Q23168
@I16622@	Q23169
@I16623@	Q23170
@I16624@	Q23171
@I16625@	Q23172
@I16627@	Q23174
@I16628@	Q23175
@I16629@	Q23176
@I16630@	Q23177
@I16631@	Q23178
@I16632@	Q23179
@I16633@	Q23180
@I16634@	Q23181
@I16635@	Q23182
@I16636@	Q23183
@I16637@	Q23184
@I1663@	Q8211
@I16640@	Q23187
@I16641@	Q23188
@I16642@	Q23189
@I16643@	Q23190
@I16644@	Q23191
@I16645@	Q23192
@I16646@	Q23193
@I16647@	Q23194
@I16649@	Q23196
@I1664@	Q8212
@I16650@	Q23197
@I16651@	Q23198
@I16653@	Q23200
@I16655@	Q23202
@I16656@	Q23203
@I16657@	Q23204
@I16659@	Q23206
@I1665@	Q8213
@I16660@	Q23207
@I16661@	Q23208
@I16662@	Q23209
@I16663@	Q23210
@I16664@	Q23211
@I16665@	Q23212
@I16666@	Q23213
@I16667@	Q23214
@I16668@	Q23215
@I16669@	Q23216
@I16670@	Q23217
@I16671@	Q23218
@I16672@	Q23219
@I16673@	Q23220
@I16674@	Q23221
@I16675@	Q23222
@I16676@	Q23223
@I16677@	Q23224
@I16678@	Q23225
@I16679@	Q23226
@I16680@	Q23227
@I16681@	Q23228
@I16682@	Q23229
@I16683@	Q23230
@I16684@	Q23231
@I16685@	Q23232
@I16687@	Q23234
@I16688@	Q23235
@I16689@	Q23236
@I16690@	Q23237
@I16691@	Q23238
@I16692@	Q23239
@I16693@	Q23240
@I16695@	Q23242
@I16696@	Q23243
@I16697@	Q23244
@I16698@	Q23245
@I1669@	Q8217
@I16700@	Q23247
@I16701@	Q23248
@I16702@	Q23249
@I16703@	Q23250
@I16704@	Q23251
@I16705@	Q23252
@I16707@	Q23254
@I16708@	Q23255
@I16709@	Q23256
@I16710@	Q23257
@I16711@	Q23258
@I16712@	Q23259
@I16713@	Q23260
@I16714@	Q23261
@I16715@	Q23262
@I16716@	Q23263
@I16717@	Q23264
@I16718@	Q23265
@I16719@	Q23266
@I16720@	Q23267
@I16721@	Q23268
@I16722@	Q23269
@I16723@	Q23270
@I16724@	Q23271
@I16725@	Q23272
@I16726@	Q23273
@I16727@	Q23274
@I16728@	Q23275
@I16729@	Q23276
@I1672@	Q8220
@I16730@	Q23277
@I16731@	Q23278
@I16732@	Q23279
@I16733@	Q23280
@I16734@	Q23281
@I16735@	Q23282
@I16736@	Q23283
@I16737@	Q23284
@I16739@	Q23286
@I1673@	Q8221
@I16741@	Q23288
@I16742@	Q23289
@I16743@	Q23290
@I16744@	Q23291
@I16745@	Q23292
@I16746@	Q23293
@I16747@	Q23294
@I16748@	Q23295
@I16749@	Q23296
@I1674@	Q8222
@I16750@	Q23297
@I16751@	Q23298
@I16752@	Q23299
@I16753@	Q23300
@I16754@	Q23301
@I16755@	Q23302
@I16756@	Q23303
@I16757@	Q23304
@I1675@	Q8223
@I16761@	Q23308
@I16762@	Q23309
@I16763@	Q23310
@I16764@	Q23311
@I16765@	Q23312
@I16766@	Q23313
@I16767@	Q23314
@I16768@	Q23315
@I16770@	Q23317
@I16771@	Q23318
@I16774@	Q23321
@I16775@	Q23322
@I16776@	Q23323
@I16777@	Q23324
@I16778@	Q23325
@I16779@	Q23326
@I1677@	Q8225
@I16780@	Q23327
@I16781@	Q23328
@I16782@	Q23329
@I16783@	Q23330
@I16788@	Q23335
@I16789@	Q23336
@I1678@	Q8226
@I16790@	Q23337
@I16791@	Q23338
@I16792@	Q23339
@I16793@	Q23340
@I16794@	Q23341
@I16795@	Q23342
@I16796@	Q23343
@I16797@	Q23344
@I16798@	Q23345
@I16799@	Q23346
@I1679@	Q8227
@I167@	Q6715
@I16800@	Q23347
@I16801@	Q23348
@I16802@	Q23349
@I16803@	Q23350
@I16804@	Q23351
@I16805@	Q23352
@I16806@	Q23353
@I16807@	Q23354
@I16808@	Q23355
@I16809@	Q23356
@I1680@	Q8228
@I16810@	Q23357
@I16811@	Q23358
@I16812@	Q23359
@I16813@	Q23360
@I16814@	Q23361
@I16815@	Q23362
@I16816@	Q23363
@I16817@	Q23364
@I16818@	Q23365
@I16819@	Q23366
@I16820@	Q23367
@I16821@	Q23368
@I16822@	Q23369
@I16823@	Q23370
@I16825@	Q23372
@I16826@	Q23373
@I16827@	Q23374
@I16828@	Q23375
@I16829@	Q23376
@I16830@	Q23377
@I16831@	Q23378
@I16832@	Q23379
@I16833@	Q23380
@I16834@	Q23381
@I16835@	Q23382
@I16838@	Q23385
@I16842@	Q23389
@I16843@	Q23390
@I16844@	Q23391
@I16849@	Q23396
@I16850@	Q23397
@I16851@	Q23398
@I16852@	Q23399
@I16853@	Q23400
@I16854@	Q23401
@I16855@	Q23402
@I16856@	Q23403
@I16857@	Q23404
@I16859@	Q23406
@I1685@	Q8233
@I16860@	Q23407
@I16861@	Q23408
@I16862@	Q23409
@I16863@	Q23410
@I16865@	Q23412
@I16866@	Q23413
@I16868@	Q23415
@I16869@	Q23416
@I1686@	Q8234
@I16872@	Q23419
@I16873@	Q23420
@I16874@	Q23421
@I16878@	Q23425
@I16879@	Q23426
@I16880@	Q23427
@I16886@	Q23433
@I16887@	Q23434
@I16888@	Q23435
@I16889@	Q23436
@I16890@	Q23437
@I16891@	Q23438
@I16892@	Q23439
@I16894@	Q23441
@I16895@	Q23442
@I16896@	Q23443
@I16897@	Q23444
@I16898@	Q23445
@I16899@	Q23446
@I1689@	Q8237
@I168@	Q6716
@I16903@	Q23450
@I1690@	Q8238
@I16911@	Q23458
@I16912@	Q23459
@I16913@	Q23460
@I16914@	Q23461
@I16915@	Q23462
@I16916@	Q23463
@I16918@	Q23465
@I16919@	Q23466
@I16920@	Q23467
@I16921@	Q23468
@I16922@	Q23469
@I16923@	Q23470
@I16925@	Q23472
@I16926@	Q23473
@I16927@	Q23474
@I16928@	Q23475
@I16929@	Q23476
@I1692@	Q8240
@I16930@	Q23477
@I16931@	Q23478
@I16932@	Q23479
@I16934@	Q23481
@I16935@	Q23482
@I16936@	Q23483
@I16937@	Q23484
@I16938@	Q23485
@I16939@	Q23486
@I1693@	Q8241
@I16940@	Q23487
@I16941@	Q23488
@I16942@	Q23489
@I16943@	Q23490
@I16944@	Q23491
@I16945@	Q23492
@I16946@	Q23493
@I16947@	Q23494
@I16948@	Q23495
@I16949@	Q23496
@I16950@	Q23497
@I16951@	Q23498
@I16952@	Q23499
@I16953@	Q23500
@I16954@	Q23501
@I16955@	Q23502
@I16956@	Q23503
@I16957@	Q23504
@I16958@	Q23505
@I16959@	Q23506
@I16960@	Q23507
@I16962@	Q23509
@I16965@	Q23512
@I16966@	Q23513
@I16967@	Q23514
@I1696@	Q8244
@I16973@	Q23520
@I16976@	Q23523
@I16980@	Q23527
@I16986@	Q23533
@I16987@	Q23534
@I16988@	Q23535
@I16989@	Q23536
@I16990@	Q23537
@I16992@	Q23539
@I16993@	Q23540
@I16994@	Q23541
@I16995@	Q23542
@I16996@	Q23543
@I16997@	Q23544
@I16998@	Q23545
@I16999@	Q23546
@I1699@	Q8247
@I16@	Q6462
@I17001@	Q23548
@I17002@	Q23549
@I17003@	Q23550
@I17004@	Q23551
@I17005@	Q23552
@I17006@	Q23553
@I17007@	Q23554
@I17008@	Q23555
@I17009@	Q23556
@I17010@	Q23557
@I17011@	Q23558
@I17012@	Q23559
@I17013@	Q23560
@I17014@	Q23561
@I17016@	Q23563
@I17018@	Q23565
@I17020@	Q23567
@I17024@	Q23571
@I17028@	Q23575
@I17032@	Q23579
@I17037@	Q23584
@I17039@	Q23586
@I17043@	Q23590
@I17044@	Q23591
@I17045@	Q23592
@I17046@	Q23593
@I17047@	Q23594
@I17048@	Q23595
@I17049@	Q23596
@I17050@	Q23597
@I17051@	Q23598
@I17053@	Q23600
@I17062@	Q23609
@I17064@	Q23611
@I17069@	Q23616
@I17074@	Q23621
@I17078@	Q23625
@I17079@	Q23626
@I17080@	Q23627
@I17085@	Q23632
@I17086@	Q23633
@I17087@	Q23634
@I17088@	Q23635
@I17089@	Q23636
@I1708@	Q8256
@I17090@	Q23637
@I17091@	Q23638
@I17092@	Q23639
@I17093@	Q23640
@I17094@	Q23641
@I17095@	Q23642
@I17097@	Q23644
@I17098@	Q23645
@I17099@	Q23646
@I17101@	Q23648
@I17102@	Q23649
@I17103@	Q23650
@I17104@	Q23651
@I17105@	Q23652
@I17107@	Q23654
@I17108@	Q23655
@I17109@	Q23656
@I17111@	Q23658
@I17112@	Q23659
@I17114@	Q23661
@I17115@	Q23662
@I17116@	Q23663
@I17117@	Q23664
@I17118@	Q23665
@I17119@	Q23666
@I1711@	Q8259
@I17120@	Q23667
@I17121@	Q23668
@I17122@	Q23669
@I17123@	Q23670
@I17124@	Q23671
@I17125@	Q23672
@I17126@	Q23673
@I17127@	Q23674
@I17128@	Q23675
@I17129@	Q23676
@I17130@	Q23677
@I17131@	Q23678
@I17132@	Q23679
@I17133@	Q23680
@I17134@	Q23681
@I17135@	Q23682
@I17137@	Q23684
@I17138@	Q23685
@I17139@	Q23686
@I1713@	Q8261
@I17140@	Q23687
@I17141@	Q23688
@I17144@	Q23691
@I17145@	Q23692
@I17147@	Q23694
@I17148@	Q23695
@I17149@	Q23696
@I1714@	Q8262
@I17150@	Q23697
@I17152@	Q23699
@I17153@	Q23700
@I17154@	Q23701
@I17155@	Q23702
@I17156@	Q23703
@I17157@	Q23704
@I17158@	Q23705
@I1715@	Q8263
@I17162@	Q23709
@I17163@	Q23710
@I17164@	Q23711
@I17166@	Q23713
@I17167@	Q23714
@I17168@	Q23715
@I17169@	Q23716
@I1716@	Q8264
@I17172@	Q23719
@I17173@	Q23720
@I17174@	Q23721
@I17175@	Q23722
@I17176@	Q23723
@I1717@	Q8265
@I17180@	Q23727
@I17182@	Q23729
@I17183@	Q23730
@I17184@	Q23731
@I17185@	Q23732
@I17186@	Q23733
@I17189@	Q23736
@I17190@	Q23737
@I17191@	Q23738
@I17193@	Q23740
@I17194@	Q23741
@I17197@	Q23744
@I17198@	Q23745
@I17199@	Q23746
@I171@	Q6719
@I17200@	Q23747
@I17201@	Q23748
@I17202@	Q23749
@I17203@	Q23750
@I17204@	Q23751
@I17205@	Q23752
@I17206@	Q23753
@I17207@	Q23754
@I17209@	Q23756
@I1720@	Q8268
@I17210@	Q23757
@I17211@	Q23758
@I17214@	Q23761
@I17217@	Q23764
@I17218@	Q23765
@I17219@	Q23766
@I17222@	Q23769
@I17223@	Q23770
@I17224@	Q23771
@I17225@	Q23772
@I17228@	Q23775
@I17229@	Q23776
@I17230@	Q23777
@I17231@	Q23778
@I17232@	Q23779
@I17233@	Q23780
@I17235@	Q23782
@I17236@	Q23783
@I17237@	Q23784
@I17238@	Q23785
@I17240@	Q23787
@I17241@	Q23788
@I17242@	Q23789
@I17243@	Q23790
@I17252@	Q23799
@I17254@	Q23801
@I17255@	Q23802
@I17257@	Q23804
@I17258@	Q23805
@I17262@	Q23809
@I17263@	Q23810
@I17264@	Q23811
@I17265@	Q23812
@I17275@	Q23822
@I17276@	Q23823
@I17278@	Q23825
@I17279@	Q23826
@I17280@	Q23827
@I17287@	Q23834
@I17294@	Q23841
@I17296@	Q23843
@I17299@	Q23846
@I1729@	Q8277
@I17300@	Q23847
@I17301@	Q23848
@I17309@	Q23856
@I17311@	Q23858
@I1731@	Q8279
@I17323@	Q23870
@I17324@	Q23871
@I17325@	Q23872
@I17326@	Q23873
@I17328@	Q23875
@I17329@	Q23876
@I17337@	Q23884
@I17339@	Q23886
@I17341@	Q23888
@I17342@	Q23889
@I17343@	Q23890
@I17356@	Q23903
@I17358@	Q23905
@I17359@	Q23906
@I17364@	Q23911
@I17365@	Q23912
@I17366@	Q23913
@I17367@	Q23914
@I17369@	Q23916
@I17371@	Q23918
@I17372@	Q23919
@I17377@	Q23924
@I17379@	Q23926
@I17380@	Q23927
@I17381@	Q23928
@I1738@	Q8286
@I17392@	Q23939
@I17393@	Q23940
@I17395@	Q23942
@I17396@	Q23943
@I1739@	Q8287
@I17400@	Q23947
@I17402@	Q23949
@I17403@	Q23950
@I17405@	Q23952
@I17407@	Q23954
@I17408@	Q23955
@I17409@	Q23956
@I1740@	Q8288
@I17410@	Q23957
@I17411@	Q23958
@I17416@	Q23963
@I17417@	Q23964
@I17418@	Q23965
@I17419@	Q23966
@I17420@	Q23967
@I17421@	Q23968
@I17422@	Q23969
@I17423@	Q23970
@I17424@	Q23971
@I17426@	Q23973
@I17428@	Q23975
@I17430@	Q23977
@I17431@	Q23978
@I17432@	Q23979
@I17435@	Q23982
@I17436@	Q23983
@I17437@	Q23984
@I1743@	Q8291
@I17442@	Q23989
@I17448@	Q23995
@I1744@	Q8292
@I17450@	Q23997
@I17453@	Q24000
@I17454@	Q24001
@I17455@	Q24002
@I17457@	Q24004
@I17458@	Q24005
@I1745@	Q8293
@I17460@	Q24007
@I17466@	Q24013
@I17469@	Q24016
@I17470@	Q24017
@I17474@	Q24021
@I17475@	Q24022
@I17477@	Q24024
@I17478@	Q24025
@I17483@	Q24030
@I17486@	Q24033
@I1748@	Q8296
@I17491@	Q24038
@I17492@	Q24039
@I17493@	Q24040
@I17499@	Q24046
@I17500@	Q24047
@I17502@	Q24049
@I17503@	Q24050
@I17507@	Q24054
@I17510@	Q24057
@I17515@	Q24062
@I17517@	Q24064
@I17518@	Q24065
@I17519@	Q24066
@I17526@	Q24073
@I17528@	Q24075
@I17529@	Q24076
@I17533@	Q24080
@I17535@	Q24082
@I17536@	Q24083
@I1753@	Q8301
@I17543@	Q24090
@I17548@	Q24095
@I17551@	Q24098
@I17552@	Q24099
@I1755@	Q8303
@I17560@	Q24107
@I17561@	Q24108
@I17562@	Q24109
@I17564@	Q24111
@I17565@	Q24112
@I17568@	Q24115
@I17569@	Q24116
@I1756@	Q8304
@I17572@	Q24119
@I17573@	Q24120
@I17577@	Q24124
@I17578@	Q24125
@I17579@	Q24126
@I1757@	Q8305
@I17580@	Q24127
@I17582@	Q24129
@I17583@	Q24130
@I17589@	Q24136
@I1758@	Q8306
@I17590@	Q24137
@I17594@	Q24141
@I17597@	Q24144
@I1759@	Q8307
@I17600@	Q24147
@I17603@	Q24150
@I17604@	Q24151
@I17605@	Q24152
@I17606@	Q24153
@I17608@	Q24155
@I17610@	Q24157
@I17611@	Q24158
@I17616@	Q24163
@I17617@	Q24164
@I17620@	Q24167
@I17621@	Q24168
@I17622@	Q24169
@I17625@	Q24172
@I17626@	Q24173
@I17627@	Q24174
@I17628@	Q24175
@I17629@	Q24176
@I17635@	Q24182
@I17636@	Q24183
@I17638@	Q24185
@I17639@	Q24186
@I17640@	Q24187
@I17643@	Q24190
@I17644@	Q24191
@I17646@	Q24193
@I17648@	Q24195
@I17649@	Q24196
@I17650@	Q24197
@I17651@	Q24198
@I17654@	Q24201
@I17655@	Q24202
@I17656@	Q24203
@I17657@	Q24204
@I17658@	Q24205
@I17659@	Q24206
@I17660@	Q24207
@I17661@	Q24208
@I17662@	Q24209
@I17667@	Q24214
@I17675@	Q24222
@I17676@	Q24223
@I1767@	Q8315
@I17681@	Q24228
@I17682@	Q24229
@I17685@	Q24232
@I17687@	Q24234
@I17690@	Q24237
@I17691@	Q24238
@I17697@	Q24244
@I1769@	Q8317
@I17700@	Q24247
@I17701@	Q24248
@I17705@	Q24252
@I17706@	Q24253
@I17708@	Q24255
@I1770@	Q8318
@I17710@	Q24257
@I17712@	Q24259
@I17714@	Q24261
@I17715@	Q24262
@I17716@	Q24263
@I17717@	Q24264
@I17718@	Q24265
@I17719@	Q24266
@I17720@	Q24267
@I17722@	Q24269
@I17723@	Q24270
@I17724@	Q24271
@I17725@	Q24272
@I17726@	Q24273
@I17727@	Q24274
@I1772@	Q8320
@I17731@	Q24278
@I17733@	Q24280
@I17735@	Q24282
@I17736@	Q24283
@I17737@	Q24284
@I1773@	Q8321
@I17742@	Q24289
@I17744@	Q24291
@I17746@	Q24293
@I17747@	Q24294
@I17750@	Q24297
@I17751@	Q24298
@I17753@	Q24300
@I17754@	Q24301
@I17757@	Q24304
@I17761@	Q24308
@I17764@	Q24311
@I17769@	Q24316
@I1776@	Q8324
@I17770@	Q24317
@I17771@	Q24318
@I17777@	Q24324
@I17778@	Q24325
@I17779@	Q24326
@I17781@	Q24328
@I17782@	Q24329
@I17784@	Q24331
@I17785@	Q24332
@I17786@	Q24333
@I17787@	Q24334
@I17789@	Q24336
@I17791@	Q24338
@I17793@	Q24340
@I17794@	Q24341
@I17795@	Q24342
@I17796@	Q24343
@I17797@	Q24344
@I17798@	Q24345
@I17799@	Q24346
@I177@	Q6725
@I17800@	Q24347
@I17801@	Q24348
@I17802@	Q24349
@I17803@	Q24350
@I17804@	Q24351
@I17806@	Q24353
@I17807@	Q24354
@I17808@	Q24355
@I17810@	Q24357
@I17812@	Q24359
@I17814@	Q24361
@I17815@	Q24362
@I17816@	Q24363
@I17817@	Q24364
@I17818@	Q24365
@I17819@	Q24366
@I17820@	Q24367
@I17821@	Q24368
@I17822@	Q24369
@I17823@	Q24370
@I17826@	Q24373
@I17835@	Q24382
@I1783@	Q8331
@I17841@	Q24388
@I17842@	Q24389
@I17847@	Q24394
@I1784@	Q8332
@I1785@	Q8333
@I17860@	Q24407
@I17862@	Q24409
@I17865@	Q24412
@I17867@	Q24414
@I17868@	Q24415
@I1786@	Q8334
@I17875@	Q24422
@I17878@	Q24425
@I1787@	Q8335
@I17881@	Q24428
@I17884@	Q24431
@I17885@	Q24432
@I17886@	Q24433
@I1788@	Q8336
@I17890@	Q24437
@I17891@	Q24438
@I17892@	Q24439
@I17895@	Q24442
@I17896@	Q24443
@I178@	Q6726
@I1790@	Q8338
@I17911@	Q24458
@I17912@	Q24459
@I17914@	Q24461
@I17915@	Q24462
@I17919@	Q24466
@I17921@	Q24468
@I17922@	Q24469
@I17924@	Q24471
@I17927@	Q24474
@I17931@	Q24478
@I17932@	Q24479
@I17933@	Q24480
@I17934@	Q24481
@I17937@	Q24484
@I17939@	Q24486
@I17940@	Q24487
@I17941@	Q24488
@I17942@	Q24489
@I17943@	Q24490
@I17944@	Q24491
@I17947@	Q24494
@I17948@	Q24495
@I17949@	Q24496
