Chapter,Title
18,The failures of Kyoto and Paris
17,PLACEHOLDER: Catalogue: The daughters of Bacta
16,Arka and Bacta
15,The Covenant with Usagi Luna
14,PLACEHOLDER: Migration to Earth
13,Sol's daughters
12,Catalogue: The Speech on Pluto
11,Attle
10,Serenitide
09,Life on Phaestia
08,Legacies of the Cyborgs
07,The three brothers
06,The Shores of Hesper
05,Aster's seed
04,Rhodes and Marigold
03,The Milky Way
02,The red green and blue strings of fate
01,Aster and Andromeda
