qid,wikidata_qid,P7931,P6821,P8857,P7969,P9129,P3217,P6996,P2889,P4193,P535,P4108,P7352,P8094,P9644,P6192,P2503,P4116,P3051,P9195,P4620,P9280,P5452,P7434,P9495,P5871,P8462,P1185,P13492,P7929,P8143,P8356,P8172,P4963,P6303,P5259,P5324,P4819,P5316,P5536,P4820,P4638,P4159,P7607,P2949,P1819
Q53956,Q16075445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53958,Q45667535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53960,Q16078641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53962,Q45667739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53964,Q16904264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53966,Q45665557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53968,Q11622110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53970,Q45665949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53972,Q30950689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53974,Q45670847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53976,Q5958591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53978,Q45506413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53980,Q5958379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53982,Q45419209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53984,Q45512458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53986,Q45419699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53988,Q45512716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53990,Q45497943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53992,Q10925345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53994,Q45498007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53996,Q45428982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53998,Q45498202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54000,Q30946607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54002,Q45498263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54004,Q45432371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54006,Q45508354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54008,Q45432493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54010,Q8048535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54012,Q45433648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54014,Q45419285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54016,Q30947001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54018,Q45422258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54020,Q10925369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54022,Q45627984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54024,Q45415662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54026,Q45495498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54028,Q45426655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54030,Q18906951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54032,Q110738125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00293039
Q54034,Q45620545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54036,Q110738123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00765018
Q54038,Q45492614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54040,Q3845118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54042,Q25926964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54046,Q25926993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54050,Q45421109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54054,Q45571246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54058,Q45498275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54062,Q45498341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54066,Q45496735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54070,Q45658393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54072,Q24953900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00293045
Q54074,Q45497057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54076,Q113366684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00139084
Q54078,Q45624648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54080,Q113374101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00139085
Q54082,Q45496799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54084,Q113367259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54086,Q45492090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54090,Q45492154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54094,Q45685461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54098,Q45556520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54099,Q1234282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p22004.htm#i220037,Eudokia_Angelina_(1),,Angelina-17,I00303833
Q54102,Q45617812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54103,Q513793,,,,,,,,,,,,,,,,,,,,,,,,,,,1265845,,,,,,,,,,,,,,,,,Kamateros-2,I00049872
Q54106,Q45620511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54107,Q61268586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00744381
Q54110,Q45625938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54111,Q37086,,,,,,,,,,,,,,,,,,,,,,,,person/ac1b6606-8da2-4436-83b5-1ec25605fa11,,,574303,,p=theodoros;n=lascaris;oc=1,,,dw.1261,,,,,,,,,p11414.htm#i114139,Theodore_I_Laskaris_(1),,Lascaris-4,I00049868
Q54114,Q45509340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54115,Q22343021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00425485
Q54118,Q45616192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54119,Q441564,,,,,,,,,,,,,,,,,,,,,,,,,,,722559,,p=eudokia;n=lascaris,,,dw.1263,,,,,,,,,p11404.htm#i114036,,,,
Q54122,Q45616385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54123,Q269955,,,,,,,,,,,,,,,,,,,,,,,,,,,574305,,,,,,,,,,,,,,,Irene_Lascarina_(1),,Lascaris-9,I00049862
Q54126,Q45615814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54130,Q45509863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54131,Q22343002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54134,Q45509927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54135,Q114070556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54138,Q45509989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54139,Q114087507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54142,Q45510052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54143,Q12292012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54146,Q45510114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54147,Q11705169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54150,Q45512731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54151,Q207303,,,,,,,,,,8363757,,,,,,,,,,,,,,,,,252225,,,,,,,,,,,,,,p22164.htm#i221633,Stephen_Uroš_IV_Dušan_of_Serbia_(1),,Nemanja-2,
Q54154,Q45512793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54155,Q65198714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54158,Q45512471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54159,Q3656984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p22003.htm#i220021,Aldimir_of_Bulgaria_(1),,,
Q54162,Q45512535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54163,Q12280895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54166,Q45512597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54167,Q15720837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54170,Q45513176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54171,Q3622795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p14554.htm#i145537,,,,
Q54174,Q45513556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54175,Q5858060,,,,,,,,,,,,,,,,,,,,,,,,,,,712721,,p=philippe;n=d anjou;oc=5,,,,,,,,,,,,,Philip_of_Anjou_(1),,Di_Tarento-1,I00008722
Q54178,Q25926180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54179,Q671582,,,,,,,,,,,,,,,,,,,,,,,,,,,712730,,p=jeanne;n=d anjou;oc=4,,,,,,,,,,,,,Joan_of_Taranto_(1),,,
Q54182,Q45515017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54183,Q3659977,,,,,,,,,,,,,,,,,,,,,,,,,,,712715,,p=charles;n=d anjou;oc=12,,,,,,,,,,,,,,,,I00008723
Q54186,Q45515079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54187,Q103356010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54190,Q45444435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54191,Q106848177,,,,,,,,,,,,,,,,,,,,,,,,,,,712735,,p=blanca;n=d anjou;oc=2,,,,,,,,,,,,,,,,I00400235
Q54194,Q45511453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54195,Q75403036,,,,,,,,,,,,,,,,,,,,,,,,,,,712733,,p=marguerite;n=d anjou;oc=7,,,,,,,,,,,,p12006.htm#i120055,,,,I00109475
Q54198,Q45511642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54199,Q3556477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00571554
Q54202,Q45511705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54203,Q50917052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54206,Q45511769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54207,Q50917474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00334853
Q54210,Q45511897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54211,Q110254213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54214,Q45511959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54215,Q735233,,,,,,,,,,,,,,,,,,,,,,,,,,,473615,,p=guy;n=de lusignan;oc=2,,,,,,,,,,,,,,,Lusignan-135,I00726288
Q54218,Q45498028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54219,Q19680276,,,,,,,,,,,,,,,,,,,,,,,,,,,580952,,p=isabelle;n=de lusignan;oc=4,,,,,,,,,,,,,,,,I00726287
Q54221,Q45516603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54223,Q16331189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54225,Q45516886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54227,Q42675365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54229,Q45516950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54231,Q6120249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54233,Q45517014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54235,Q4865522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54237,Q45515776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54239,Q5063089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54241,Q45515839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54243,Q3930324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p22156.htm#i221555,,,Vatatzes-2,I00049858
Q54245,Q45516096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54247,Q101499975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00049859
Q54249,Q45516221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54251,Q37072,,,,,,,,,,,,,,,,,,,,,,,,person/6d8f0066-1149-4b90-9d8a-ca39799bd3a7,,,574309,,p=ioannes;n=doukas vatatzes,,,dw.8059,,,,,,,,,p15019.htm#i150185|p70431.htm#i704307,Ioannis_Batatzes_(1)|John_III_Doukas_Vatatzes_(1),,Vatatzes-1,I00049861
Q54253,Q45516349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54255,Q111784549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54257,Q45516474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54259,Q110715296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00293023
Q54261,Q45517204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54263,Q110715298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00293024
Q54265,Q45517462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54269,Q45517718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54273,Q45517782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54275,Q44045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54277,Q45517848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54279,Q747809,,,,,,,,,,,,,,,,,,,,,,,,,,,109612,,,,,dw.1253,,,,,,,,,p11414.htm#i114136,Anna_Maria_of_Hungary_(1),,Arpadhazi-46,I00020753
Q54281,Q45517912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54283,Q159862,,,,,,,,,,8954468,,,,,,,,,,,,,,term/848c7bec-8e8f-4227-a159-e72156557b26,,,11811,,p=elisabeth;n=arpad;oc=3,,,dw.1254,,,,,,,,,p11413.htm#i114128,Elisabeth_of_Hungary_(2),,Arpadhazi-48,I00014229
Q54285,Q45518039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54287,Q241424,,,,,,,,,,,,,,,,,,I3047,,,,,,,,,,,,,,dw.1260,,,,,,,,,p11412.htm#i114118,Stephen_the_Posthumous_(1),,Áprádházi-1,I00020718
Q54289,Q45518167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54291,Q317236,,,,,,,,,,,,,,,,,,,,,,,,,,,711388,,p=coloman;n=arpad;oc=2,,,dw.1255,,,,,,,,,p11413.htm#i114130,Colomon_of_Galicia-Lodomeria_(1),,Arpadhazi-47,I00020744
Q54293,Q45518232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54295,Q376190,,,,,,,,,,,,,,,,,,,,,,,,,,,711074,,p=andras;n=arpad,,,,,,,,,,,,p11414.htm#i114133,Andrew_of_Hungary_(1),,,I00020717
Q54297,Q45518360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54299,Q1121941,,,,,,,,,,,,,,,,,,,,,,,,,,,716651,,p=kunigunde;n=von brandenburg,,,dw.1289,,,,,,,,,p11415.htm#i114141,Kunigunde_of_Brandenburg_(1)|Kunigunde_of_Brandenburg_(2),,Brandenburg-14,I00020774
Q54301,Q45518425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54303,Q1060521,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,,p=rostislav;n=rurikides;oc=1,,,dw.1264,,,,,,,,,p11416.htm#i114152|p11466.htm#i114659,Rostislav_Mikhailovich_(1),,Mikhailovich-2,I00027046
Q54305,Q45518488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54307,Q174504,,,,,,,,,,,,,,,,,,I2666,,,,,,,,,122084,,p=koungouta;n=rurikides,,,dw.1270,,,,,,,,,p11396.htm#i113957,Kunigunda_of_Slavonia_(1),,Rurikovich-1,I00020293
Q54309,Q45518615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54311,Q2984484,,,,,,,,,,,,,,,,,,,,,,,,,,,280718,,p=agrippina;n=rurikides,,,dw.1265,,,,,,,,,p11466.htm#i114658,Agrippina_of_Slavonia_(1),,Rostislavna-3,I00569987
Q54313,Q45518678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54315,Q854234,,,,,,,,,,,,,,,,,,,,,,,,,,,280714,,p=bela;n=rurikides,,,dw.1268,,,,,,,,,,Béla_of_Mačva_(1),,Rostislavich-2,
Q54317,Q45518742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54319,Q6835559,,,,,,,,,,,,,,,,,,,,,,,,,,,280715,,p=mikhail;n=rurikides;oc=17,,,dw.1267,,,,,,,,,,Michael_of_Bosnia_(1),,,
Q54321,Q45518998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54323,Q12073288,,,,,,,,,,,,,,,,,,,,,,,,,,,280704,,p=elisabeth;n=rurikides;oc=1,,,,,,,,,,,,,"Anna,_daughter_of_Rostislav_Mikhailovich_(1)",,Van_Halics-1,I00072288
Q54326,Q45519060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54330,Q61154,,,,,,,,,,,,,,,,,,,,,,,,,,,10904,,p=heinrich;n=von wittelsbach;oc=1,,,dw.1271,,,,,,,,,p11415.htm#i114146,"Henry_XIII,_Duke_of_Bavaria_(1)",,Beieren-3,I00020776
Q54331,Q45519123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54334,Q57323,,,,,,,,,,,,,,,,,,,,,,,,,,,888366,,p=otton;n=von wittelsbach;oc=13,,,dw.1276,,,,,,,,,p11415.htm#i114147,"Otto_Hungary_(1)|Otto_III,_Duke_of_Bavaria_(1)",,Wittelsbach-164,I00348878
Q54335,Q45519251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54338,Q43524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54339,Q45519316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54342,Q40378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54343,Q45519440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54346,Q75290515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4182.htm#i41816,,,,
Q54347,Q45519502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54350,Q75290518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4182.htm#i41817,,,,
Q54351,Q45519943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54354,Q20499225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4182.htm#i41819,,,,
Q54355,Q45520185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54358,Q75290523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4182.htm#i41820,,,,
Q54359,Q45520377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54362,Q75245888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p744.htm#i7438,,,,I00162062
Q54363,Q45520439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54366,Q156357,,,,,,,,,,232740527,,,,,,,,,,,,,,,,,30571,,p=lev;n=rurikides,,,dw.1291,,,,,,,,,p11467.htm#i114666,Lev_I_of_Galicia_(1),,Рюрикович-20,I00118610
Q54367,Q45520503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54370,Q2715343,,,,,,,,,,,,,,,,,,,,,,,,,,,180577,,p=iouri;n=rurikides,,,dw.1292,,,,,,,,,p53086.htm#i530852,Yuri_I_of_Galicia_(1),,Рюрикович-19,I00118611
Q54371,Q45520822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54374,Q21088317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=anastasia;n=rurikides;oc=6,,,dw.1294,,,,,,,,,p11467.htm#i114665,Anastasia_of_Galicia_(2),,,
Q54375,Q45521010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54378,Q12086698,,,,,,,,,,,,,,,,,,,,,,,,,,,553919,,p=maria;n=n;oc=21,,,,,,,,,,,,,Maria_of_Belozersk_(1),,,I00218931
Q54379,Q45521139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54382,Q2452949,,,,,,,,,,178255905,,,,,,,,,,,,,,,,,161370,,p=boleslaw;n=piast;oc=10,,,dw.417,,,,,,,,,p11462.htm#i114620,Boleslaw_the_Pious_(1),,Piast-8,I00064089
Q54383,Q45521203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54386,Q433699,,,,,,,,,,,,,,,,,,,,,,,,,,,161369,,p=jadwiga;n=piast,,,dw.1101,,,,,,,,,p11463.htm#i114629,Jadwiga_of_Greater_Poland_(1),,Piast-27,I00020797
Q54387,Q45521329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54390,Q5361596,,,,,,,,,,,,,,,,,,,,,,,,,,,590589,,p=elzbieta;n=piast;oc=3,,,dw.1100,,,,,,,,,p11463.htm#i114627,Elisabeth_of_Greater_Poland_(1),,Piast-1,I00064088
Q54391,Q45521391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54394,Q11686220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=anna;n=piast;oc=3,,,dw.1102,,,,,,,,,,,,Piast-28,
Q54395,Q45521458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54398,Q116005831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kumania-1,I00118620
Q54399,Q45521968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54402,Q28962878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54403,Q45522218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
