qid,wikidata_qid,P7931,P6821,P8857,P7969,P9129,P3217,P6996,P2889,P4193,P535,P4108,P7352,P8094,P9644,P6192,P2503,P4116,P3051,P9195,P4620,P9280,P5452,P7434,P9495,P5871,P8462,P1185,P13492,P7929,P8143,P8356,P8172,P4963,P6303,P5259,P5324,P4819,P5316,P5536,P4820,P4638,P4159,P7607,P2949,P1819
Q4681,Q235090,,,,,,,,,,,,,,,,,,,,,,,,person/68daa57b-c2ee-4aac-ba65-40227aa7502d,,,351454,,,,,,,,,,,,,,,Julia_Avita_Mamaea_(1),,,I00446888
Q4851,Q8044802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6420,Q29201,,,,,,,,,,,,,,,,,,,,,,,,,,,564467,,,,,,,,,,,,,,,,,,
Q6421,Q4302144,,,,,,,,,,,,,,,,,,,,,,,,,,,564473,,,,,,,,,,,,,,,,,,
Q6422,Q16075936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6423,Q3056696,,,,,,,,,,,,,,,,,,,,,,,,,,,564489,,,,,,,,,,,,,,,,,,
Q6424,Q16076907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6425,Q1441379,,,,,,,,,,,,,,,,,,,,,,,,,,,564461,,,,,,,,,,,,,,,,,,
Q6426,Q8262857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6427,Q16078598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6428,Q28409803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6429,Q1147250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6430,Q6377648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6431,Q797424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6432,Q200188,,,,,,,,,,,,,,,,,,,,,,,,,,,485810,,,,,,,,,,,,,,,,,,
Q6433,Q236972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6434,Q1373935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6435,Q641632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6436,Q3082751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6437,Q16076902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6438,Q2329261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6439,Q110980265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6440,Q10881970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6441,Q10514592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6442,Q11420805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6443,Q16076341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6444,Q11071195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6445,Q198180,,,,,,,,,,,,,,,,,,,,,,,,,,,564447,,,,,,,,,,,,,,,,,,
Q6446,Q5353793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6447,Q860434,,,,,,,,,,,,,,,,,,,,,,,,person/00CEEFB7-DFD6-4DF0-8ECD-E5AF4A7BB308,,,,,,,,,,,,,,,,,,,,,
Q6448,Q10919837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6449,Q11075750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6450,Q1910200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6451,Q9511624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6452,Q11086120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6453,Q721756,,,,,,,,,,,,,,,,,,,,,,,,,,,592533,,,,,,,,,,,,,,,,,,
