# Entities with Geni IDs but no Wikidata QIDs
qid,english_label,english_description,geni_ids
Q31360,Jerónimo  de Francia,,6000000029178119504
Q31364,Constança  de Francia,,6000000029178775847
Q31368,Juana  de Francia,,6000000029178085482
Q31376,Isabel  de Partenoy,,6000000029178157203
Q31380,Juan  de Paternoy,,6000000029178081787
Q31384,Juan  de Manente,,6000000029178850311
Q31388,N.  Manente,,6000000029179854016
Q31392,Galacián  Cerdán,,6000000029179779950
Q31396,Ramón  Cerdán,,6000000029179898033
Q31400,Fernando  Cerdán,,6000000029179648162
Q31404,Jerónima  Cerdán,,6000000029179003685
Q31408,Ramón  Torrellas,,6000000029179604675
Q31412,Martín  de Pomar y Foncillas,,6000000089101311883
Q31420,Domingo  de Pomar y Foncillas,,6000000089101491833
Q31424,Dionisio  de Pomar y Foncillas,,6000000089099192971
Q31428,José  de Pomar y Foncillas,,6000000089100914906
Q31432,Juana  de Gurrea,,6000000029181438922
Q31436,Manuel  de Bolea,,6000000029179321290
Q31440,Isaac  ibn Ya'ish,,6000000018640272370
Q31444,Pedro  de Navarro Navarra,,6000000051040029993
Q31448,Don Judah Negro,,6000000006774632152
Q31452,Don Shlomo  ibn Yahya of Lisbon,,6000000014745924331
Q31460,Don David ben Gedalia Abraham  ibn Yahya of Lisbon,,6000000014745924327
Q31464,Esther  ibn Yachya,,6000000014737089858
Q31468,Regina  ibn Yachya,,6000000014737194751
Q31472,Shlomo ben David ben Shlomo  Ibn Yachya,,6000000002638769862
Q31476,Gedaliah ben David  Ibn Yachya,,6000000014516265413
Q31480,Yosef ben David  Ibn Yahya,,6000000013598149785
Q31492,Yehuda  Abravanel,,6000000000348791173
Q31496,Fernán  Abravanel,,6000000024861314003
Q31504,Lopez  de Sosa,,6000000012522847794
Q31508,Juan  Rodriguez De Arauzo,,6000000012522640988
Q31512,Ya  Abravanel,,6000000027453532567
Q31516,Juan  Sánchez de Sevilla,,6000000010926762590
Q31524,Aharon  Stern,,6000000000348804448
Q31532,Shlomo  Caspi,,6000000014737234060
Q31536,Leonor  de Soria Maluenda,,6000000080940445511
Q31541,Beatriz  de Soria Maluenda,,6000000077314509043
Q31553,Francisco  de Maluenda,,6000000059867029941
Q31557,Andres  de Maluenda y Garcia de Castro,,6000000081271728823
Q31561,Beatriz  de Maluenda y Garcia de Castro,,6000000081068884433
Q31565,Fray Martin  de Salamanca Maluenda,,6000000080874546821
Q31569,Diego  de Salamanca Maluenda,,6000000080874279055
Q31573,Juan Alfonso  Salamanca Maluenda,,6000000080888749365
Q31577,Catalina  de Salamanca Maluenda,,6000000080873771125
Q31581,Gabriel  de Salamanca Maluenda,,6000000080887508804
Q31585,Catalina  Polanco Maluenda,,6000000009836718519
Q31597,Francisco  Lopez Polanco,,6000000076340368551
Q31601,Isabel  de Polanco,,6000000076304201855
Q31605,Alonso  Lopez de Polanco,,6000000076393260830
Q31609,Andres  Lopez Polanco,,6000000076340533318
Q31613,Garcia  Polanco,,6000000064525921950
Q31617,María  de Polanco,,6000000008278469777
Q31621,Alonso  Maluenda Miranda,,6000000076377368822
Q31625,Hernando de  Castro,,6000000001147683384
Q31633,Jeronima  de Castro Maluenda,,6000000081020530672
Q31637,Francisca  de Castro Maluenda,,6000000081021383201
Q31641,Mencia  de Maluenda,,6000000082161131882
Q31645,Shlomo  Shaltiel,,6000000014694967292
Q31649,Eliyahu  ben Daniel Senneor,,6000000007742631634
Q31653,Unknown who is from Portsch,,6000000103970492974
Q31657,João  Benveniste,,6000000201018987887
Q31661,Anna Reyna  Mendes Nassi,,6000000014747722991
Q31665,Gracia II  Mendes Nasi,,6000000011046396790
Q31669,Dom João  Miques\Micas Mendes,,6000000027061107872
Q31677,Samuel  Mendes Nasi,,6000000001655964160
Q31681,Esteban  Estrada de Sosa,,6000000029288980201
Q31685,Ines  de Sosa de Estrada,,6000000067880043187
Q31689,Juan Alonso Alonso  de Sosa y Estrada,,6000000007385723086
Q31693,María  de Sosa y Estrada,,6000000017386285842
Q31697,Lope  de Sosa Estrada,,6000000012546538224
Q31701,Hernando  López Davalos y Estrada Sandoval,,6000000001500817472
Q31705,"Alonso ""el Joven""  de Ávalos Saavedra",,6000000009877830505
Q31709,Isabel  de Ávalos Sandoval,,6000000009877385123
Q31713,Fernando  de Ávalos Saavedra,,6000000020921323288
Q31725,Sancha  de Saavedra y Estrada,,6000000054687310150
Q31729,Alonso  De Estrada Saavedra,,6000000001500817346
Q31733,Luisa  Coronado de Estrada,,6000000079675779915
Q31737,Isabel  de Lejun de Coronado,,6000000079675813049
Q31741,María  Vázquez de Coronado y Estrada,,6000000000401596293
Q31745,Juan  Vázquez de Coronado,,6000000001500803649
Q31749,Salvador  Vásquez de Coronado,,6000000025182700932
Q31753,Geronimo  Vásquez de Coronado y Estrada,,6000000001500803697
Q31757,Luisa  Vázquez de Coronado,,6000000001500803593
Q31765,Bartolomé  de Estrada,,6000000001500817364
Q31769,Gutiérrez Flores de la Caballería,,6000000001500817392
Q31773,Isabel  de Alvarado y Estrada,,6000000001500817384
Q31777,Jorge  Alvarado y Contreras,,6000000007847453842
Q31781,Luisa  de Alvarado y Estrada,,6000000001500817441
Q31785,Ángel  de Alvarado y Estrada,,6000000017690930100
Q31789,Catalina  de Alvarado y Estrada,,6000000017691083109
Q31793,Inés  de Alvarado y Estrada,,6000000017691069176
Q31797,Isabel  perez,,6000000020841839345
Q31801,Alonso  Perez de Bocanegra y de la Cavalleria,,6000000020841804265
Q31809,Diego  Gutiérrez de Bocanegra,,6000000020841828298
Q31813,Petronila  de Bocanegra,,6000000079623525688
Q31817,Antonia  Pérez Bocanegra y de la Caballería,,6000000020841841366
Q31821,Pedro  Mejía de Bocanegra,,6000000020841892535
Q31825,Cristobal  Pérez Bocanegra y de la Caballería,,6000000020841946349
Q31829,Elvira  Pérez Bocanegra y de la Caballería,,6000000020842041955
Q31833,Cristóbal  Pérez de Bocanegra,,6000000031824578058
Q31837,Diego Pedro  Bocanegra y Villaseñor,,6000000017360987440
Q31841,Beatriz  Andrada Bocanegra,,6000000041022746092
Q31845,Ursula  Wyss,,6000000001784668343
Q31853,Peter  Wyss,,6000000079407249921
Q31861,Baltasar  Wyss,,6000000180103757900
Q31865,Pedro  de Osorio,,6000000053594369182
Q31869,Bernardino  de Osorio,,6000000053706925096
Q31873,Angela  Mausiño Cartagena y Valdivieso,,6000000081481969843
Q31877,Alonso  Martinez de Lerma Cartagena,,6000000081484054004
Q31881,Francisco  de Miranda Salon y Leiva,,6000000081484708095
Q31886,Alonso  de Miranda y Leiva,,6000000081485537995
Q31890,Maria  de Miranda Salon y Leiva,,6000000081486022905
Q31898,Leonor  de Miranda Salon y Leiva,,6000000081485888279
Q31902,Constanza  de Miranda Salon y Leiva,,6000000081486211120
Q31906,Juan  de Medrano Villegas Cartagena,,6000000081486808052
Q31910,Antonio Luis  de Leyva,,6000000187459101855
Q31914,Juan  de Guzmán Enríquez de Guzmán y Berrío,,6000000024612234051
Q31918,Eufrasia  de Guzman y Enriquez Prado,,6000000081482471844
Q31922,Diego  de Guzmán y Enríquez y Porres y Enríquez,,6000000145959729074
Q31926,IV Senor de Yunquera  Francisco Lasso de Mendoza y Pisa,,6000000081481103170
Q31930,Gonçalo  Gómez de Cervantes,,6000000003199640327
Q31934,Leonel  de Cervantes,,6000000010898193377
Q31942,Lucas  de Lara y Cervantes,,6000000003199536582
Q31946,Alonso  Gómez de Cervantes,,6000000003199428589
Q31950,Leonardo  de Cervantes,,6000000085318873858
Q31954,Juan  de Cervantes,,6000000085318873862
Q31958,Francisco  de Cervantes,,6000000085318958920
Q31962,Diego  de Cervantes,,6000000085318958924
Q31966,Aldonsa  de Cervantes,,6000000085319416830
Q31970,Francisca  de Casaus,,6000000085319416824
Q31974,Dionisia  de Cervantes,,6000000085319416821
Q31978,Leonor  de Cervantes,,6000000085319416833
Q31986,Inés  de Cervantes,,6000000085319416827
Q31990,Francisco  de Cervantes,,6000000085310208100
Q31994,Juana  de Cervantes,,6000000085310208096
Q31998,Beatriz  de Cervantes,,6000000085310208091
Q32002,Francisca  Martel de la Puente,,6000000085310142239
Q32006,Gerónimo  Martel,,6000000085310142247
Q32010,Gonzalo  de la Puente,,6000000085310142243
Q32014,Isabel  Cervantes,,6000000085311323841
Q32018,Juana Bernal de Zuniga y Guzman,,6000000009150723640
Q32022,Isabel  de Lara,,6000000067387480960
Q32030,Catalina  Cervantes de Lara y Andrada,,6000000009525551274
Q32034,María  de Andrada,,6000000067393601833
Q32038,Alonso  de Cervantes,,6000000085316972824
Q32042,Ana  de Cervantes,,6000000035543712714
Q32046,Beatriz  Andrada,,6000000067392200836
Q32050,Luisa  de Lara y Andrada,,6000000016974801722
Q32054,Juan  de Cervantes,,6000000003199297829
Q32058,Francisco  de Cervantes Andrada,,6000000003199297881
Q32062,Aldonza  de Cervantes,,6000000003199427641
Q32066,Francisca  de Casaus,,6000000003199536731
Q32074,Leonor  de Andrada,,6000000003199428716
Q32078,Diego  de Cervantes,,6000000003199645068
Q32082,Dionisia  de Lara,,6000000003199659506
Q32086,Rodrigo  Cervantes Torreblanca,,6000000004850543054
Q32090,María  Cervantes,,6000000027214856128
Q32094,Leonor  Álvarez de Cervantes,,6000000006367763402
Q32098,Juana  de Castilla,,6000000015537131986
Q32102,Francisco  de Mendoza y Cisneros,,6000000015200266210
Q32106,Benito  Cisneros de Mendoza,,6000000009236247729
Q32110,Teresa  de Mendoza,,6000000015200133237
Q32118,Pedro  González de Mendoza,,6000000032845218029
Q32122,Diego Ximenez de Cisneros,,6000000015200173571
Q32126,Benito  Cisneros,,6000000038130436669
Q32130,Alonso Antonio  Alvarez de Toledo,,6000000016168955334
Q32134,Pedro Estacio  Núñez de Toledo y Espinosa,,6000000016168711784
Q32138,Leonor Marcelina  de Toledo y Espinosa,,6000000033654238590
Q32142,Manuela  de Toledo y Espinosa,,6000000033654545947
Q32146,Francisco  Ramírez de Arellano y Zúñiga,,6000000098495579945
Q32150,Melchor  de Castilla-Portugal y Zúñiga,,6000000104841590852
Q32154,Porras Moreno,,6000000017854411415
Q32162,Bernarda  de Zúñiga y Mendoza,,6000000006789298848
Q32166,Juana  de Ribera y Quintanilla,,6000000013568780250
Q32170,Gonzalo  Chacón,,6000000012974518625
Q32174,Gaspar  Chacón,,6000000012974670464
Q32178,Francisca  Chacón,,6000000012974669322
Q32182,Luis  Faxardo,,6000000012974606965
Q32190,Pedro  Fernández de Saavedra,,6000000000687860380
