# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q104159,,,No,No
Q104161,,,No,No
Q104163,,,No,No
Q104165,,,No,No
Q104167,,,No,No
Q104169,,,No,No
Q104171,,,No,No
Q104173,,,No,No
Q104175,,,No,No
Q104177,,,No,No
Q104179,,,No,No
Q104181,,,No,No
Q104183,,,No,No
Q104185,,,No,No
Q104187,,,No,No
Q104189,,,No,No
Q10419,Fujiwara no Kōsuke,,No,No
Q104191,,,No,No
Q104193,,,No,No
Q104195,,,No,No
Q104197,,,No,No
Q104199,,,No,No
Q10420,Teng Yuan Zhen Zhi Noniang,,No,No
Q104201,,,No,No
Q104203,,,No,No
Q104205,,,No,No
Q104207,,,No,No
Q104209,,,No,No
Q10421,Teng Yuan Sheng Gang,,No,No
Q104211,,,No,No
Q104213,,,No,No
Q104215,,,No,No
Q104217,,,No,No
Q104219,,,No,No
Q10422,Teng Yuan Ding Cheng,,No,No
Q104221,,,No,No
Q104223,,,No,No
Q104225,,,No,No
Q104227,,,No,No
Q104229,,,No,No
Q10423,Yuan Ming Jian Xing,,No,No
Q104231,,,No,No
Q104233,,,No,No
Q104235,,,No,No
Q104237,,,No,No
Q104239,,,No,No
Q10424,Tai Tian Xing Zun,,No,No
Q104241,,,No,No
Q104243,,,No,No
Q104245,,,No,No
Q104247,,,No,No
Q104249,,,No,No
Q10425,Dao Tian Jing Qin,,No,No
Q104251,,,No,No
Q104253,,,No,No
Q104255,,,No,No
Q104257,,,No,No
Q104259,,,No,No
Q10426,Teng Yuan Long Jing Noniang  (teng Yuan Xian Gang Shi ),,No,No
Q104261,,,No,No
Q104263,,,No,No
Q104265,,,No,No
Q104267,,,No,No
Q104269,,,No,No
Q10427,Teng Yuan Shi Long,,No,No
Q104271,,,No,No
Q104273,,,No,No
Q104275,,,No,No
Q104277,,,No,No
Q104279,,,No,No
Q10428,Teng Yuan Dong Gang,,No,No
Q104281,,,No,No
Q104283,,,No,No
Q104285,,,No,No
Q104287,,,No,No
Q104289,,,No,No
Q10429,Teng Yuan Zhi Gang,,No,No
Q104291,,,No,No
Q104293,,,No,No
Q104295,,,No,No
Q104297,,,No,No
Q104299,,,No,No
Q10430,Hou Teng Zheng Ming,,No,No
Q104300,,,No,No
Q104302,,,No,No
Q104304,,,No,No
Q104306,,,No,No
Q104308,,,No,No
Q10431,Hou Teng Wei Feng,,No,No
Q104310,,,No,No
Q104312,,,No,No
Q104314,,,No,No
Q104316,,,No,No
Q104318,,,No,No
Q10432,Teng Yuan Lai Ding,,No,No
Q104320,,,No,No
Q104322,,,No,No
Q104324,,,No,No
Q104326,,,No,No
Q104328,,,No,No
Q10433,Teng Yuan Xing Shi,,No,No
Q104330,,,No,No
Q104332,,,No,No
Q104334,,,No,No
Q104336,,,No,No
Q104338,,,No,No
Q104340,,,No,No
Q104342,,,No,No
Q104344,,,No,No
Q104346,,,No,No
Q104348,,,No,No
Q10435,Teng Yuan Xing Fang Noniang  (teng Yuan Jia Tong Nozheng Shi ),,No,No
Q104350,,,No,No
Q104352,,,No,No
Q104354,,,No,No
Q104356,,,No,No
Q104358,,,No,No
Q10436,Zeng Jue,,No,No
Q104360,,,No,No
Q104362,,,No,No
Q104364,,,No,No
Q104366,,,No,No
Q104368,,,No,No
Q104370,,,No,No
Q104372,,,No,No
Q104374,,,No,No
Q104376,,,No,No
Q104378,,,No,No
Q104380,,,No,No
Q104382,,,No,No
Q104384,,,No,No
Q104386,,,No,No
Q104388,,,No,No
Q104390,,,No,No
Q104392,,,No,No
Q104394,,,No,No
Q104396,,,No,No
Q104398,,,No,No
Q10440,He Qi Xiang Fa,,No,No
Q104400,,,No,No
Q104402,,,No,No
Q104404,,,No,No
Q104406,,,No,No
Q104408,,,No,No
Q10441,Ōe no Sadatsuna's daughter (Fujiwara no Tsuneie's wife),,No,No
Q104410,,,No,No
Q104412,,,No,No
Q104414,,,No,No
Q104416,,,No,No
Q104418,,,No,No
Q10442,Da Jiang Cheng Heng,,No,No
Q104420,,,No,No
Q104422,,,No,No
Q104424,,,No,No
Q104426,,,No,No
Q104428,,,No,No
Q104430,,,No,No
Q104432,,,No,No
Q104434,,,No,No
Q104436,,,No,No
Q104438,,,No,No
Q104440,,,No,No
Q104442,,,No,No
Q104444,,,No,No
Q104446,,,No,No
Q104448,,,No,No
Q104450,,,No,No
Q104452,,,No,No
Q104454,,,No,No
Q104456,,,No,No
Q104458,,,No,No
Q104460,,,No,No
Q104462,,,No,No
Q104464,,,No,No
Q104466,,,No,No
Q104468,,,No,No
Q10447,Yuan Gao Fang,,No,No
Q104470,,,No,No
Q104472,,,No,No
Q104474,,,No,No
Q104476,,,No,No
Q104478,,,No,No
Q10448,Yu Fang Men Yuan Dan Ma,,No,No
Q104480,,,No,No
Q104482,,,No,No
Q104484,,,No,No
Q104486,,,No,No
Q104488,,,No,No
Q10449,Yuan Lai Ding Noru Mu,,No,No
Q104490,,,No,No
Q104492,,,No,No
Q104494,,,No,No
Q104496,,,No,No
Q104498,,,No,No
Q104500,,,No,No
Q104502,,,No,No
Q104504,,,No,No
Q104506,,,No,No
Q104508,,,No,No
Q10451,Yagyū Nagaie,,No,No
Q104510,,,No,No
Q104512,,,No,No
Q104514,,,No,No
Q104516,,,No,No
Q104518,,,No,No
Q10452,Jian Yuan Zhong Zhen,,No,No
Q104520,,,No,No
Q14065,A Ye Ji Chang,,No,No
Q14066,Ji Jian Shi Lai,,No,No
Q14069,Jin Chuan Chang Shi,,No,No
Q1407,Hittite Ancestors Generation 50,,No,No
Q14070,Daughter of Imagawa Kuniuji (wife of Isshiki Kinfu),,No,No
Q14071,Jin Chuan Zheng Shi,,No,No
Q14072,Jin Chuan Jing Guo,,No,No
Q14073,Daughter of Imagawa Kuniuji (wife of Nagoshi Takaie),,No,No
Q14075,Ishidō Yoshifusa,,No,No
Q14078,Shang Ye Lai Yuan,,No,No
Q14079,Hua Fang Zhi Tong,,No,No
Q1408,Hittite Ancestors Generation 51,,No,No
Q14080,Xin Tian Ji Shi,,No,No
Q14081,Hōjō Koresada,,No,No
Q14084,Daughter of Chiba Munetane (wife of Utsunomiya Kintsuna),,No,No
Q14085,Daughter of Chiba Munetane (wife of Ishii Tadanari),,No,No
Q14088,Yi Da Zong Gang,,No,No
Q14089,Shōni Sukeyoshi,,No,No
Q1409,H,,No,No
Q14090,Wu Teng Lai Mao,,No,No
Q14091,Mu Ceng Zhong Tai,,No,No
Q14094,Ōtomo Sadayori,,No,No
Q14095,Ōtomo Sadatoshi,,No,No
Q14096,Ōtomo Ujiyasu,,No,No
Q14097,Ōtomo Ujitoki,,No,No
Q14098,Li Hua Zong Kuang,,No,No
Q1410,V,,No,No
Q14100,Hōjō Takaie,,No,No
Q14101,Hōjō Sadaie,,No,No
Q14102,Bei Tiao Zhou Shi,,No,No
Q14103,Hōjō Tokiari,,No,No
Q14106,Xin Li Heng Fang,,No,No
Q14108,Jōkōin,,No,No
Q14112,San Pu Gao Ji,,No,No
Q14114,Chang Wei Jing Wei,,No,No
Q14115,Nagao Kagetada (left guard),,No,No
Q14116,Chang Wei Jing Heng,,No,No
Q14117,An Da Shi Xian Noniang  (bei Tiao Gao Shi Nozheng Shi ),,No,No
Q14118,Chang Xie Qian,,No,No
Q14119,Hōjō Kunitoki,,No,No
Q1412,JT,,No,No
Q14121,Tu Qi Lai Kang Noniang  (er Tiao Liang Ji Noshi ),,No,No
Q14122,Tu Qi Lai Kang Noniang  (si Bo Yi Zhong Noqi ),,No,No
Q14126,Tu Qi Lai Xiong Noniang  (jin Chuan Zhen Shi Nozheng Shi ),,No,No
Q14128,Tu Qi Lai Yi,,No,No
Q14129,Xi Xiang Lai Yin,,No,No
Q1413,J,,No,No
Q14130,Zhi Cun Guang Jian,,No,No
Q14131,Da Sang Lai Ming,,No,No
Q14132,Wei Zhang Gao Guo Noniang,,No,No
Q14133,Yuan Shan Tai Lang Guang Zhi Noniang,,No,No
Q14134,Ming Zhi Lai Du,,No,No
Q14135,Ming Zhi Lai Xiu,,No,No
Q14137,Mao Li Jing Gao,,No,No
Q14138,Mōri Chikahira,,No,No
Q14139,Hui Yi,,No,No
Q1414,1 Stars,,No,No
Q14140,Ri Ye Jun Guang Noniang  (hua Shan Yuan Shi Xian Noqi ),,No,No
Q14141,Hua Shan Yuan Jia Xian,,No,No
Q14142,Hua Shan Yuan Xin Xian,,No,No
Q14145,Zhong Yu Men Wei Jun,,No,No
Q14146,Gao Cang Jing Shou,,No,No
Q14147,Zhong Tiao Mao Ming,,No,No
Q14148,Qiu Shan Shi Guang,,No,No
Q14149,Qiu Shan Shi Xin,,No,No
Q1415,2 Stars,,No,No
Q14150,Ōi Tomoyuki,,No,No
Q14154,Nan Bu You Xing,,No,No
Q14155,Yan Song Zheng Jing,,No,No
Q14156,Hatakeyama Kuniuji (Oshu Kanrei),,No,No
Q14158,Cen Shan Zong Yi,,No,No
Q1416,T,,No,No
Q14161,Zhu Yu Shi Zi,,No,No
Q14162,Chūjō Ienaga,,No,No
Q14163,Dong Shi Chang,,No,No
Q14165,Ge Xi Gao Qing,,No,No
Q14167,Chang Wei Jing Neng,,No,No
Q14168,Chang Wei Jing Ji,,No,No
Q14169,Zhu Yu Zhong Ji,,No,No
Q1417,3 Stars,,No,No
Q14170,Gang Bu Zhong Gang,,No,No
Q14171,He Ye Tong Yao,,No,No
Q14172,Jie Chuan Zong Yuan,,No,No
Q14175,Zuo Shi Yi Zong,,No,No
Q14176,Yuan Shan Jing Cun,,No,No
Q14177,Yuan Shan Jing Zhong,,No,No
Q14178,Yuan Shan Jing Yuan,,No,No
Q14179,Wu Sip Zhong Zhen,,No,No
Q1418,4 Stars,,No,No
Q14180,Wu Sip Zhong Chi,,No,No
Q14181,Wu Sip Zhong Fang,,No,No
Q14182,Daughter of Itsutsuji Nakaen (wife of Takatsuji Kiyonaga),,No,No
Q14183,Ping Gao Fu,,No,No
Q14184,Bu Bu Ji Zhong,,No,No
Q14187,Gao Jie Bang Jing,,No,No
Q14188,Qian Ye Shi Ji,,No,No
Q14189,Nei Teng Sheng Ji,,No,No
Q1419,5 Stars,,No,No
Q14190,Pu Sheng Zhong Jun,,No,No
Q14191,Teng Yuan Huai Guang,,No,No
Q14192,Qing Yuan You Xiong,,No,No
Q14193,Daughter of Nikaido Yukiyoshi (wife of Satake Nagayoshi),,No,No
Q14194,Nikaidō Yukitsuna,,No,No
Q14195,Er Jie Tang Xing Tai,,No,No
Q14196,Nikaidō Yukitada,,No,No
Q14199,Duo Luo Wei Shi Jun,,No,No
Q1420,6 Stars,,No,No
Q14200,Ping Shi Zhong,,No,No
Q14201,Bai Chuan Zi Qing Wang,,No,No
Q14202,Zhong Shan Jia Qin,,No,No
Q14203,Yu Du Gong Lai Fang,,No,No
Q14204,Yūki Tokihiro,,No,No
Q14205,Yūki Munehiro,,No,No
Q14206,Teng Yuan Jian Lun,,No,No
Q14207,Teng Yuan Jia Lun,,No,No
Q14209,Zao Bi Men Yuan Dan Ma,,No,No
Q1421,7 Stars,,No,No
Q14210,Ōinomikado Yoshimune,,No,No
Q14211,Kujō Fusazane,,No,No
Q14212,Ōgimachisanjō Sanemi,,No,No
Q14213,Zheng Qin Ting San Tiao Shi Zhong,,No,No
Q14214,Second daughter of Masagimachi Sanjo Kinunuki (wife of Masagimachi Saneaki),,No,No
Q14215,Fourth daughter of Masagimachi Sanjo Kinunuki (wife of Masagimachi Saneaki),,No,No
Q14216,Daughter of Masagimachi Sanjo Kinunuki (Wife of Toin Kintoshi),,No,No
Q14217,Zheng Qin Ting San Tiao Shi Ren,,No,No
Q14218,Zhong Yuan Shi Ren,,No,No
Q1422,Barnacus Barnacles,,No,No
Q20967,Shui Wu Lai Jian Li,,No,No
Q20968,Shui Wu Lai Xiao Yuan,,No,No
Q20969,Hou Shui Wei Yuan You Wei Men Zuo Ju,,No,No
Q2097,Prabha Āyu,,No,No
Q20970,Daughter of Minase Ujinobu (Wife of Minase Kanetoyo),,No,No
Q20971,Daughter of Minase Ujinobu (wife of Tsutsumi Terunaga),,No,No
Q20972,Shui Wu Lai Shi Xiao,,No,No
Q20973,Daughter of Takano Yasuharu (wife of Machijiri Kaneshige),,No,No
Q20974,Di Wei Ren,,No,No
Q20975,Ji Liang He Ji,,No,No
Q20976,Oli Nofang,,No,No
Q20977,Ozhong Nofang,,No,No
Q20981,Dao Jin Jiu Dong,,No,No
Q20982,Shimazu Hisafuku (ninth son of Shimazu Tsunataka),,No,No
Q20986,Dao Jin Zhong Ji,,No,No
Q20987,Dao Jin Jiu Liang,,No,No
Q20988,Dao Jin Gui Cheng,,No,No
Q2099,ARUNDHATI Kardama,,No,No
Q20991,Gao Cang Yong Fang,,No,No
Q20997,Zhen An Yuan  (ku Qin Zhen Nozheng Shi ),,No,No
Q20998,Daughter of Saionji Kintomo (wife of Sanjonishi Kuni),,No,No
Q20999,Qian Tian Xuan Yi Noniang  (san Tiao Xi Shi Tiao Nozheng Shi ),,No,No
Q21000,Wu Zhe Xiao Lu Gong Zhong,,No,No
Q21001,San Tiao Xi Tai Chang,,No,No
Q21002,Xi Jiao Shi Hao,,No,No
Q21003,adopted daughter of Matsuhira Izuminokami (wife of Mogami Yoshitomo),,No,No
Q21004,second daughter of Sanjonishi Sanejyo (wife of Mogami Yoshitomo)(Second wife of),,No,No
Q21005,Guang Shen,,No,No
Q21006,Daughter of Shimizutani Sanen (wife of Shimizutani Kimie),,No,No
Q21007,A Ye Gong Xu,,No,No
Q21008,Daughter of Yoshida Yoshinobu (wife of Shimizutani Kimie),,No,No
Q21009,Qing Shui Gu Gong Mei,,No,No
Q21010,Qing Shui Gu Chen Ji,,No,No
Q21012,Zhong Yu Men Xuan Shun,,No,No
Q21013,Gang Qi Xuan Chi,,No,No
Q21014,Chi Kao Gong Xiao,,No,No
Q21015,Daughter of Gojo Tametoki (wife of Ikejiri Tomotaka),,No,No
Q21016,Mei Yuan Jiu Ji,,No,No
Q21017,Daughter of Ikejiri Katsufusa (wife of Imashiro Sadatsune),,No,No
Q21018,Daughter of Ikejiri Katsufusa (second wife of Matsudaira Katsuyori),,No,No
Q21019,daughter of Ikejiri Katsufusa (wife of Tobojo Sukenaga),,No,No
Q2102,Queen Myrina the Conqueror Apoidea,,No,No
Q21020,Bai Chuan Ya Chen Wang,,No,No
Q21021,daughter of Yotsutsuji Kimiri (wife of Shirakawa Masataka),,No,No
Q21022,Bai Chuan Ya Guang Wang,,No,No
Q21023,Bai Chuan Ya Dong Wang,,No,No
Q21024,Gao Cang Yong Zhong,,No,No
Q21025,daughter of Takakura Nagafusa (wife of Sono Motohira),,No,No
Q21026,Yuan Ji Cun,,No,No
Q21027,Gao Guan,,No,No
Q21028,daughter of Sono Motohira (wife of Senge Toshihide),,No,No
Q2103,DHRUVA Uttanapāda,,No,No
Q21030,Shi Ye Ji Dong,,No,No
Q21031,Shi Ye Ji Gang,,No,No
Q21032,Ye Gong Ding Yuan,,No,No
Q21034,daughter of Seikanji Hisufusa (wife of Nomiya Sadamoto),,No,No
Q21035,daughter of Nomiya Sadamoto (wife of Nomiya Sadatoshi),,No,No
Q21036,daughter of Nomiya Sadamoto (wife of Niwata Shigetaka),,No,No
Q21038,Jiu Shi Jing Shi,,No,No
Q21039,Xiao Dai Xue,,No,No
Q2104,ILINA Tansu,,No,No
Q21041,Guo Dao Hu Ji,,No,No
Q21043,Guo Dao Shu Zi,,No,No
Q21044,Jimyōin Motosada,,No,No
Q21045,daughter of Jimyoin Motohisa (wife of Jimyoin Motosada),,No,No
Q21046,Shi Ye Ji Xian,,No,No
Q21047,Jiu Ye Jun Chun,,No,No
Q21048,Gao Sip Zong Chang,,No,No
Q2105,VISHVĀMITRA Gādhi,,No,No
Q21050,Hua Yuan Gong Qing,,No,No
Q21052,Qian Zhong Zi,,No,No
Q21053,Guo Dao Mei Nong,,No,No
Q21054,Guo Dao Qin,,No,No
Q21057,Guo Dao Du Zi,,No,No
Q21058,Guo Dao Cheng,,No,No
Q21059,Chi Tian Zhi Zi,,No,No
Q2106,Sahdev DIWAKAR,,No,No
Q21060,Yi Tiao Xuan Jun,,No,No
Q21061,Ichijō Ikuko,,No,No
Q21062,Chi Tian Jing Zi,,No,No
Q21063,Yi Tiao Ba Dai Jun,,No,No
Q2107,Devan DEVKSHETRA,,No,No
Q21079,Jin Chong Bin,,No,No
Q2110,Queen Lysandra the Sugar Mama Anthophila (bees),,No,No
Q21102,Li Zhe,,No,No
Q2113,SVARABHĀNU aka RĀHU Dānav,,No,No
Q14221,Zhong Yuan Shi Xiu,,No,No
Q14222,Daughter of Nakahara Michimoto (Wife of Fujiwara no Tadaaki),,No,No
Q14223,Teng Yuan Shi Xiu,,No,No
Q14224,Zhao Xun Men Yuan Da Fu Ju,,No,No
Q14225,Yuan Ji Cheng,,No,No
Q14226,Yuan Ji Chun,,No,No
Q14227,Zi Ye Jing Dong Ji,,No,No
Q14228,Daughter of Bomon Nobutsune (Mistress of Fujiwara no Munezane),,No,No
Q14229,Ping Fan Lai,,No,No
Q1423,Parasites Internal parasites of Echinoderms,,No,No
Q14230,Zhi Tian Qin Xing,,No,No
Q14231,Zhi Tian Ji Xing,,No,No
Q14233,Ping Xin Fan,,No,No
Q14234,Teng Yuan Fan Chun,,No,No
Q14235,Daughter of Urabe Kaname (Wife of Itsutsuji Tadatsugu),,No,No
Q14236,Daughter of Taira Takasuke (Wife of Itsutsuji Tadatsugu),,No,No
Q14239,Fujiwara no Chūshi,,No,No
Q1424,F,,No,No
Q14242,Kaneyoshi-shinnō,,No,No
Q14243,Hōnin-hosshinnō,,No,No
Q14244,Daughter of Yoshida Tsunenaga (Wife of Nijō Tamefuji),,No,No
Q14245,Nijō Tameaki,,No,No
Q21137,Wang Bing,,No,No
Q2114,PURŪRAVAS Budha,,No,No
Q21149,Shun Yang Gong Zhu,,No,No
Q2115,URVASHI Purūrava,,No,No
Q21155,Yu Wen Sheng,,No,No
Q21156,Yu Wen Zhi,,No,No
Q21157,Yu Wen Chun,,No,No
Q2118,@I9703@,,No,No
Q21181,Cui Shi (concubine of Emperor Yang),,No,No
Q2119,UTTANAPĀDA Manu,,No,No
Q2121,Sumati \ Tansu Tansu ?Matinara,,No,No
Q2122,GĀDHI Kaushik LUNAR DYNASTY,,No,No
Q2124,Devkshetra DEVRAT,,No,No
Q2127,ANASŪYA Kardama,,No,No
Q21277,Li Qiu,,No,No
Q2130,Ila-Ilā (Male-Female alternate months) Budha,,No,No
Q2131,BUDHA (planet Mercury) Chandra,,No,No
Q2132,Nara-Narayana twin Dharma,,No,No
Q2133,Honey Son-Husband of Lysandra,,No,No
Q2135,@I9737@,,No,No
Q2136,@I9738@,,No,No
Q2138,KUSHANĀBHA Kusha,,No,No
Q14246,daughter of Nijō Tamefuji (wife of Horikawa Tomotoshi),,No,No
Q14247,Er Tiao Wei Zhong,,No,No
Q14248,Muneyoshi-shinnō,,No,No
Q14249,Takayoshi-shinnō,,No,No
Q1425,,,No,No
Q14252,daughter of Nagai Tokihide (legal wife of Shiba Muneshige),,No,No
Q14253,daughter of Nagai Tokihide (mother of Utsunomiya Kintsuna),,No,No
Q14254,Chang Jing Zhen Xiu,,No,No
Q2141,Devrat KURAMBHI,,No,No
Q2142,ANGĪRA aka ANGIRASA Brahma,,No,No
Q2143,ŚRADDHA Kardama,,No,No
Q2144,Vasu Dharma,,No,No
Q21449,He Qi Bao Jia,,No,No
Q2145,ĀYATI Meru,,No,No
Q21450,Yue Lun Yin Xian,,No,No
Q21451,Teng Yuan Cheng Ji,,No,No
Q21452,Kobayakawa Hirokage (first emperor),,No,No
Q21453,Xiao Zao Chuan Fu Ping,,No,No
Q21454,Nai Mei Jia Shi,,No,No
Q21455,Ji Qin Wen,,No,No
Q21457,Lu Ming Sheng Zi,,No,No
Q21458,Lu Ming Shi Fang,,No,No
Q2146,DHĀTĀ,,No,No
Q21460,daughter of Ashina Morishun (wife of Soma Moritane),,No,No
Q21461,Lu Ming Shi Mou,,No,No
Q21464,Shang Shan Xian Wu,,No,No
Q21466,Na Xu Zi Chi,,No,No
Q21467,Gao Shi Ying,,No,No
Q21468,Shan Ming Yao Zheng,,No,No
Q2147,"CHANDRA \ SOMA (Haoma), the moon-god Indu SOMA (Haoma), the moon-god Indu ?Atri",,No,No
Q21470,Asakura Kōkyū,,No,No
Q21475,Zhao Cang Jing Ming,,No,No
Q21479,Soma Takatane (12th generation),,No,No
Q2148,Son-Husband of Aurora,,No,No
Q21481,Nikaidō Moriyoshi,,No,No
Q21484,Yan Cheng Yu Qian,,No,No
Q21486,Koyanagawa Morimune (Warring States period),,No,No
Q21487,Liu Shou Zong Li,,No,No
Q21488,Tian Tong Zhong Lai,,No,No
Q21489,Shi Chuan Zhong Guang,,No,No
Q2149,MŪRTI Daksha,,No,No
Q21491,Xiao Shan Shan Yu Tai,,No,No
Q21492,Yan Lai Yu Tai,,No,No
Q21493,Lu Ming Gui Wang Wan,,No,No
Q21494,Jiang Hu Qi Yu Qian,,No,No
Q21495,Ōtawara Tanekiyo,,No,No
Q21496,daughter of Otawara Sukekiyo (wife of Sakuyama Yoshitaka),,No,No
Q21498,Ōtawara Tsunakiyo,,No,No
Q21499,Yang Yue Zhen Chun Da Zi,,No,No
Q21500,Fang He Gao Sheng,,No,No
Q21503,Da Shou Yuan,,No,No
Q21504,Gao Cang Yong Dun,,No,No
Q21505,Zuo Zhu Yi Lin,,No,No
Q21506,Zuo Zhu Yi Kuan,,No,No
Q21507,daughter of Takakura Nagayoshi (wife of Ichiyanagi Naoie),,No,No
Q21509,adopted daughter of Satake Yoshihisa (wife of Oba Yoshinari),,No,No
Q21510,Adopted daughter of Satake Yoshishige (second wife of Iwaki Tsunetaka),,No,No
Q21513,Lu Ye Sheng Tai,,No,No
Q21514,Si Bo Quan Hao,,No,No
Q21517,Ben A Mi Miao Xiu,,No,No
Q21518,Honami Kōetsu,,No,No
Q21519,Ben A Mi Fa Xiu,,No,No
Q21520,Ben A Mi Miao Guang,,No,No
Q21523,Daughter of Tago Tadashige (legal wife of Amago Kunihisa),,No,No
Q21524,Ni Zi Cheng Jiu,,No,No
Q21525,Ni Zi Li Jiu,,No,No
Q21526,Ni Zi Jing Jiu,,No,No
Q21528,Daughter of Amago Kunihisa (wife of Shinji Tsuneyoshi),,No,No
Q21529,Daughter of Amago Kunihisa (wife of Yuhara Nobutsuna),,No,No
Q2153,Formex Formicoidea (ants),,No,No
Q21534,Sogō Masayuki,,No,No
Q21536,Daughter of Wazuka Yakata (wife of Isshiki Harutomo),,No,No
Q21538,Ishin Sūden,,No,No
Q2154,RICHEYU \ ANADHRISHTI ANADHRISHTI ?Raudraswa,,No,No
Q21541,Hu Tian Shi Guang,,No,No
Q21542,Hu Tian Gang Guang,,No,No
Q21544,A Su Wei Zhong,,No,No
Q21545,A Su Wei Li,,No,No
Q21546,Ju Chi Wu Jing,,No,No
Q21547,Ōuchi Hironari,,No,No
Q21548,Shan Kou Sheng Zhong,,No,No
Q21549,Shan Kou Sheng Zhong,,No,No
Q2155,KUSHA Ajak,,No,No
Q21550,Shan Kou Jiao Fang,,No,No
Q21552,Gang Ben Zhong Qing,,No,No
Q21554,Daughter of Mizutani Masamura (wife of Yuki Harutomo),,No,No
Q21555,Da Zhong Quan Zhi Jie,,No,No
Q21556,Zuo Zhu Yi Xian,,No,No
Q21558,Xiao Ye Qi Xuan Zheng,,No,No
Q21559,Yi Se Zhi Fang,,No,No
Q21560,Yi Se Zhi Wu,,No,No
Q21561,Quan Chuan Qin Zhao,,No,No
Q21564,Jiang Ma Zuo Ma Zhu,,No,No
Q21565,Ōta Sukekatsu,,No,No
Q21566,Tai Tian Mao Lian,,No,No
Q2157,Kurambhi SAKUNI,,No,No
Q21570,Junho Shūgyoku,,No,No
Q21571,Wu Tian Yuan Du,,No,No
Q21574,Jiu Wo Yao Tong,,No,No
Q21575,Yan Cang Cheng Ju,,No,No
Q21578,Daughter of Saionji Kintomo (wife of Matsuki Munemitsu),,No,No
Q21579,Mo Li Xiao Lu Xiu Fang,,No,No
Q2158,Dharani Gods,,No,No
Q21581,Daughter of Tsumori Kunishige (wife of Hino Terusuke),,No,No
Q21582,Leng Guang Yuan Qi Yue Zhen Yun,,No,No
Q14257,An Da Gao Jing,,No,No
Q14259,Nan Bo Zong Qing,,No,No
Q1426,U8,,No,No
Q14260,Ren Mu Yi Jun,,No,No
Q14263,Ping Qin Ji,,No,No
Q14265,Ying Si Jian Fu,,No,No
Q21585,Rui Quan Yuan Ling Zhong Fang Shou Da Zi,,No,No
Q21586,Hua Shan Yuan Zhong Guang,,No,No
Q21587,Kazanin Sadanori (Leader of the Left Guard),,No,No
Q21588,Hua Shan Yuan Mo Zi,,No,No
Q21589,Zhuan Xiu Si Yao Yuan,,No,No
Q21590,San Shi Hu Cheng Guang,,No,No
Q21591,San Shi Hu Zi Shun,,No,No
Q21592,Bei Xiao Lu De Guang,,No,No
Q21593,Liu Yuan Zi Ji,,No,No
Q21594,Daughter of Atago Michiharu (wife of Ito Suketaka),,No,No
Q21597,Zhai Teng Bing Bu Shao Fu,,No,No
Q21598,Zu Li Si Zhi,,No,No
Q21599,Chi Jing Jia Qing,,No,No
Q2160,@I9777@,,No,No
Q21600,Chi Jing Xing Jia,,No,No
Q21601,Shan Kou Zhi Zhi,,No,No
Q21603,Ōdate Harumitsu,,No,No
Q21607,Tōyama Kageyuki,,No,No
Q2161,KHYĀTI Kardama,,No,No
Q21610,Rong Fang Yuan Xuan Tong,,No,No
Q21611,Nobumasa (Honganji Temple),,No,No
Q21612,Ling Rui Yuan,,No,No
Q21614,Kōkai,,No,No
Q21615,Ye Gong Ding Yi,,No,No
Q21616,Yan Chuan Guo Man,,No,No
Q21617,Ryushoin (wife of Shiokawa Kunimitsu),,No,No
Q2162,Son-Husband of Zephyra,,No,No
Q21622,Bi Song Yuan,,No,No
Q21623,daughter of Mori Kanari (wife of Masuda Nagamori),,No,No
Q21626,Zhong Shan Qing Qin,,No,No
Q21627,Zhong Shan Leng Quan Wei Qin,,No,No
Q21628,Zhong Shan Qin Gang Noniang,,No,No
Q21630,Si Sip Gong Yin,,No,No
Q21631,daughter of Yotsutsuji Sanenaka (mother of Yotsutsuji Sueto),,No,No
Q21633,Sou Si Xiao,,No,No
Q21634,Si Sip Ji Xian,,No,No
Q21635,Si Sip Ji Fu,,No,No
Q21639,Guo Dao Yi Cheng Ji,,No,No
Q2164,PRASUTI Manu,,No,No
Q21641,adopted daughter of Kamireizei Tamekazu (wife of Shigenoi Suekuni),,No,No
Q21642,Zi Ye Jing Gong Gu,,No,No
Q21643,Wu Sip Wei Zhong,,No,No
Q21644,Fushimi-no-miya Sadayasu-shinnō,,No,No
Q21645,Sanjō Kinhiro,,No,No
Q21648,Ogasawara Dōsetsusai,,No,No
Q21649,Jiu Ye Yu Ci Lang,,No,No
Q21650,Niao Ju Kang Zhong,,No,No
Q21652,Ji Tian Jian Fu,,No,No
Q21653,Qing Yuan Ye Xian,,No,No
Q21655,Ji Tian Jian Jiang,,No,No
Q21656,Fu Xiao Lu Zi Zhi,,No,No
Q21657,Fu Xiao Lu Zhong Zhi,,No,No
Q21658,Gojō Tamezane,,No,No
Q21659,Wu Tiao Wei Jing,,No,No
Q2166,RAUDRĀŚVA Ahamyāti,,No,No
Q21661,Yan Shou Xin Sheng,,No,No
Q21664,Itō Haruaki,,No,No
Q21665,Katō Sadayasu,,No,No
Q21666,Fu Dao Zheng Zhen,,No,No
Q21668,daughter of Sakuma Masakatsu (wife of Oda Sadaoki),,No,No
Q2167,Son-Husband of Lumina,,No,No
Q21671,Nomi no Ōkata,,No,No
Q21674,Motoaki Mōri,,No,No
