# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q16392,Yi Zhong,,No,No
Q16394,Enman-in (Concubine of Ashikaga Masatomo),,No,No
Q16399,Yi Se Zang Zhu,,No,No
Q16400,Yi Se Zhi Qing,,No,No
Q16402,Empress Dowager Keihō,,No,No
Q16405,Kyōgoku-no-miya Ayahito-shinnō,,No,No
Q16408,Arisugawa-no-miya Yorihito-shinnō,,No,No
Q16409,Yukiko-joō,,No,No
Q1641,26 Eupercaria,,No,No
Q16410,Leng Quan Jing Zi,,No,No
Q16411,Kōkan-hosshinnō,,No,No
Q16412,Jie Si Long He,,No,No
Q16413,Fushimi-no-miya Sadatake-shinnō,,No,No
Q16414,Fushimi-no-miya Kuniyori-shinnō,,No,No
Q16415,Konoe Shūshi,,No,No
Q16416,Zuo Wei Men Zuo Zan Qi,,No,No
Q16417,Zhong Ye Sachi,,No,No
Q16418,Kan'in-no-miya Sukehito-shinnō,,No,No
Q16419,Tomoko joō,,No,No
Q16421,Zhi Zi Nu Wang,,No,No
Q16422,Kōkei-hosshinnō,,No,No
Q16423,Zun Xin Nu Wang,,No,No
Q16424,Shi Zi Nu Wang,,No,No
Q16425,Bo Shan Yuan Bi,,No,No
Q16427,Ting Kao Liang Zi,,No,No
Q16433,Jiu Shi Tong Xia,,No,No
Q16434,Daughter of Jimyo-in Motosuke (Wife of Kuze Michika),,No,No
Q16435,Wu Tiao Wei Fan,,No,No
Q16436,Xiao Sen Lai Ji,,No,No
Q16437,Nijō Ieko,,No,No
Q1644,21 Eupercaria,,No,No
Q16442,Tai A Lang Wang,,No,No
Q1645,19 Eupercaria,,No,No
Q16458,Kim Chuwŏn,,No,No
Q1648,22 Eupercaria,,No,No
Q1650,20 Eupercaria,,No,No
Q16507,He Qi Zhi Cheng,,No,No
Q16509,daughter of Tsukinowa Iesuke (wife of Matsuki Munetsugu),,No,No
Q1651,24 Eupercaria,,No,No
Q16510,Song Mu Zong Gang,,No,No
Q16511,Xi Da Lu Long Fu,,No,No
Q16512,Shijō Takamori (10th generation),,No,No
Q16513,Xiao Zao Chuan Shi Yi,,No,No
Q16514,Xiao Zao Chuan Ze Ping,,No,No
Q16515,Li Yu Shi Chun,,No,No
Q1652,23 Eupercaria,,No,No
Q16522,Jin Tian Zheng Xin,,No,No
Q16523,Chi Tian Jia Zheng,,No,No
Q16524,Gao Cang Yong Zi,,No,No
Q16525,Gao Cang Yong Ji,,No,No
Q16527,Shang Shan Xian Fang,,No,No
Q16529,daughter of Uesugi Mochitomo (wife of Uesugi Noritada),,No,No
Q16531,daughter of Uesugi Mochitomo (wife of Kira Shigetaka),,No,No
Q16532,daughter of Uesugi Mochisada (second wife of Imagawa Norimasa),,No,No
Q16533,Jin Chuan Fan Qing,,No,No
Q16535,Shang Shan Fang Shi,,No,No
Q16539,Zhou Qing (Son of Uesugi Norizane),,No,No
Q16540,Daughter of Uesugi Norizane? (Wife of Uesugi Akisada),,No,No
Q16541,Zuo Zhu Yuan Ji,,No,No
Q16542,Daughter of Satake Yoshito (Wife of Yuki Mitsuhisa),,No,No
Q16545,Hu Cun Yi Wei,,No,No
Q16546,Yi Se Zheng Xi,,No,No
Q16548,Na Xu Shi Zi,,No,No
Q16549,Gao Zhong Shi,,No,No
Q16550,Gao Shi Xing,,No,No
Q16552,Yamana Toyōji,,No,No
Q16554,Shan Ming Chang Li,,No,No
Q16555,Shan Ming Zhi Li,,No,No
Q1656,25 Eupercaria,,No,No
Q16560,Ōuchi Norihiro,,No,No
Q16561,Ōuchi Masahiro,,No,No
Q16564,Xiang Ma Xian Yin,,No,No
Q16565,Yūki Ujitomo,,No,No
Q16566,Yūki Ujihiro,,No,No
Q16570,Na Xu Zheng Zi,,No,No
Q16572,Zuo Zhu Yi Li,,No,No
Q16573,Daughter of Oda Seiji (Wife of Satake Yoshiatsu),,No,No
Q16575,Xiao Ye Qi Yi Chang,,No,No
Q16576,Daughter of Uruno Yoshimoto (Wife of Ozeki Takamasu),,No,No
Q16578,Ashikaga Haruōmaru,,No,No
Q16582,Si Bo Quan Jiao,,No,No
Q16583,Shibui Chuan Yi Jing,,No,No
Q16584,Daughter of Ashina Akimori (Wife of Mogami Mitsunao),,No,No
Q16589,Kyōgoku Mochitaka,,No,No
Q1659,Nn Bordzhigin-Majapahit,,No,No
Q16590,Kyōgoku Mochikiyo,,No,No
Q16591,Daughter of Kyogoku Takamitsu (wife of Hosokawa Mochiyuki),,No,No
Q16595,Chi Song Xian Ze,,No,No
Q16596,Chi Song Lai Ze,,No,No
Q16599,Xi Chuan Man Yuan,,No,No
Q1660,bhre kahuripan-majapahit brawijaya V,,No,No
Q16600,Xi Chuan Man Guo,,No,No
Q16601,Chi Song Shi Sheng,,No,No
Q16603,San Tiao Xi Bao Zi,,No,No
Q16604,Kujō Tanemichi,,No,No
Q16606,Shibui Chuan Man Xing,,No,No
Q16607,Shibukawa Yoshinaga (son of Shibukawa Yoshiyuki),,No,No
Q16608,Ben Guang Yuan Xiu Ben,,No,No
Q16609,Daughter of Hosokawa Mochikata (wife of Kira Yoshizane),,No,No
Q1661,Nn Bordzhigin,,No,No
Q16612,Ji Liang Lai Gao,,No,No
Q16613,Xiao Lu Fan Lai,,No,No
Q1662,Rajasawardhana Sang Rajasawardhana Sang Sinagara,,No,No
Q16620,Yu Du Gong Deng Gang,,No,No
Q16626,Shao Er Zhi Zi,,No,No
Q16627,Shao Er Dong Zi,,No,No
Q16628,Hai Ye Zhong Dao,,No,No
Q16629,Zi Ye Zhi Jia,,No,No
Q1663,Bordzhigin,,No,No
Q16631,Daughter of Kino Chikanori (wife of Otomo Chikaharu),,No,No
Q16632,Ōtomo Yoshinaga,,No,No
Q16633,Ōuchi Shigehiro,,No,No
Q16634,Mochiyo Ōuchi,,No,No
Q16635,Ōuchi Norisuke,,No,No
Q16636,Member of the Sanjo clan (mother of Ouchi Morimi),,No,No
Q16637,Ōuchi Noriyuki,,No,No
Q16638,Da Nei Man Shi,,No,No
