id,label_en,translation
Q146417,Tangwre ferch Gwyn ap Gruffudd ap Beli,Tangwre ferch Gwyn son of Gruffudd son of Beli
Q146418,Cynwrig Sais Hen ap Gronwy ap Maredudd ab Uchtred,Cynwrig Sais Hen ap Gronwy ap Maredudd son of Uchtred
Q146419,Iorwerth ap Madog ap Maredudd ab Uchtred,Iorwerth ap Madog ap Maredudd son of Uchtred
Q146420,Caradog ap Gwgon,Caradog son of Gwgon
Q146421,"Gwyn ab Ednowain ab Eginir ap Gollwyn of Eifionydd, aka Gwyn Ddis","Gwyn son of Ednowain son of Eginir ap Gollwyn of Eifionydd, aka Gwyn Ddis"
Q146422,"Foreth ab Owain, lord of Keveliog","Foreth son of Owain, lord of Keveliog"
Q146423,Ellen ferch Rhys ab Aron,Ellen ferch Rhys son of Aron
Q146425,Gwaeddan ferch Cynan Felyn ap Gwrgeneu ab Idnerth,Gwaeddan ferch Cynan Felyn ap Gwrgeneu son of Idnerth
Q146426,"Ieuaf ap Gronwy ab Ifor ab Idnerth, lord of Cefn y Llys","Ieuaf ap Gronwy son of Ifor son of Idnerth, lord of Cefn y Llys"
Q146427,Gwrgeneu Fychan ap Gwrgeneu ap Llywelyn ab Idnerth of Croes Gynan,Gwrgeneu Fychan ap Gwrgeneu ap Llywelyn son of Idnerth of Croes Gynan
Q146428,Maredudd ap Hywel ap Gronwy ab Idnerth,Maredudd ap Hywel ap Gronwy son of Idnerth
Q146429,Maredudd ap Llywelyn ap Hoedlyw ab Ieuaf,Maredudd ap Llywelyn ap Hoedlyw son of Ieuaf
Q146430,Efa ferch Gwrgeneu Fychan ap Gwrgeneu ap Llywelyn,Efa ferch Gwrgeneu Fychan son of Gwrgeneu son of Llywelyn
Q146431,Gwallog ap Gwrgeneu Fychan ap Gwrgeneu ap Llywelyn,Gwallog son of Gwrgeneu Fychan son of Gwrgeneu son of Llywelyn
Q146432,Gwgon ap Hywel ap Seisyll ap Llywelyn,Gwgon son of Hywel son of Seisyll son of Llywelyn
Q146433,Einion ap Hywel ap Seisyll ap Llywelyn,Einion son of Hywel son of Seisyll son of Llywelyn
Q146434,Morgan ap Philip ap Seisyll ap Llywelyn,Morgan son of Philip son of Seisyll son of Llywelyn
Q146435,Prawst ferch Maredudd ap Gwilym ab Einion,Prawst ferch Maredudd ap Gwilym son of Einion
Q146436,Rhyangen|Arianwen ferch Iorwerth ap Trahearn,Rhyangen|Arianwen ferch Iorwerth son of Trahearn
Q146437,Nefydd Hardd ab Ieuan Ysgolhaig ab Ysbwys y Garthen ab Iestyn Far,Nefydd Hardd son of Ieuan Ysgolhaig son of Ysbwys y Garthen son of Iestyn Far
Q146438,Maelog Dda ap Greddf ap Cwnws Ddû ap Cyllin Ynad,Maelog Dda son of Greddf son of Cwnws Ddû son of Cyllin Ynad
Q146439,Iorwerth ap Hywel ap Gruffudd ab Iorwerth Wystyll,Iorwerth ap Hywel ap Gruffudd son of Iorwerth Wystyll
Q146440,Alice ferch Robert Holland,Alice daughter of Robert Holland
Q146442,Gruffudd ap Hywel ab Ieuan of Bodewryd,Gruffudd ap Hywel son of Ieuan of Bodewryd
Q146443,Angharad ferch Hwlcyn ap Dafydd of Berw,Angharad ferch Hwlcyn son of Dafydd of Berw
Q146444,Annes ferch Nicholas ab Elise,Annes ferch Nicholas son of Elise
Q146445,Huw ap Dafydd ap Rhys ap Llywelyn Gwyn,Huw son of Dafydd son of Rhys son of Llywelyn Gwyn
Q146446,Piers ap Dafydd Llwyd of Lligwy,Piers son of Dafydd Llwyd of Lligwy
Q146447,Gruffudd ap Llywelyn ap Rhys ap Llywelyn,Gruffudd son of Llywelyn son of Rhys son of Llywelyn
Q146448,Llywelyn ap Hywel ap Gruffudd ap Madog Ddû,Llywelyn son of Hywel son of Gruffudd son of Madog Ddû
Q146449,Morfudd ferch Dafydd ap Llywelyn ap Hywel,Morfudd ferch Dafydd son of Llywelyn son of Hywel
Q146450,Gwilym ap Rhys ap Gwilym ap Llywelyn of Coedan,Gwilym son of Rhys son of Gwilym son of Llywelyn of Coedan
Q146451,Gruffudd ap Maredudd ab Iorwerth ap Llywarch,Gruffudd ap Maredudd son of Iorwerth ap Llywarch
Q146452,Rhys ap Maredudd ap Hywel ap Maredudd,Rhys son of Maredudd son of Hywel son of Maredudd
Q146453,Dafydd ap Maredudd Hên ap Hywel,Dafydd son of Maredudd Hên son of Hywel
Q146454,Maredudd ap Llywelyn ap Hywel ap Maredudd,Maredudd son of Llywelyn son of Hywel son of Maredudd
Q146455,Ieuan Gôch ap Hywel ap Dafydd ap Madog,Ieuan Gôch son of Hywel son of Dafydd son of Madog
Q146456,Matilda ferch Robert Bulkeley,Matilda daughter of Robert Bulkeley
Q146457,"Philip ap Gruffudd ap Gruffudd Fychan ap Gruffudd Kynaston, of St","Philip son of Gruffudd son of Gruffudd Fychan son of Gruffudd Kynaston, of St"
Q146458,Gruffudd Dopan ap Maredudd Gôch ap Maredudd ab Iorwerth Fychan,Gruffudd Dopan ap Maredudd Gôch ap Maredudd son of Iorwerth Fychan
Q146459,Tudur ab Ithel ap Rhys ab Einion,Tudur son of Ithel ap Rhys son of Einion
Q146460,Gwyn ap Peredur ab Ednowain ap Bradwen,Gwyn ap Peredur son of Ednowain ap Bradwen
Q146461,Adda ap Dafydd Gôch ab Ednywain ap Bradwen,Adda ap Dafydd Gôch son of Ednywain ap Bradwen
Q146462,Ieuan ap Dafydd Wyn ab Ednywain ap Bradwen,Ieuan ap Dafydd Wyn son of Ednywain ap Bradwen
Q146463,Dafydd Gôch ap Gruffudd ab Ednywain ap Bradwen,Dafydd Gôch ap Gruffudd son of Ednywain ap Bradwen
Q146464,Hywel ap Madog Chwith ab Ednywain ap Bradwen,Hywel ap Madog Chwith son of Ednywain ap Bradwen
Q146465,Seisyll ab Ednowain ab Eunydd Bach ap Brockwel of Meirionydd,Seisyll son of Ednowain son of Eunydd Bach ap Brockwel of Meirionydd
Q146466,Gruffudd Hir ap Gruffudd ap Seisyll ab Ednowain of Trawsgoed,Gruffudd Hir ap Gruffudd ap Seisyll son of Ednowain of Trawsgoed
Q146467,Gronwy Gôch ap Gwyn ap Llywelyn ab Owain,Gronwy Gôch ap Gwyn ap Llywelyn son of Owain
Q146468,Madog Ddû ap Rhirid ap Llywelyn ab Owain of Copa'r Goleuni,Madog Ddû ap Rhirid ap Llywelyn son of Owain of Copa'r Goleuni
Q146469,Angharad ferch Meilir Ben Maewy ap Llywelyn ab Owain,Angharad ferch Meilir Ben Maewy ap Llywelyn son of Owain
Q146470,Morfudd ferch Madog Gôch ap Gruffudd ap Llywelyn,Morfudd ferch Madog Gôch son of Gruffudd son of Llywelyn
Q146471,Gwenllian ferch Cynwrig ap Robert  Rotpert ab Iorwerth ap Rhirid of Tegeing,Gwenllian ferch Cynwrig ap Robert  Rotpert son of Iorwerth ap Rhirid of Tegeing
Q146472,Ithel Fychan ap Cynwrig ap Robert ab Iorwerth of Llaneurgain,Ithel Fychan ap Cynwrig ap Robert son of Iorwerth of Llaneurgain
Q146473,Dafydd ap Cynwrig ap Robert ab Iorwerth of Llaneurgain,Dafydd ap Cynwrig ap Robert son of Iorwerth of Llaneurgain
Q146474,Rhys ap Cynwrig ap Robert ab Iorwerth,Rhys ap Cynwrig ap Robert son of Iorwerth
Q146475,NN ferch Cynwrig ap Rotpert ab Iorwerth,NN ferch Cynwrig ap Rotpert son of Iorwerth
Q146476,Dafydd ap Cynwrig ab Ieuan of Trelawnyd,Dafydd ap Cynwrig son of Ieuan of Trelawnyd
Q146477,Mali ferch Cynwrig ab Ieuan ap Gruffudd,Mali ferch Cynwrig son of Ieuan ap Gruffudd
Q146479,Gruffudd ap Cynwrig ap Bleddyn ap Bleddyn Fychan of Bryn Gwylan,Gruffudd son of Cynwrig son of Bleddyn son of Bleddyn Fychan of Bryn Gwylan
Q146480,Margred ferch Cynwrig ap Bleddyn Llwyd ap Bleddyn Fychan,Margred ferch Cynwrig son of Bleddyn Llwyd son of Bleddyn Fychan
Q146481,Gronwy ap Cynwrig ap Bleddyn Llwyd ap Bleddyn Fychan of Llansanna,Gronwy son of Cynwrig son of Bleddyn Llwyd son of Bleddyn Fychan of Llansanna
Q146482,Cynwrig Fychan ab Cadwgan ap Llywarch Fychan ap Llywarch Gôch,Cynwrig Fychan son of Cadwgan ap Llywarch Fychan ap Llywarch Gôch
Q146483,Ithel Llwyd ap Cadwgan ap Llywarch Fychan ap Llywarch Gôch,Ithel Llwyd son of Cadwgan son of Llywarch Fychan son of Llywarch Gôch
Q146484,Ieuan ap Cadwgan ap Llywarch Fychan ap Llywarch Gôch,Ieuan son of Cadwgan son of Llywarch Fychan son of Llywarch Gôch
Q146485,Ednyfed ab Einion ab Ithel ab Adda,Ednyfed son of Einion son of Ithel son of Adda
Q146486,Madog ab Iorwerth ap Dafydd ap Cadwgan Llwyd of Wepra,Madog son of Iorwerth ap Dafydd ap Cadwgan Llwyd of Wepra
Q146487,Einion ab Iorwerth ap Dafydd ap Cadwgan,Einion son of Iorwerth ap Dafydd ap Cadwgan
Q146488,Cynwrig Sais ab Ithel Fychan ab Ithel Llwyd,Cynwrig Sais son of Ithel Fychan son of Ithel Llwyd
Q146489,Dafydd ab Ithel Fychan ab Ithel Llwyd ab Ithel Gam,Dafydd son of Ithel Fychan son of Ithel Llwyd son of Ithel Gam
Q146490,Gwenllian ferch Ithel Fychan ab Ithel Llwyd ab Ithel Gam,Gwenllian ferch Ithel Fychan son of Ithel Llwyd son of Ithel Gam
Q146491,Tudur ab Ithel Fychan ab Ithel Llwyd ab Ithel Gam ap Maredudd,Tudur son of Ithel Fychan son of Ithel Llwyd son of Ithel Gam ap Maredudd
Q146492,Ieuan ab Ithel Fychan ab Ithel Llwyd ab Ithel Gam,Ieuan son of Ithel Fychan son of Ithel Llwyd son of Ithel Gam
Q146493,Ithel ab Ithel Fychan ab Ithel Llwyd,Ithel son of Ithel Fychan son of Ithel Llwyd
Q146494,Ithel Anwyl ap Bleddyn ab Ithel Llwyd ap Ithel Gam,Ithel Anwyl ap Bleddyn son of Ithel Llwyd ap Ithel Gam
Q146495,Gwenllian ferch Bleddyn al mab ab Ithel Llywd ab Ithel Gam,Gwenllian ferch Bleddyn al mab son of Ithel Llywd son of Ithel Gam
Q146496,Cynwrig ap Bleddyn ab Ithel Llwyd ab Ithel Gam,Cynwrig ap Bleddyn son of Ithel Llwyd son of Ithel Gam
Q146497,Dafydd Fychan ap Dafydd ab Einion Fychan ab Einion Ddû,Dafydd Fychan ap Dafydd son of Einion Fychan son of Einion Ddû
Q146498,Gwerful ferch Adda ap Gruffudd ap Madog,Gwerful ferch Adda son of Gruffudd son of Madog
Q146499,Morfudd ferch Hywel ap Meurig Fychan ab Ynyr Fychan,Morfudd ferch Hywel ap Meurig Fychan son of Ynyr Fychan
