id,label_en,translation
Q56383,克正 (Kè Zhèng),Kè Zhèng
Q56389,克錦 (Kè Jǐn)  譚,Kè Jǐn
Q56554,春發 (Chūn Fā)  譚,Chūn Fā
Q56566,世春 (Shì Chūn)  譚,Shì Chūn
Q56697,占梅 (Zhàn Méi)  譚,Zhàn Méi
Q56700,占興 (Zhàn Xìng)  譚,Zhàn Xìng
Q56833,富亦 (Fù Yì)  譚,Fù Yì
Q56836,希亦 (Xī Yì)  譚,Xī Yì
Q56989,儒德 (Rú Dé)  譚,Rú Dé
Q56995,積德 (Jī Dé)  譚,Jī Dé
Q56998,標德 (Biāo Dé)  譚,Biāo Dé
Q57001,恵德 (Huì Dé)  譚,Huì Dé
Q57135,寶珍 (Bǎo Zhēn)  譚,Bǎo Zhēn
Q57295,雪崇 (Xuě Chóng),Xuě Chóng
Q57298,芬崇 (Fēn Chóng),Fēn Chóng
Q57304,方崇 (Fāng Chóng),Fāng Chóng
Q57307,雲崇 (Yún Chóng)  譚,Yún Chóng
Q57484,星照 (Xīng Zhào)  譚,Xīng Zhào
Q57490,星光 (Xīng Guāng),Xīng Guāng
Q57712,軒冕 (Xuān Miǎn)  譚,Xuān Miǎn
Q57897,明相 (Míng Xiāng),Míng Xiāng
Q57900,伍相 (Wǔ Xiāng)  譚,Wǔ Xiāng
Q58059,純菁 (Chún Jīng)  譚,Chún Jīng
Q58205,與方 (Yǔ Fāng)  譚,Yǔ Fāng
Q58350,益裕 (Yì Yù)  譚,Yì Yù
Q58494,維簡 (Wéi Jiǎn)  譚,Wéi Jiǎn
Q58655,時英 (Shí Yīng)  譚,Shí Yīng
Q58799,典書 (Diǎn Shū)  譚,Diǎn Shū
Q58925,濟唐 (Jì Táng)  譚,Jì Táng
Q59076,譚閎 (Tán Hóng)  譚,Tán Hóng
Q59240,大常 (Dà Cháng)  譚,Dà Cháng
Q59423,玉成 (Yù Chéng)  譚,Yù Chéng
Q59573,章憲 (Zhāng Xiàn)  譚,Zhāng Xiàn
Q59731,祥昭 (Xiáng Zhāo)  譚,Xiáng Zhāo
Q59899,綸康 (Lún Kāng)  譚,Lún Kāng
Q60114,承益 (Chéng Yì)  譚,Chéng Yì
Q60422,乃教 (Nǎi Jiào)  譚,Nǎi Jiào
Q60839,分彩 (Fēn Cǎi)  譚,Fēn Cǎi
Q60842,分貞 (Fēn Zhēn),Fēn Zhēn
Q61556,別定 (Bié Dìng)  譚,Bié Dìng
Q61559,分貞 (Fēn Zhēn)'s Son,Fēn Zhēn
Q62192,正玉 (Zhèng Yù),Zhèng Yù
Q62195,正金 (Zhèng Jīn)  譚,Zhèng Jīn
Q63100,Mudrikah (Amir)  بن إلياس,Amir
Q70083,Taibo 吳泰伯 (founder of Wu)  descendant of Emperor Ku,founder of Wu
Q70086,Zhongyong 仲雍 (ancestor of the kings of Wu)  descendant of Emperor Ku,ancestor of the kings of Wu
Q70524,有熊 (Yǒu Xióng),Yǒu Xióng
Q70527,少典 (Shǎo Diǎn),Shǎo Diǎn
Q70533,軒轅 (Xuān Yuán)  有熊 (Yǒu Xióng),Xuān Yuán
Q70536,炎帝 (Yán Dì),Yán Dì
Q70542,少昊 (Shǎo Hào),Shǎo Hào
Q70548,顓頊 (Zhuān Xū)  Zhuanxu,Zhuān Xū
Q70554,女修 (Nǚ Xiū),Nǚ Xiū
Q70560,大業 (Dà Yè),Dà Yè
